 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 2.719449E+00, L=   2  (EPS= 1.0E-15)
 #        Inner phase shift=-2.739142246355186E-12
 #      Coulomb phase shift=-3.976893351715369E-01  (ETA=-4.287899E-01)
 #      Matching radius: RAD(    5)= 4.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.59426752E-06  4.77785188E-04
   2.00000000E-02  1.27090150E-05  1.90176524E-03
   3.00000000E-02  4.27416477E-05  4.25904773E-03
   4.00000000E-02  1.00949902E-04  7.53444327E-03
   5.00000000E-02  1.96441933E-04  1.17132460E-02
   6.00000000E-02  3.38174153E-04  1.67798284E-02
   7.00000000E-02  5.34943808E-04  2.27179840E-02
   8.00000000E-02  7.95383207E-04  2.95109331E-02
   9.00000000E-02  1.12795404E-03  3.71413350E-02
   1.00000000E-01  1.54094185E-03  4.55913016E-02
   1.10000000E-01  2.04245061E-03  5.48424125E-02
   1.20000000E-01  2.64039751E-03  6.48757298E-02
   1.30000000E-01  3.34250781E-03  7.56718133E-02
   1.40000000E-01  4.15630996E-03  8.72107362E-02
   1.50000000E-01  5.08913073E-03  9.94721008E-02
   1.60000000E-01  6.14809065E-03  1.12435055E-01
   1.70000000E-01  7.34009954E-03  1.26078308E-01
   1.80000000E-01  8.67185215E-03  1.40380148E-01
   1.90000000E-01  1.01498241E-02  1.55318456E-01
   2.00000000E-01  1.17802679E-02  1.70870728E-01
   2.10000000E-01  1.35692090E-02  1.87014087E-01
   2.20000000E-01  1.55224425E-02  2.03725303E-01
   2.30000000E-01  1.76455294E-02  2.20980810E-01
   2.40000000E-01  1.99437934E-02  2.38756724E-01
   2.50000000E-01  2.24223180E-02  2.57028859E-01
   2.60000000E-01  2.50859431E-02  2.75772748E-01
   2.70000000E-01  2.79392630E-02  2.94963659E-01
   2.80000000E-01  3.09866231E-02  3.14576613E-01
   2.90000000E-01  3.42321181E-02  3.34586403E-01
   3.00000000E-01  3.76795893E-02  3.54967613E-01
   3.10000000E-01  4.13326231E-02  3.75694636E-01
   3.20000000E-01  4.51945488E-02  3.96741689E-01
   3.30000000E-01  4.92684372E-02  4.18082839E-01
   3.40000000E-01  5.35570990E-02  4.39692015E-01
   3.50000000E-01  5.80630837E-02  4.61543030E-01
   3.60000000E-01  6.27886781E-02  4.83609597E-01
   3.70000000E-01  6.77359062E-02  5.05865351E-01
   3.80000000E-01  7.29065277E-02  5.28283865E-01
   3.90000000E-01  7.83020378E-02  5.50838670E-01
   4.00000000E-01  8.39236671E-02  5.73503273E-01
   4.10000000E-01  8.97723810E-02  5.96251176E-01
   4.20000000E-01  9.58488800E-02  6.19055895E-01
   4.30000000E-01  1.02153600E-01  6.41890975E-01
   4.40000000E-01  1.08686713E-01  6.64730015E-01
   4.50000000E-01  1.15448126E-01  6.87546678E-01
   4.60000000E-01  1.22437484E-01  7.10314718E-01
   4.70000000E-01  1.29654171E-01  7.33007992E-01
   4.80000000E-01  1.37097308E-01  7.55600478E-01
   4.90000000E-01  1.44765758E-01  7.78066297E-01
   5.00000000E-01  1.52658126E-01  8.00379728E-01
   5.10000000E-01  1.60772760E-01  8.22515224E-01
   5.20000000E-01  1.69107753E-01  8.44447433E-01
   5.30000000E-01  1.77660947E-01  8.66151214E-01
   5.40000000E-01  1.86429933E-01  8.87601652E-01
   5.50000000E-01  1.95412053E-01  9.08774078E-01
   5.60000000E-01  2.04604406E-01  9.29644082E-01
   5.70000000E-01  2.14003846E-01  9.50187534E-01
   5.80000000E-01  2.23606989E-01  9.70380597E-01
   5.90000000E-01  2.33410212E-01  9.90199742E-01
   6.00000000E-01  2.43409660E-01  1.00962177E+00
   6.10000000E-01  2.53601247E-01  1.02862382E+00
   6.20000000E-01  2.63980661E-01  1.04718338E+00
   6.30000000E-01  2.74543366E-01  1.06527833E+00
   6.40000000E-01  2.85284606E-01  1.08288691E+00
   6.50000000E-01  2.96199412E-01  1.09998779E+00
   6.60000000E-01  3.07282600E-01  1.11656003E+00
   6.70000000E-01  3.18528782E-01  1.13258312E+00
   6.80000000E-01  3.29932365E-01  1.14803701E+00
   6.90000000E-01  3.41487559E-01  1.16290209E+00
   7.00000000E-01  3.53188380E-01  1.17715923E+00
   7.10000000E-01  3.65028655E-01  1.19078977E+00
   7.20000000E-01  3.77002027E-01  1.20377554E+00
   7.30000000E-01  3.89101958E-01  1.21609888E+00
   7.40000000E-01  4.01321739E-01  1.22774267E+00
   7.50000000E-01  4.13654491E-01  1.23869027E+00
   7.60000000E-01  4.26093170E-01  1.24892563E+00
   7.70000000E-01  4.38630577E-01  1.25843320E+00
   7.80000000E-01  4.51259358E-01  1.26719803E+00
   7.90000000E-01  4.63972014E-01  1.27520571E+00
   8.00000000E-01  4.76760903E-01  1.28244243E+00
   8.10000000E-01  4.89618248E-01  1.28889494E+00
   8.20000000E-01  5.02536145E-01  1.29455062E+00
   8.30000000E-01  5.15506564E-01  1.29939743E+00
   8.40000000E-01  5.28521359E-01  1.30342394E+00
   8.50000000E-01  5.41572273E-01  1.30661936E+00
   8.60000000E-01  5.54650942E-01  1.30897350E+00
   8.70000000E-01  5.67748907E-01  1.31047681E+00
   8.80000000E-01  5.80857613E-01  1.31112038E+00
   8.90000000E-01  5.93968421E-01  1.31089596E+00
   9.00000000E-01  6.07072613E-01  1.30979592E+00
   9.10000000E-01  6.20161397E-01  1.30781331E+00
   9.20000000E-01  6.33225916E-01  1.30494181E+00
   9.30000000E-01  6.46257252E-01  1.30117578E+00
   9.40000000E-01  6.59246433E-01  1.29651026E+00
   9.50000000E-01  6.72184444E-01  1.29094092E+00
   9.60000000E-01  6.85062227E-01  1.28446413E+00
   9.70000000E-01  6.97870692E-01  1.27707692E+00
   9.80000000E-01  7.10600723E-01  1.26877701E+00
   9.90000000E-01  7.23243184E-01  1.25956278E+00
   1.00000000E+00  7.35788928E-01  1.24943330E+00
   1.01000000E+00  7.48228799E-01  1.23838830E+00
   1.02000000E+00  7.60553643E-01  1.22642821E+00
   1.03000000E+00  7.72754316E-01  1.21355413E+00
   1.04000000E+00  7.84821685E-01  1.19976781E+00
   1.05000000E+00  7.96746640E-01  1.18507171E+00
   1.06000000E+00  8.08520097E-01  1.16946896E+00
   1.07000000E+00  8.20133009E-01  1.15296333E+00
   1.08000000E+00  8.31576369E-01  1.13555929E+00
   1.09000000E+00  8.42841217E-01  1.11726197E+00
   1.10000000E+00  8.53918650E-01  1.09807714E+00
   1.11000000E+00  8.64799823E-01  1.07801126E+00
   1.12000000E+00  8.75475962E-01  1.05707141E+00
   1.13000000E+00  8.85938364E-01  1.03526535E+00
   1.14000000E+00  8.96178409E-01  1.01260146E+00
   1.15000000E+00  9.06187564E-01  9.89088769E-01
   1.16000000E+00  9.15957387E-01  9.64736939E-01
   1.17000000E+00  9.25479540E-01  9.39556253E-01
   1.18000000E+00  9.34745786E-01  9.13557615E-01
   1.19000000E+00  9.43748004E-01  8.86752540E-01
   1.20000000E+00  9.52478189E-01  8.59153147E-01
   1.21000000E+00  9.60928461E-01  8.30772152E-01
   1.22000000E+00  9.69091071E-01  8.01622859E-01
   1.23000000E+00  9.76958404E-01  7.71719150E-01
   1.24000000E+00  9.84522987E-01  7.41075479E-01
   1.25000000E+00  9.91777497E-01  7.09706860E-01
   1.26000000E+00  9.98714760E-01  6.77628858E-01
   1.27000000E+00  1.00532776E+00  6.44857577E-01
   1.28000000E+00  1.01160966E+00  6.11409656E-01
   1.29000000E+00  1.01755376E+00  5.77302249E-01
   1.30000000E+00  1.02315356E+00  5.42553022E-01
   1.31000000E+00  1.02840274E+00  5.07180137E-01
   1.32000000E+00  1.03329515E+00  4.71202240E-01
   1.33000000E+00  1.03782483E+00  4.34638453E-01
   1.34000000E+00  1.04198603E+00  3.97508358E-01
   1.35000000E+00  1.04577318E+00  3.59831985E-01
   1.36000000E+00  1.04918092E+00  3.21629800E-01
   1.37000000E+00  1.05220409E+00  2.82922691E-01
   1.38000000E+00  1.05483776E+00  2.43731956E-01
   1.39000000E+00  1.05707719E+00  2.04079287E-01
   1.40000000E+00  1.05891788E+00  1.63986758E-01
   1.41000000E+00  1.06035553E+00  1.23476811E-01
   1.42000000E+00  1.06138610E+00  8.25722386E-02
   1.43000000E+00  1.06200574E+00  4.12961732E-02
   1.44000000E+00  1.06221086E+00 -3.27930019E-04
   1.45000000E+00  1.06199810E+00 -4.22763076E-02
   1.46000000E+00  1.06136433E+00 -8.45249032E-02
   1.47000000E+00  1.06030668E+00 -1.27049383E-01
   1.48000000E+00  1.05882251E+00 -1.69825150E-01
   1.49000000E+00  1.05690942E+00 -2.12827363E-01
   1.50000000E+00  1.05456529E+00 -2.56030948E-01
   1.51000000E+00  1.05178822E+00 -2.99410619E-01
   1.52000000E+00  1.04857658E+00 -3.42940891E-01
   1.53000000E+00  1.04492898E+00 -3.86596096E-01
   1.54000000E+00  1.04084432E+00 -4.30350403E-01
   1.55000000E+00  1.03632173E+00 -4.74177829E-01
   1.56000000E+00  1.03136061E+00 -5.18052261E-01
   1.57000000E+00  1.02596062E+00 -5.61947469E-01
   1.58000000E+00  1.02012168E+00 -6.05837126E-01
   1.59000000E+00  1.01384398E+00 -6.49694821E-01
   1.60000000E+00  1.00712798E+00 -6.93494079E-01
   1.61000000E+00  9.99974383E-01 -7.37208376E-01
   1.62000000E+00  9.92384182E-01 -7.80811157E-01
   1.63000000E+00  9.84358621E-01 -8.24275853E-01
   1.64000000E+00  9.75899214E-01 -8.67575897E-01
   1.65000000E+00  9.67007740E-01 -9.10684743E-01
   1.66000000E+00  9.57686244E-01 -9.53575879E-01
   1.67000000E+00  9.47937036E-01 -9.96222849E-01
   1.68000000E+00  9.37762689E-01 -1.03859927E+00
   1.69000000E+00  9.27166040E-01 -1.08067883E+00
   1.70000000E+00  9.16150189E-01 -1.12243535E+00
   1.71000000E+00  9.04718497E-01 -1.16384275E+00
   1.72000000E+00  8.92874585E-01 -1.20487509E+00
   1.73000000E+00  8.80622332E-01 -1.24550659E+00
   1.74000000E+00  8.67965875E-01 -1.28571163E+00
   1.75000000E+00  8.54909605E-01 -1.32546480E+00
   1.76000000E+00  8.41458169E-01 -1.36474088E+00
   1.77000000E+00  8.27616461E-01 -1.40351485E+00
   1.78000000E+00  8.13389628E-01 -1.44176196E+00
   1.79000000E+00  7.98783060E-01 -1.47945768E+00
   1.80000000E+00  7.83802393E-01 -1.51657778E+00
   1.81000000E+00  7.68453503E-01 -1.55309828E+00
   1.82000000E+00  7.52742505E-01 -1.58899552E+00
   1.83000000E+00  7.36675748E-01 -1.62424615E+00
   1.84000000E+00  7.20259814E-01 -1.65882714E+00
   1.85000000E+00  7.03501513E-01 -1.69271580E+00
   1.86000000E+00  6.86407881E-01 -1.72588983E+00
   1.87000000E+00  6.68986172E-01 -1.75832725E+00
   1.88000000E+00  6.51243863E-01 -1.79000652E+00
   1.89000000E+00  6.33188640E-01 -1.82090646E+00
   1.90000000E+00  6.14828401E-01 -1.85100632E+00
   1.91000000E+00  5.96171248E-01 -1.88028578E+00
   1.92000000E+00  5.77225486E-01 -1.90872496E+00
   1.93000000E+00  5.57999615E-01 -1.93630443E+00
   1.94000000E+00  5.38502326E-01 -1.96300523E+00
   1.95000000E+00  5.18742501E-01 -1.98880887E+00
   1.96000000E+00  4.98729199E-01 -2.01369737E+00
   1.97000000E+00  4.78471662E-01 -2.03765322E+00
   1.98000000E+00  4.57979300E-01 -2.06065946E+00
   1.99000000E+00  4.37261693E-01 -2.08269964E+00
   2.00000000E+00  4.16328581E-01 -2.10375785E+00
   2.01000000E+00  3.95189861E-01 -2.12381870E+00
   2.02000000E+00  3.73855581E-01 -2.14286740E+00
