 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 2.719449E+00, L=   3  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-5.396577550084389E-01  (ETA=-4.287899E-01)
 #      Matching radius: RAD(    5)= 4.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  5.37001888E-09  2.14672361E-06
   2.00000000E-02  8.56896535E-08  1.71147887E-05
   3.00000000E-02  4.32659841E-07  5.75731750E-05
   4.00000000E-02  1.36372749E-06  1.35998818E-04
   5.00000000E-02  3.32018640E-06  2.64683207E-04
   6.00000000E-02  6.86523386E-06  4.55713393E-04
   7.00000000E-02  1.26818792E-05  7.20963671E-04
   8.00000000E-02  2.15707752E-05  1.07208663E-03
   9.00000000E-02  3.44479517E-05  1.52050355E-03
   1.00000000E-01  5.23424566E-05  2.07739526E-03
   1.10000000E-01  7.63939064E-05  2.75369318E-03
   1.20000000E-01  1.07849948E-04  3.56007062E-03
   1.30000000E-01  1.48063637E-04  4.50693428E-03
   1.40000000E-01  1.98490726E-04  5.60441606E-03
   1.50000000E-01  2.60686881E-04  6.86236501E-03
   1.60000000E-01  3.36304811E-04  8.29033960E-03
   1.70000000E-01  4.27091327E-04  9.89760025E-03
   1.80000000E-01  5.34884321E-04  1.16931020E-02
   1.90000000E-01  6.61609682E-04  1.36854877E-02
   2.00000000E-01  8.09278137E-04  1.58830811E-02
   2.10000000E-01  9.79982028E-04  1.82938805E-02
   2.20000000E-01  1.17589203E-03  2.09255526E-02
   2.30000000E-01  1.39925379E-03  2.37854266E-02
   2.40000000E-01  1.65238456E-03  2.68804885E-02
   2.50000000E-01  1.93766969E-03  3.02173758E-02
   2.60000000E-01  2.25755915E-03  3.38023724E-02
   2.70000000E-01  2.61456396E-03  3.76414042E-02
   2.80000000E-01  3.01125260E-03  4.17400341E-02
   2.90000000E-01  3.45024733E-03  4.61034580E-02
   3.00000000E-01  3.93422053E-03  5.07365012E-02
   3.10000000E-01  4.46589096E-03  5.56436144E-02
   3.20000000E-01  5.04802000E-03  6.08288707E-02
   3.30000000E-01  5.68340787E-03  6.62959625E-02
   3.40000000E-01  6.37488978E-03  7.20481989E-02
   3.50000000E-01  7.12533212E-03  7.80885032E-02
   3.60000000E-01  7.93762857E-03  8.44194109E-02
   3.70000000E-01  8.81469621E-03  9.10430678E-02
   3.80000000E-01  9.75947165E-03  9.79612289E-02
   3.90000000E-01  1.07749071E-02  1.05175257E-01
   4.00000000E-01  1.18639663E-02  1.12686121E-01
   4.10000000E-01  1.30296209E-02  1.20494398E-01
   4.20000000E-01  1.42748463E-02  1.28600269E-01
   4.30000000E-01  1.56026176E-02  1.37003524E-01
   4.40000000E-01  1.70159060E-02  1.45703556E-01
   4.50000000E-01  1.85176747E-02  1.54699368E-01
