 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 1.359724E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift=-1.263814849323808E-04
 #      Coulomb phase shift= 2.742891313009810E-01  (ETA=-6.064006E-01)
 #      Matching radius: RAD(    6)= 5.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.21585373E-02  3.19179738E+00
   2.00000000E-02  6.37322117E-02  3.12325151E+00
   3.00000000E-02  9.46426954E-02  3.05873978E+00
   4.00000000E-02  1.24901441E-01  2.99297954E+00
   5.00000000E-02  1.54501732E-01  2.92705289E+00
   6.00000000E-02  1.83442018E-01  2.86098205E+00
   7.00000000E-02  2.11720961E-01  2.79478774E+00
   8.00000000E-02  2.39337428E-01  2.72848993E+00
   9.00000000E-02  2.66290480E-01  2.66210818E+00
   1.00000000E-01  2.92579376E-01  2.59566173E+00
   1.10000000E-01  3.18203563E-01  2.52916966E+00
   1.20000000E-01  3.43162680E-01  2.46265086E+00
   1.30000000E-01  3.67456553E-01  2.39612407E+00
   1.40000000E-01  3.91085197E-01  2.32960791E+00
   1.50000000E-01  4.14048809E-01  2.26312086E+00
   1.60000000E-01  4.36347772E-01  2.19668131E+00
   1.70000000E-01  4.57982654E-01  2.13030748E+00
   1.80000000E-01  4.78954201E-01  2.06401750E+00
   1.90000000E-01  4.99263343E-01  1.99782937E+00
   2.00000000E-01  5.18911188E-01  1.93176095E+00
   2.10000000E-01  5.37899021E-01  1.86582998E+00
   2.20000000E-01  5.56228304E-01  1.80005407E+00
   2.30000000E-01  5.73900677E-01  1.73445068E+00
   2.40000000E-01  5.90917951E-01  1.66903715E+00
   2.50000000E-01  6.07282110E-01  1.60383065E+00
   2.60000000E-01  6.22995311E-01  1.53884822E+00
   2.70000000E-01  6.38059878E-01  1.47410675E+00
   2.80000000E-01  6.52478305E-01  1.40962297E+00
   2.90000000E-01  6.66253252E-01  1.34541345E+00
   3.00000000E-01  6.79387543E-01  1.28149459E+00
   3.10000000E-01  6.91884166E-01  1.21788265E+00
   3.20000000E-01  7.03746272E-01  1.15459368E+00
   3.30000000E-01  7.14977170E-01  1.09164360E+00
   3.40000000E-01  7.25580326E-01  1.02904813E+00
   3.50000000E-01  7.35559366E-01  9.66822804E-01
   3.60000000E-01  7.44918067E-01  9.04982982E-01
   3.70000000E-01  7.53660361E-01  8.43543836E-01
   3.80000000E-01  7.61790330E-01  7.82520344E-01
   3.90000000E-01  7.69312203E-01  7.21927292E-01
   4.00000000E-01  7.76230359E-01  6.61779267E-01
   4.10000000E-01  7.82549320E-01  6.02090656E-01
   4.20000000E-01  7.88273751E-01  5.42875642E-01
   4.30000000E-01  7.93408458E-01  4.84148200E-01
   4.40000000E-01  7.97958386E-01  4.25922096E-01
   4.50000000E-01  8.01928616E-01  3.68210883E-01
   4.60000000E-01  8.05324364E-01  3.11027898E-01
   4.70000000E-01  8.08150979E-01  2.54386259E-01
   4.80000000E-01  8.10413937E-01  1.98298862E-01
   4.90000000E-01  8.12118846E-01  1.42778380E-01
   5.00000000E-01  8.13271436E-01  8.78372571E-02
   5.10000000E-01  8.13877563E-01  3.34877106E-02
   5.20000000E-01  8.13943202E-01 -2.02582756E-02
   5.30000000E-01  8.13474448E-01 -7.33889518E-02
   5.40000000E-01  8.12477512E-01 -1.25892805E-01
