 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 4.409917E-01, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-3.309325258271656E-09
 #      Coulomb phase shift=-5.229173008327528E-01  (ETA=-1.064804E+00)
 #      Matching radius: RAD(   11)= 1.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.10593813E-04  2.20709275E-02
   2.00000000E-02  4.40155807E-04  4.37865436E-02
   3.00000000E-02  9.85329072E-04  6.51923683E-02
   4.00000000E-02  1.74285297E-03  8.62571154E-02
   5.00000000E-02  2.70936567E-03  1.06990162E-01
   6.00000000E-02  3.88155153E-03  1.27391812E-01
   7.00000000E-02  5.25609869E-03  1.47462497E-01
   8.00000000E-02  6.82969990E-03  1.67202710E-01
   9.00000000E-02  8.59905308E-03  1.86612982E-01
   1.00000000E-01  1.05608616E-02  2.05693878E-01
   1.10000000E-01  1.27118347E-02  2.24445998E-01
   1.20000000E-01  1.50486877E-02  2.42869969E-01
   1.30000000E-01  1.75681425E-02  2.60966449E-01
   1.40000000E-01  2.02669274E-02  2.78736126E-01
   1.50000000E-01  2.31417780E-02  2.96179716E-01
   1.60000000E-01  2.61894372E-02  3.13297964E-01
   1.70000000E-01  2.94066554E-02  3.30091642E-01
   1.80000000E-01  3.27901908E-02  3.46561552E-01
   1.90000000E-01  3.63368100E-02  3.62708523E-01
   2.00000000E-01  4.00432877E-02  3.78533412E-01
   2.10000000E-01  4.39064076E-02  3.94037102E-01
   2.20000000E-01  4.79229621E-02  4.09220506E-01
   2.30000000E-01  5.20897532E-02  4.24084563E-01
   2.40000000E-01  5.64035921E-02  4.38630236E-01
   2.50000000E-01  6.08612999E-02  4.52858520E-01
   2.60000000E-01  6.54597079E-02  4.66770431E-01
   2.70000000E-01  7.01956575E-02  4.80367015E-01
   2.80000000E-01  7.50660007E-02  4.93649343E-01
   2.90000000E-01  8.00676005E-02  5.06618511E-01
   3.00000000E-01  8.51973308E-02  5.19275642E-01
   3.10000000E-01  9.04520770E-02  5.31621882E-01
   3.20000000E-01  9.58287360E-02  5.43658404E-01
   3.30000000E-01  1.01324217E-01  5.55386406E-01
   3.40000000E-01  1.06935440E-01  5.66807110E-01
   3.50000000E-01  1.12659339E-01  5.77921762E-01
