 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 2.719449E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-1.211718192450917E-08
 #      Coulomb phase shift=-1.864915662955106E-01  (ETA=-4.287899E-01)
 #      Matching radius: RAD(    5)= 4.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.33618419E-04  6.65763397E-02
   2.00000000E-02  1.32759651E-03  1.32044547E-01
   3.00000000E-02  2.97126627E-03  1.96506352E-01
   4.00000000E-02  5.25389808E-03  2.59832556E-01
   5.00000000E-02  8.16411255E-03  3.22017368E-01
   6.00000000E-02  1.16903328E-02  3.83028420E-01
   7.00000000E-02  1.58206643E-02  4.42834522E-01
   8.00000000E-02  2.05429059E-02  5.01405473E-01
   9.00000000E-02  2.58445590E-02  5.58712022E-01
   1.00000000E-01  3.17128372E-02  6.14725857E-01
   1.10000000E-01  3.81346758E-02  6.69419616E-01
   1.20000000E-01  4.50967412E-02  7.22766892E-01
   1.30000000E-01  5.25854405E-02  7.74742244E-01
   1.40000000E-01  6.05869313E-02  8.25321209E-01
   1.50000000E-01  6.90871316E-02  8.74480308E-01
   1.60000000E-01  7.80717295E-02  9.22197057E-01
   1.70000000E-01  8.75261932E-02  9.68449978E-01
   1.80000000E-01  9.74357813E-02  1.01321861E+00
   1.90000000E-01  1.07785553E-01  1.05648349E+00
   2.00000000E-01  1.18560377E-01  1.09822623E+00
   2.10000000E-01  1.29744945E-01  1.13842942E+00
   2.20000000E-01  1.41323779E-01  1.17707673E+00
   2.30000000E-01  1.53281243E-01  1.21415286E+00
   2.40000000E-01  1.65601552E-01  1.24964357E+00
   2.50000000E-01  1.78268785E-01  1.28353566E+00
   2.60000000E-01  1.91266895E-01  1.31581700E+00
   2.70000000E-01  2.04579719E-01  1.34647653E+00
   2.80000000E-01  2.18190986E-01  1.37550422E+00
   2.90000000E-01  2.32084334E-01  1.40289114E+00
   3.00000000E-01  2.46243314E-01  1.42862942E+00
   3.10000000E-01  2.60651404E-01  1.45271224E+00
   3.20000000E-01  2.75292021E-01  1.47513385E+00
   3.30000000E-01  2.90148528E-01  1.49588959E+00
   3.40000000E-01  3.05204248E-01  1.51497584E+00
   3.50000000E-01  3.20442471E-01  1.53239005E+00
   3.60000000E-01  3.35846470E-01  1.54813072E+00
   3.70000000E-01  3.51399506E-01  1.56219743E+00
   3.80000000E-01  3.67084841E-01  1.57459079E+00
   3.90000000E-01  3.82885749E-01  1.58531246E+00
   4.00000000E-01  3.98785527E-01  1.59436516E+00
   4.10000000E-01  4.14767501E-01  1.60175263E+00
