 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 1.359724E+00, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-9.151143666297321E-01  (ETA=-6.064006E-01)
 #      Matching radius: RAD(    6)= 5.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.16959915E-12  1.58419171E-09
   2.00000000E-02  1.01211882E-10  2.52816719E-08
   3.00000000E-02  7.67006973E-10  1.27677172E-07
   4.00000000E-02  3.22544375E-09  4.02503412E-07
   5.00000000E-02  9.82250088E-09  9.80162318E-07
   6.00000000E-02  2.46157073E-08  2.05420057E-06
   7.00000000E-02  5.31777134E-08  3.79063207E-06
   8.00000000E-02  1.03492230E-07  6.44743423E-06
   9.00000000E-02  1.86104354E-07  1.02987800E-05
   1.00000000E-01  3.14475699E-07  1.56536152E-05
   1.10000000E-01  5.05327337E-07  2.28547598E-05
   1.20000000E-01  7.78974945E-07  3.22782034E-05
   1.30000000E-01  1.15965720E-06  4.43324473E-05
   1.40000000E-01  1.67585763E-06  5.94578522E-05
   1.50000000E-01  2.36061993E-06  7.81259797E-05
   1.60000000E-01  3.25185663E-06  1.00838924E-04
   1.70000000E-01  4.39265105E-06  1.28128632E-04
   1.80000000E-01  5.83155235E-06  1.60556212E-04
   1.90000000E-01  7.62286365E-06  1.98711226E-04
   2.00000000E-01  9.82692302E-06  2.43210982E-04
   2.10000000E-01  1.25103772E-05  2.94699798E-04
   2.20000000E-01  1.57464483E-05  3.53848273E-04
   2.30000000E-01  1.96151926E-05  4.21352533E-04
   2.40000000E-01  2.42037519E-05  4.97933472E-04
   2.50000000E-01  2.96065980E-05  5.84335989E-04
   2.60000000E-01  3.59257682E-05  6.81328204E-04
   2.70000000E-01  4.32710939E-05  7.89700672E-04
   2.80000000E-01  5.17604208E-05  9.10265587E-04
   2.90000000E-01  6.15198216E-05  1.04385598E-03
   3.00000000E-01  7.26838000E-05  1.19132489E-03
   3.10000000E-01  8.53954867E-05  1.35354459E-03
   3.20000000E-01  9.98068278E-05  1.53140568E-03
   3.30000000E-01  1.16078764E-04  1.72581632E-03
   3.40000000E-01  1.34381401E-04  1.93770138E-03
   3.50000000E-01  1.54894173E-04  2.16800155E-03
   3.60000000E-01  1.77805999E-04  2.41767253E-03
   3.70000000E-01  2.03315424E-04  2.68768414E-03
   3.80000000E-01  2.31630760E-04  2.97901948E-03
   3.90000000E-01  2.62970210E-04  3.29267406E-03
   4.00000000E-01  2.97561994E-04  3.62965490E-03
   4.10000000E-01  3.35644454E-04  3.99097967E-03
   4.20000000E-01  3.77466158E-04  4.37767583E-03
   4.30000000E-01  4.23285995E-04  4.79077969E-03
   4.40000000E-01  4.73373258E-04  5.23133559E-03
   4.50000000E-01  5.28007718E-04  5.70039498E-03
   4.60000000E-01  5.87479694E-04  6.19901549E-03
   4.70000000E-01  6.52090108E-04  6.72826013E-03
   4.80000000E-01  7.22150534E-04  7.28919629E-03
   4.90000000E-01  7.97983241E-04  7.88289495E-03
   5.00000000E-01  8.79921220E-04  8.51042969E-03
   5.10000000E-01  9.68308206E-04  9.17287585E-03
   5.20000000E-01  1.06349870E-03  9.87130965E-03
   5.30000000E-01  1.16585795E-03  1.06068072E-02
   5.40000000E-01  1.27576197E-03  1.13804438E-02
   5.50000000E-01  1.39359753E-03  1.21932928E-02
   5.60000000E-01  1.51976210E-03  1.30464249E-02
   5.70000000E-01  1.65466386E-03  1.39409072E-02
   5.80000000E-01  1.79872162E-03  1.48778022E-02
   5.90000000E-01  1.95236481E-03  1.58581673E-02
