 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 2.719449E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift=-1.325284808419980E-04
 #      Coulomb phase shift= 2.185847725283976E-01  (ETA=-4.287899E-01)
 #      Matching radius: RAD(    5)= 4.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.91627630E-02  3.88662428E+00
   2.00000000E-02  7.76026558E-02  3.80156432E+00
   3.00000000E-02  1.15213943E-01  3.72039731E+00
   4.00000000E-02  1.52000526E-01  3.63672065E+00
   5.00000000E-02  1.87944484E-01  3.55188219E+00
   6.00000000E-02  2.23034490E-01  3.46593981E+00
   7.00000000E-02  2.57259789E-01  3.37894998E+00
   8.00000000E-02  2.90610185E-01  3.29096862E+00
   9.00000000E-02  3.23076042E-01  3.20205148E+00
   1.00000000E-01  3.54648281E-01  3.11225430E+00
   1.10000000E-01  3.85318380E-01  3.02163286E+00
   1.20000000E-01  4.15078377E-01  2.93024301E+00
   1.30000000E-01  4.43920866E-01  2.83814067E+00
   1.40000000E-01  4.71839002E-01  2.74538184E+00
   1.50000000E-01  4.98826501E-01  2.65202253E+00
   1.60000000E-01  5.24877638E-01  2.55811879E+00
   1.70000000E-01  5.49987249E-01  2.46372668E+00
   1.80000000E-01  5.74150730E-01  2.36890220E+00
   1.90000000E-01  5.97364038E-01  2.27370132E+00
   2.00000000E-01  6.19623688E-01  2.17817992E+00
   2.10000000E-01  6.40926754E-01  2.08239375E+00
   2.20000000E-01  6.61270866E-01  1.98639844E+00
   2.30000000E-01  6.80654211E-01  1.89024944E+00
   2.40000000E-01  6.99075527E-01  1.79400200E+00
   2.50000000E-01  7.16534106E-01  1.69771114E+00
   2.60000000E-01  7.33029788E-01  1.60143164E+00
   2.70000000E-01  7.48562958E-01  1.50521795E+00
   2.80000000E-01  7.63134547E-01  1.40912427E+00
   2.90000000E-01  7.76746023E-01  1.31320440E+00
   3.00000000E-01  7.89399392E-01  1.21751179E+00
   3.10000000E-01  8.01097193E-01  1.12209950E+00
   3.20000000E-01  8.11842492E-01  1.02702016E+00
   3.30000000E-01  8.21638880E-01  9.32325933E-01
   3.40000000E-01  8.30490467E-01  8.38068514E-01
   3.50000000E-01  8.38401877E-01  7.44299088E-01
   3.60000000E-01  8.45378244E-01  6.51068303E-01
   3.70000000E-01  8.51425206E-01  5.58426252E-01
   3.80000000E-01  8.56548897E-01  4.66422440E-01
   3.90000000E-01  8.60755945E-01  3.75105763E-01
   4.00000000E-01  8.64053463E-01  2.84524482E-01
   4.10000000E-01  8.66449045E-01  1.94726199E-01
   4.20000000E-01  8.67950754E-01  1.05757832E-01
   4.30000000E-01  8.68567122E-01  1.76655937E-02
   4.40000000E-01  8.68307138E-01 -6.95050323E-02
   4.50000000E-01  8.67180242E-01 -1.55709315E-01
   4.60000000E-01  8.65196319E-01 -2.40903297E-01
   4.70000000E-01  8.62365688E-01 -3.25043815E-01
   4.80000000E-01  8.58699096E-01 -4.08088524E-01
   4.90000000E-01  8.54207709E-01 -4.89995914E-01
   5.00000000E-01  8.48903104E-01 -5.70725331E-01
   5.10000000E-01  8.42797261E-01 -6.50236999E-01
   5.20000000E-01  8.35902553E-01 -7.28492034E-01
   5.30000000E-01  8.28231736E-01 -8.05452467E-01
   5.40000000E-01  8.19797943E-01 -8.81081259E-01
   5.50000000E-01  8.10614670E-01 -9.55342318E-01
   5.60000000E-01  8.00695773E-01 -1.02820052E+00
   5.70000000E-01  7.90055450E-01 -1.09962171E+00
   5.80000000E-01  7.78708239E-01 -1.16957274E+00
   5.90000000E-01  7.66669003E-01 -1.23802147E+00
   6.00000000E-01  7.53952921E-01 -1.30493679E+00
   6.10000000E-01  7.40575479E-01 -1.37028861E+00
   6.20000000E-01  7.26552457E-01 -1.43404791E+00
   6.30000000E-01  7.11899922E-01 -1.49618671E+00
   6.40000000E-01  6.96634214E-01 -1.55667814E+00
   6.50000000E-01  6.80771937E-01 -1.61549638E+00
   6.60000000E-01  6.64329947E-01 -1.67261673E+00
   6.70000000E-01  6.47325341E-01 -1.72801558E+00
   6.80000000E-01  6.29775448E-01 -1.78167044E+00
   6.90000000E-01  6.11697817E-01 -1.83355995E+00
   7.00000000E-01  5.93110202E-01 -1.88366386E+00
   7.10000000E-01  5.74030555E-01 -1.93196310E+00
   7.20000000E-01  5.54477015E-01 -1.97843969E+00
   7.30000000E-01  5.34467893E-01 -2.02307685E+00
   7.40000000E-01  5.14021662E-01 -2.06585891E+00
   7.50000000E-01  4.93156947E-01 -2.10677139E+00
   7.60000000E-01  4.71892511E-01 -2.14580097E+00
   7.70000000E-01  4.50247244E-01 -2.18293549E+00
   7.80000000E-01  4.28240155E-01 -2.21816395E+00
   7.90000000E-01  4.05890352E-01 -2.25147653E+00
   8.00000000E-01  3.83217039E-01 -2.28286460E+00
   8.10000000E-01  3.60239500E-01 -2.31232066E+00
   8.20000000E-01  3.36977087E-01 -2.33983841E+00
   8.30000000E-01  3.13449210E-01 -2.36541273E+00
   8.40000000E-01  2.89675324E-01 -2.38903964E+00
   8.50000000E-01  2.65674918E-01 -2.41071634E+00
   8.60000000E-01  2.41467504E-01 -2.43044121E+00
   8.70000000E-01  2.17072602E-01 -2.44821377E+00
   8.80000000E-01  1.92509734E-01 -2.46403469E+00
   8.90000000E-01  1.67798407E-01 -2.47790583E+00
   9.00000000E-01  1.42958107E-01 -2.48983015E+00
   9.10000000E-01  1.18008280E-01 -2.49981178E+00
   9.20000000E-01  9.29683294E-02 -2.50785596E+00
   9.30000000E-01  6.78575979E-02 -2.51396910E+00
   9.40000000E-01  4.26953595E-02 -2.51815867E+00
   9.50000000E-01  1.75008078E-02 -2.52043329E+00
   9.60000000E-01 -7.70695532E-03 -2.52080266E+00
   9.70000000E-01 -3.29089305E-02 -2.51927760E+00
   9.80000000E-01 -5.80862319E-02 -2.51586997E+00
   9.90000000E-01 -8.32200977E-02 -2.51059272E+00
   1.00000000E+00 -1.08291901E-01 -2.50345987E+00
   1.01000000E+00 -1.33283160E-01 -2.49448647E+00
   1.02000000E+00 -1.58175549E-01 -2.48368859E+00
   1.03000000E+00 -1.82950907E-01 -2.47108336E+00
   1.04000000E+00 -2.07591252E-01 -2.45668888E+00
   1.05000000E+00 -2.32078784E-01 -2.44052426E+00
   1.06000000E+00 -2.56395903E-01 -2.42260958E+00
   1.07000000E+00 -2.80525212E-01 -2.40296589E+00
   1.08000000E+00 -3.04449531E-01 -2.38161519E+00
   1.09000000E+00 -3.28151902E-01 -2.35858038E+00
   1.10000000E+00 -3.51615604E-01 -2.33388532E+00
   1.11000000E+00 -3.74824157E-01 -2.30755472E+00
   1.12000000E+00 -3.97761332E-01 -2.27961421E+00
   1.13000000E+00 -4.20411163E-01 -2.25009026E+00
   1.14000000E+00 -4.42757950E-01 -2.21901018E+00
   1.15000000E+00 -4.64786273E-01 -2.18640210E+00
   1.16000000E+00 -4.86480995E-01 -2.15229498E+00
   1.17000000E+00 -5.07827275E-01 -2.11671852E+00
   1.18000000E+00 -5.28810570E-01 -2.07970323E+00
   1.19000000E+00 -5.49416647E-01 -2.04128034E+00
   1.20000000E+00 -5.69631591E-01 -2.00148179E+00
   1.21000000E+00 -5.89441806E-01 -1.96034026E+00
   1.22000000E+00 -6.08834030E-01 -1.91788906E+00
   1.23000000E+00 -6.27795335E-01 -1.87416220E+00
   1.24000000E+00 -6.46313137E-01 -1.82919430E+00
   1.25000000E+00 -6.64375202E-01 -1.78302061E+00
   1.26000000E+00 -6.81969650E-01 -1.73567696E+00
   1.27000000E+00 -6.99084962E-01 -1.68719974E+00
   1.28000000E+00 -7.15709989E-01 -1.63762590E+00
   1.29000000E+00 -7.31833950E-01 -1.58699290E+00
   1.30000000E+00 -7.47446443E-01 -1.53533870E+00
   1.31000000E+00 -7.62537448E-01 -1.48270174E+00
   1.32000000E+00 -7.77097331E-01 -1.42912088E+00
   1.33000000E+00 -7.91116850E-01 -1.37463544E+00
   1.34000000E+00 -8.04587157E-01 -1.31928511E+00
   1.35000000E+00 -8.17499803E-01 -1.26310998E+00
   1.36000000E+00 -8.29846742E-01 -1.20615047E+00
   1.37000000E+00 -8.41620334E-01 -1.14844732E+00
   1.38000000E+00 -8.52813347E-01 -1.09004160E+00
   1.39000000E+00 -8.63418961E-01 -1.03097462E+00
   1.40000000E+00 -8.73430773E-01 -9.71287953E-01
   1.41000000E+00 -8.82842794E-01 -9.11023402E-01
   1.42000000E+00 -8.91649455E-01 -8.50222958E-01
   1.43000000E+00 -8.99845608E-01 -7.88928789E-01
   1.44000000E+00 -9.07426526E-01 -7.27183209E-01
   1.45000000E+00 -9.14387908E-01 -6.65028653E-01
   1.46000000E+00 -9.20725878E-01 -6.02507654E-01
   1.47000000E+00 -9.26436982E-01 -5.39662814E-01
   1.48000000E+00 -9.31518197E-01 -4.76536780E-01
   1.49000000E+00 -9.35966923E-01 -4.13172220E-01
   1.50000000E+00 -9.39780988E-01 -3.49611796E-01
   1.51000000E+00 -9.42958648E-01 -2.85898138E-01
   1.52000000E+00 -9.45498582E-01 -2.22073821E-01
   1.53000000E+00 -9.47399897E-01 -1.58181338E-01
   1.54000000E+00 -9.48662123E-01 -9.42630768E-02
   1.55000000E+00 -9.49285213E-01 -3.03612939E-02
   1.56000000E+00 -9.49269544E-01  3.34819099E-02
   1.57000000E+00 -9.48615910E-01  9.72246142E-02
   1.58000000E+00 -9.47325526E-01  1.60825103E-01
   1.59000000E+00 -9.45400021E-01  2.24241888E-01
   1.60000000E+00 -9.42841438E-01  2.87433736E-01
   1.61000000E+00 -9.39652232E-01  3.50359688E-01
   1.62000000E+00 -9.35835266E-01  4.12979086E-01
   1.63000000E+00 -9.31393807E-01  4.75251594E-01
   1.64000000E+00 -9.26331524E-01  5.37137224E-01
   1.65000000E+00 -9.20652484E-01  5.98596357E-01
   1.66000000E+00 -9.14361149E-01  6.59589763E-01
   1.67000000E+00 -9.07462371E-01  7.20078629E-01
   1.68000000E+00 -8.99961386E-01  7.80024576E-01
   1.69000000E+00 -8.91863815E-01  8.39389683E-01
   1.70000000E+00 -8.83175654E-01  8.98136506E-01
   1.71000000E+00 -8.73903269E-01  9.56228103E-01
   1.72000000E+00 -8.64053397E-01  1.01362805E+00
   1.73000000E+00 -8.53633133E-01  1.07030047E+00
   1.74000000E+00 -8.42649931E-01  1.12621002E+00
   1.75000000E+00 -8.31111592E-01  1.18132199E+00
   1.76000000E+00 -8.19026264E-01  1.23560220E+00
   1.77000000E+00 -8.06402432E-01  1.28901715E+00
   1.78000000E+00 -7.93248914E-01  1.34153394E+00
   1.79000000E+00 -7.79574854E-01  1.39312034E+00
   1.80000000E+00 -7.65389714E-01  1.44374476E+00
   1.81000000E+00 -7.50703269E-01  1.49337635E+00
   1.82000000E+00 -7.35525597E-01  1.54198492E+00
   1.83000000E+00 -7.19867078E-01  1.58954103E+00
   1.84000000E+00 -7.03738381E-01  1.63601595E+00
   1.85000000E+00 -6.87150457E-01  1.68138172E+00
   1.86000000E+00 -6.70114534E-01  1.72561114E+00
   1.87000000E+00 -6.52642110E-01  1.76867780E+00
   1.88000000E+00 -6.34744940E-01  1.81055607E+00
   1.89000000E+00 -6.16435033E-01  1.85122114E+00
   1.90000000E+00 -5.97724641E-01  1.89064900E+00
   1.91000000E+00 -5.78626254E-01  1.92881650E+00
   1.92000000E+00 -5.59152587E-01  1.96570131E+00
   1.93000000E+00 -5.39316575E-01  2.00128198E+00
   1.94000000E+00 -5.19131363E-01  2.03553789E+00
   1.95000000E+00 -4.98610299E-01  2.06844934E+00
   1.96000000E+00 -4.77766921E-01  2.09999748E+00
   1.97000000E+00 -4.56614953E-01  2.13016437E+00
   1.98000000E+00 -4.35168295E-01  2.15893296E+00
   1.99000000E+00 -4.13441009E-01  2.18628714E+00
   2.00000000E+00 -3.91447317E-01  2.21221169E+00
   2.01000000E+00 -3.69201588E-01  2.23669232E+00
   2.02000000E+00 -3.46718329E-01  2.25971568E+00
   2.03000000E+00 -3.24012174E-01  2.28126936E+00
   2.04000000E+00 -3.01097879E-01  2.30134188E+00
   2.05000000E+00 -2.77990309E-01  2.31992270E+00
   2.06000000E+00 -2.54704429E-01  2.33700226E+00
   2.07000000E+00 -2.31255296E-01  2.35257193E+00
   2.08000000E+00 -2.07658049E-01  2.36662405E+00
   2.09000000E+00 -1.83927896E-01  2.37915190E+00
   2.10000000E+00 -1.60080111E-01  2.39014974E+00
   2.11000000E+00 -1.36130018E-01  2.39961280E+00
   2.12000000E+00 -1.12092984E-01  2.40753724E+00
   2.13000000E+00 -8.79844112E-02  2.41392021E+00
   2.14000000E+00 -6.38197243E-02  2.41875982E+00
   2.15000000E+00 -3.96143625E-02  2.42205513E+00
   2.16000000E+00 -1.53837693E-02  2.42380617E+00
   2.17000000E+00  8.85661657E-03  2.42401392E+00
   2.18000000E+00  3.30913712E-02  2.42268032E+00
   2.19000000E+00  5.73050946E-02  2.41980825E+00
   2.20000000E+00  8.14824206E-02  2.41540155E+00
   2.21000000E+00  1.05608026E-01  2.40946501E+00
   2.22000000E+00  1.29666640E-01  2.40200433E+00
   2.23000000E+00  1.53643054E-01  2.39302617E+00
   2.24000000E+00  1.77522131E-01  2.38253810E+00
   2.25000000E+00  2.01288812E-01  2.37054862E+00
   2.26000000E+00  2.24928130E-01  2.35706714E+00
   2.27000000E+00  2.48425215E-01  2.34210396E+00
   2.28000000E+00  2.71765307E-01  2.32567030E+00
   2.29000000E+00  2.94933760E-01  2.30777825E+00
   2.30000000E+00  3.17916054E-01  2.28844079E+00
   2.31000000E+00  3.40697804E-01  2.26767177E+00
   2.32000000E+00  3.63264766E-01  2.24548590E+00
   2.33000000E+00  3.85602851E-01  2.22189871E+00
   2.34000000E+00  4.07698124E-01  2.19692662E+00
   2.35000000E+00  4.29536824E-01  2.17058682E+00
   2.36000000E+00  4.51105362E-01  2.14289736E+00
   2.37000000E+00  4.72390335E-01  2.11387705E+00
   2.38000000E+00  4.93378532E-01  2.08354554E+00
   2.39000000E+00  5.14056942E-01  2.05192319E+00
   2.40000000E+00  5.34412763E-01  2.01903118E+00
   2.41000000E+00  5.54433407E-01  1.98489141E+00
   2.42000000E+00  5.74106508E-01  1.94952650E+00
   2.43000000E+00  5.93419931E-01  1.91295981E+00
   2.44000000E+00  6.12361778E-01  1.87521539E+00
   2.45000000E+00  6.30920395E-01  1.83631799E+00
   2.46000000E+00  6.49084379E-01  1.79629300E+00
   2.47000000E+00  6.66842584E-01  1.75516649E+00
   2.48000000E+00  6.84184126E-01  1.71296516E+00
   2.49000000E+00  7.01098395E-01  1.66971631E+00
   2.50000000E+00  7.17575054E-01  1.62544788E+00
   2.51000000E+00  7.33604049E-01  1.58018836E+00
   2.52000000E+00  7.49175614E-01  1.53396681E+00
   2.53000000E+00  7.64280277E-01  1.48681285E+00
   2.54000000E+00  7.78908863E-01  1.43875661E+00
   2.55000000E+00  7.93052504E-01  1.38982875E+00
   2.56000000E+00  8.06702637E-01  1.34006040E+00
   2.57000000E+00  8.19851015E-01  1.28948316E+00
   2.58000000E+00  8.32489710E-01  1.23812911E+00
   2.59000000E+00  8.44611116E-01  1.18603071E+00
   2.60000000E+00  8.56207953E-01  1.13322088E+00
   2.61000000E+00  8.67273273E-01  1.07973289E+00
   2.62000000E+00  8.77800463E-01  1.02560039E+00
   2.63000000E+00  8.87783246E-01  9.70857398E-01
   2.64000000E+00  8.97215690E-01  9.15538230E-01
   2.65000000E+00  9.06092205E-01  8.59677521E-01
   2.66000000E+00  9.14407552E-01  8.03310189E-01
   2.67000000E+00  9.22156838E-01  7.46471412E-01
   2.68000000E+00  9.29335526E-01  6.89196610E-01
   2.69000000E+00  9.35939435E-01  6.31521424E-01
   2.70000000E+00  9.41964740E-01  5.73481689E-01
   2.71000000E+00  9.47407974E-01  5.15113419E-01
   2.72000000E+00  9.52266033E-01  4.56452780E-01
   2.73000000E+00  9.56536176E-01  3.97536069E-01
   2.74000000E+00  9.60216023E-01  3.38399696E-01
   2.75000000E+00  9.63303559E-01  2.79080155E-01
   2.76000000E+00  9.65797137E-01  2.19614008E-01
   2.77000000E+00  9.67695473E-01  1.60037859E-01
   2.78000000E+00  9.68997650E-01  1.00388337E-01
   2.79000000E+00  9.69703117E-01  4.07020661E-02
   2.80000000E+00  9.69811690E-01 -1.89843484E-02
   2.81000000E+00  9.69323551E-01 -7.86343468E-02
   2.82000000E+00  9.68239247E-01 -1.38211435E-01
   2.83000000E+00  9.66559687E-01 -1.97679208E-01
   2.84000000E+00  9.64286148E-01 -2.57001369E-01
   2.85000000E+00  9.61420266E-01 -3.16141752E-01
   2.86000000E+00  9.57964039E-01 -3.75064345E-01
   2.87000000E+00  9.53919824E-01 -4.33733310E-01
   2.88000000E+00  9.49290337E-01 -4.92113001E-01
   2.89000000E+00  9.44078647E-01 -5.50167993E-01
   2.90000000E+00  9.38288177E-01 -6.07863094E-01
   2.91000000E+00  9.31922701E-01 -6.65163373E-01
   2.92000000E+00  9.24986341E-01 -7.22034176E-01
   2.93000000E+00  9.17483563E-01 -7.78441146E-01
   2.94000000E+00  9.09419177E-01 -8.34350249E-01
   2.95000000E+00  9.00798330E-01 -8.89727785E-01
   2.96000000E+00  8.91626505E-01 -9.44540417E-01
   2.97000000E+00  8.81909515E-01 -9.98755182E-01
   2.98000000E+00  8.71653503E-01 -1.05233952E+00
   2.99000000E+00  8.60864933E-01 -1.10526127E+00
   3.00000000E+00  8.49550591E-01 -1.15748874E+00
   3.01000000E+00  8.37717577E-01 -1.20899065E+00
   3.02000000E+00  8.25373300E-01 -1.25973623E+00
   3.03000000E+00  8.12525475E-01 -1.30969516E+00
   3.04000000E+00  7.99182118E-01 -1.35883765E+00
   3.05000000E+00  7.85351541E-01 -1.40713444E+00
   3.06000000E+00  7.71042344E-01 -1.45455680E+00
   3.07000000E+00  7.56263413E-01 -1.50107654E+00
   3.08000000E+00  7.41023914E-01 -1.54666608E+00
