 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 4.409917E-01, L=   2  (EPS= 1.0E-15)
 #        Inner phase shift=-1.492139745096210E-13
 #      Coulomb phase shift=-1.012149375246654E+00  (ETA=-1.064804E+00)
 #      Matching radius: RAD(   11)= 1.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  2.35744882E-07  7.06517944E-05
   2.00000000E-02  1.87947015E-06  2.81266688E-04
   3.00000000E-02  6.32187110E-06  6.30074948E-04
   4.00000000E-02  1.49348042E-05  1.11505637E-03
   5.00000000E-02  2.90707048E-05  1.73434977E-03
   6.00000000E-02  5.00631343E-05  2.48604348E-03
   7.00000000E-02  7.92265315E-05  3.36822423E-03
   8.00000000E-02  1.17856190E-04  4.37897617E-03
   9.00000000E-02  1.67228231E-04  5.51638083E-03
   1.00000000E-01  2.28599579E-04  6.77851721E-03
   1.10000000E-01  3.03207937E-04  8.16346207E-03
   1.20000000E-01  3.92271764E-04  9.66929005E-03
   1.30000000E-01  4.96990258E-04  1.12940740E-02
   1.40000000E-01  6.18543334E-04  1.30358849E-02
   1.50000000E-01  7.58091613E-04  1.48927928E-02
   1.60000000E-01  9.16776407E-04  1.68628660E-02
   1.70000000E-01  1.09571971E-03  1.89441722E-02
   1.80000000E-01  1.29602418E-03  2.11347782E-02
   1.90000000E-01  1.51877316E-03  2.34327503E-02
   2.00000000E-01  1.76503063E-03  2.58361545E-02
   2.10000000E-01  2.03584124E-03  2.83430568E-02
   2.20000000E-01  2.33223031E-03  3.09515231E-02
   2.30000000E-01  2.65520381E-03  3.36596199E-02
   2.40000000E-01  3.00574837E-03  3.64654140E-02
   2.50000000E-01  3.38483131E-03  3.93669733E-02
   2.60000000E-01  3.79340061E-03  4.23623663E-02
   2.70000000E-01  4.23238498E-03  4.54496629E-02
   2.80000000E-01  4.70269379E-03  4.86269346E-02
   2.90000000E-01  5.20521716E-03  5.18922542E-02
   3.00000000E-01  5.74082595E-03  5.52436965E-02
   3.10000000E-01  6.31037176E-03  5.86793384E-02
   3.20000000E-01  6.91468698E-03  6.21972589E-02
   3.30000000E-01  7.55458480E-03  6.57955395E-02
   3.40000000E-01  8.23085925E-03  6.94722645E-02
   3.50000000E-01  8.94428519E-03  7.32255209E-02
   3.60000000E-01  9.69561840E-03  7.70533989E-02
   3.70000000E-01  1.04855956E-02  8.09539920E-02
   3.80000000E-01  1.13149343E-02  8.49253970E-02
   3.90000000E-01  1.21843332E-02  8.89657145E-02
   4.00000000E-01  1.30944720E-02  9.30730492E-02
   4.10000000E-01  1.40460113E-02  9.72455094E-02
   4.20000000E-01  1.50395929E-02  1.01481208E-01
   4.30000000E-01  1.60758400E-02  1.05778263E-01
   4.40000000E-01  1.71553565E-02  1.10134795E-01
   4.50000000E-01  1.82787279E-02  1.14548932E-01
   4.60000000E-01  1.94465209E-02  1.19018805E-01
   4.70000000E-01  2.06592835E-02  1.23542552E-01
   4.80000000E-01  2.19175453E-02  1.28118316E-01
   4.90000000E-01  2.32218171E-02  1.32744244E-01
   5.00000000E-01  2.45725913E-02  1.37418491E-01
   5.10000000E-01  2.59703418E-02  1.42139216E-01
   5.20000000E-01  2.74155244E-02  1.46904586E-01
   5.30000000E-01  2.89085763E-02  1.51712773E-01
   5.40000000E-01  3.04499165E-02  1.56561957E-01
   5.50000000E-01  3.20399460E-02  1.61450324E-01
   5.60000000E-01  3.36790476E-02  1.66376066E-01
   5.70000000E-01  3.53675859E-02  1.71337382E-01
   5.80000000E-01  3.71059078E-02  1.76332481E-01
   5.90000000E-01  3.88943422E-02  1.81359577E-01
   6.00000000E-01  4.07332001E-02  1.86416891E-01
   6.10000000E-01  4.26227748E-02  1.91502655E-01
   6.20000000E-01  4.45633421E-02  1.96615105E-01
   6.30000000E-01  4.65551600E-02  2.01752488E-01
   6.40000000E-01  4.85984692E-02  2.06913058E-01
   6.50000000E-01  5.06934927E-02  2.12095078E-01
   6.60000000E-01  5.28404365E-02  2.17296819E-01
   6.70000000E-01  5.50394891E-02  2.22516561E-01
   6.80000000E-01  5.72908220E-02  2.27752595E-01
   6.90000000E-01  5.95945896E-02  2.33003217E-01
   7.00000000E-01  6.19509293E-02  2.38266735E-01
   7.10000000E-01  6.43599617E-02  2.43541466E-01
   7.20000000E-01  6.68217904E-02  2.48825737E-01
   7.30000000E-01  6.93365027E-02  2.54117885E-01
   7.40000000E-01  7.19041689E-02  2.59416254E-01
   7.50000000E-01  7.45248430E-02  2.64719201E-01
   7.60000000E-01  7.71985627E-02  2.70025092E-01
   7.70000000E-01  7.99253492E-02  2.75332305E-01
   7.80000000E-01  8.27052078E-02  2.80639225E-01
   7.90000000E-01  8.55381274E-02  2.85944251E-01
   8.00000000E-01  8.84240812E-02  2.91245792E-01
   8.10000000E-01  9.13630264E-02  2.96542266E-01
   8.20000000E-01  9.43549044E-02  3.01832104E-01
   8.30000000E-01  9.73996411E-02  3.07113748E-01
