 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 1.359724E+00, L=   3  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-7.646598492919899E-01  (ETA=-6.064006E-01)
 #      Matching radius: RAD(    6)= 5.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.72915881E-09  6.91255319E-07
   2.00000000E-02  2.75935233E-08  5.51141948E-06
   3.00000000E-02  1.39334353E-07  1.85422072E-05
   4.00000000E-02  4.39223157E-07  4.38072017E-05
   5.00000000E-02  1.06949706E-06  8.52758731E-05
   6.00000000E-02  2.21179663E-06  1.46859103E-04
   7.00000000E-02  4.08657208E-06  2.32408066E-04
   8.00000000E-02  6.95248674E-06  3.45713599E-04
   9.00000000E-02  1.11058018E-05  4.90504333E-04
   1.00000000E-01  1.68797487E-05  6.70445490E-04
   1.10000000E-01  2.46438887E-05  8.89137592E-04
   1.20000000E-01  3.48034596E-05  1.15011519E-03
   1.30000000E-01  4.77987096E-05  1.45684564E-03
   1.40000000E-01  6.41042194E-05  1.81272788E-03
   1.50000000E-01  8.42282123E-05  2.22109129E-03
   1.60000000E-01  1.08711853E-04  2.68519452E-03
   1.70000000E-01  1.38128533E-04  3.20822442E-03
   1.80000000E-01  1.73083151E-04  3.79329491E-03
   1.90000000E-01  2.14211375E-04  4.44344601E-03
   2.00000000E-01  2.62178899E-04  5.16164275E-03
   2.10000000E-01  3.17680688E-04  5.95077428E-03
   2.20000000E-01  3.81440216E-04  6.81365283E-03
   2.30000000E-01  4.54208692E-04  7.75301290E-03
   2.40000000E-01  5.36764274E-04  8.77151031E-03
   2.50000000E-01  6.29911286E-04  9.87172140E-03
   2.60000000E-01  7.34479410E-04  1.10561422E-02
   2.70000000E-01  8.51322887E-04  1.23271876E-02
   2.80000000E-01  9.81319697E-04  1.36871908E-02
   2.90000000E-01  1.12537074E-03  1.51384024E-02
   3.00000000E-01  1.28439901E-03  1.66829898E-02
   3.10000000E-01  1.45934874E-03  1.83230366E-02
   3.20000000E-01  1.65118461E-03  2.00605419E-02
   3.30000000E-01  1.86089083E-03  2.18974200E-02
   3.40000000E-01  2.08947036E-03  2.38354996E-02
   3.50000000E-01  2.33794398E-03  2.58765231E-02
   3.60000000E-01  2.60734950E-03  2.80221469E-02
   3.70000000E-01  2.89874083E-03  3.02739402E-02
   3.80000000E-01  3.21318715E-03  3.26333849E-02
   3.90000000E-01  3.55177202E-03  3.51018754E-02
   4.00000000E-01  3.91559251E-03  3.76807182E-02
   4.10000000E-01  4.30575830E-03  4.03711313E-02
   4.20000000E-01  4.72339081E-03  4.31742444E-02
   4.30000000E-01  5.16962233E-03  4.60910984E-02
   4.40000000E-01  5.64559510E-03  4.91226456E-02
   4.50000000E-01  6.15246044E-03  5.22697489E-02
   4.60000000E-01  6.69137785E-03  5.55331824E-02
   4.70000000E-01  7.26351415E-03  5.89136308E-02
   4.80000000E-01  7.87004251E-03  6.24116896E-02
   4.90000000E-01  8.51214167E-03  6.60278653E-02
   5.00000000E-01  9.19099494E-03  6.97625750E-02
   5.10000000E-01  9.90778939E-03  7.36161467E-02
   5.20000000E-01  1.06637149E-02  7.75888195E-02
   5.30000000E-01  1.14599633E-02  8.16807436E-02
   5.40000000E-01  1.22977275E-02  8.58919804E-02
   5.50000000E-01  1.31782005E-02  9.02225029E-02
   5.60000000E-01  1.41025748E-02  9.46721959E-02
   5.70000000E-01  1.50720410E-02  9.92408562E-02
   5.80000000E-01  1.60877875E-02  1.03928193E-01
   5.90000000E-01  1.71509992E-02  1.08733828E-01
   6.00000000E-01  1.82628569E-02  1.13657296E-01
   6.10000000E-01  1.94245361E-02  1.18698046E-01
   6.20000000E-01  2.06372066E-02  1.23855440E-01
   6.30000000E-01  2.19020313E-02  1.29128754E-01
   6.40000000E-01  2.32201654E-02  1.34517181E-01
   6.50000000E-01  2.45927557E-02  1.40019827E-01
   6.60000000E-01  2.60209394E-02  1.45635716E-01
   6.70000000E-01  2.75058439E-02  1.51363787E-01
