 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 4.409917E-01, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-1.823207598124306E+00  (ETA=-1.064804E+00)
 #      Matching radius: RAD(   21)= 2.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.15135461E-16  1.89030851E-13
   2.00000000E-02  2.01333183E-14  6.03653300E-12
   3.00000000E-02  2.28949287E-13  4.57516569E-11
   4.00000000E-02  1.28421997E-12  1.92415439E-10
   5.00000000E-02  4.89059918E-12  5.86039689E-10
   6.00000000E-02  1.45783708E-11  1.45534606E-09
   7.00000000E-02  3.66983147E-11  3.13927337E-09
   8.00000000E-02  8.16302529E-11  6.10820603E-09
   9.00000000E-02  1.65202481E-10  1.09849222E-08
   1.00000000E-01  3.10319270E-10  1.85652594E-08
   1.10000000E-01  5.48793600E-10  2.98384948E-08
   1.20000000E-01  9.23382266E-10  4.60074391E-08
   1.30000000E-01  1.49002047E-09  6.85082402E-08
   1.40000000E-01  2.32025302E-09  9.90298956E-08
   1.50000000E-01  3.50385912E-09  1.39533472E-07
   1.60000000E-01  5.15166797E-09  1.92271027E-07
   1.70000000E-01  7.39856206E-09  2.59804237E-07
   1.80000000E-01  1.04066652E-08  3.45022721E-07
   1.90000000E-01  1.43687123E-08  4.51162069E-07
   2.00000000E-01  1.95115980E-08  5.81821559E-07
   2.10000000E-01  2.61594133E-08  7.47047888E-07
   2.20000000E-01  3.45633396E-08  9.39662040E-07
   2.30000000E-01  4.50793072E-08  1.17028722E-06
   2.40000000E-01  5.81131184E-08  1.44413814E-06
   2.50000000E-01  7.41250282E-08  1.76689235E-06
   2.60000000E-01  9.36344289E-08  2.14470184E-06
   2.70000000E-01  1.17224658E-07  2.58420581E-06
   2.80000000E-01  1.45547936E-07  3.09254426E-06
   2.90000000E-01  1.79330448E-07  3.67737179E-06
   3.00000000E-01  2.19377552E-07  4.34687154E-06
   3.10000000E-01  2.66579142E-07  5.10976898E-06
   3.20000000E-01  3.21915133E-07  5.97534563E-06
   3.30000000E-01  3.86461091E-07  6.95345252E-06
   3.40000000E-01  4.61393997E-07  8.05452336E-06
   3.50000000E-01  5.47998135E-07  9.28958758E-06
   3.60000000E-01  6.47671116E-07  1.06702829E-05
   3.70000000E-01  7.61930020E-07  1.22088676E-05
   3.80000000E-01  8.92417665E-07  1.39182328E-05
   3.90000000E-01  1.04090899E-06  1.58119139E-05
   4.00000000E-01  1.20931756E-06  1.79041023E-05
