 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 1.359724E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.677751684946998E-09
 #      Coulomb phase shift=-2.708234039777719E-01  (ETA=-6.064006E-01)
 #      Matching radius: RAD(    6)= 5.000000000000000E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  2.08210235E-04  4.15512239E-02
   2.00000000E-02  8.28616694E-04  8.24243837E-02
   3.00000000E-02  1.85476318E-03  1.22696220E-01
   4.00000000E-02  3.28028608E-03  1.62299060E-01
   5.00000000E-02  5.09854450E-03  2.01241965E-01
   6.00000000E-02  7.30289947E-03  2.39517107E-01
   7.00000000E-02  9.88663605E-03  2.77117082E-01
   8.00000000E-02  1.28429668E-02  3.14034788E-01
   9.00000000E-02  1.61650348E-02  3.50263391E-01
   1.00000000E-01  1.98459157E-02  3.85796311E-01
   1.10000000E-01  2.38786209E-02  4.20627222E-01
   1.20000000E-01  2.82560998E-02  4.54750049E-01
   1.30000000E-01  3.29712422E-02  4.88158968E-01
   1.40000000E-01  3.80168809E-02  5.20848407E-01
   1.50000000E-01  4.33857943E-02  5.52813043E-01
   1.60000000E-01  4.90707088E-02  5.84047807E-01
   1.70000000E-01  5.50643014E-02  6.14547880E-01
   1.80000000E-01  6.13592022E-02  6.44308696E-01
   1.90000000E-01  6.79479968E-02  6.73325944E-01
   2.00000000E-01  7.48232289E-02  7.01595562E-01
   2.10000000E-01  8.19774032E-02  7.29113743E-01
   2.20000000E-01  8.94029871E-02  7.55876931E-01
   2.30000000E-01  9.70924141E-02  7.81881826E-01
   2.40000000E-01  1.05038086E-01  8.07125378E-01
   2.50000000E-01  1.13232375E-01  8.31604791E-01
   2.60000000E-01  1.21667626E-01  8.55317521E-01
   2.70000000E-01  1.30336162E-01  8.78261276E-01
   2.80000000E-01  1.39230281E-01  9.00434014E-01
   2.90000000E-01  1.48342266E-01  9.21833948E-01
   3.00000000E-01  1.57664379E-01  9.42459540E-01
   3.10000000E-01  1.67188871E-01  9.62309499E-01
   3.20000000E-01  1.76907980E-01  9.81382789E-01
   3.30000000E-01  1.86813935E-01  9.99678619E-01
   3.40000000E-01  1.96898959E-01  1.01719645E+00
   3.50000000E-01  2.07155270E-01  1.03393598E+00
