 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 4.409917E-01, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-1.613381298986769E+00  (ETA=-1.064804E+00)
 #      Matching radius: RAD(   11)= 1.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  3.62518695E-13  1.81190430E-10
   2.00000000E-02  1.15762649E-11  2.89166886E-09
   3.00000000E-02  8.77312705E-11  1.46043236E-08
   4.00000000E-02  3.68952112E-10  4.60440354E-08
   5.00000000E-02  1.12366098E-09  1.12136665E-07
   6.00000000E-02  2.79031294E-09  2.31953961E-07
   7.00000000E-02  6.01858729E-09  4.28659982E-07
   8.00000000E-02  1.17100390E-08  7.29456697E-07
   9.00000000E-02  2.10582043E-08  1.16552926E-06
   1.00000000E-01  3.55881576E-08  1.77199094E-06
   1.10000000E-01  5.72287762E-08  2.59134144E-06
   1.20000000E-01  8.82567626E-08  3.66012531E-06
   1.30000000E-01  1.31428093E-07  5.02807759E-06
   1.40000000E-01  1.89982689E-07  6.74546480E-06
   1.50000000E-01  2.67681581E-07  8.86622988E-06
   1.60000000E-01  3.68843320E-07  1.14479231E-05
   1.70000000E-01  4.98379732E-07  1.45516391E-05
   1.80000000E-01  6.61831059E-07  1.82419562E-05
   1.90000000E-01  8.65400497E-07  2.25868774E-05
   2.00000000E-01  1.11598815E-06  2.76577710E-05
   2.10000000E-01  1.42122438E-06  3.35293126E-05
   2.20000000E-01  1.78950262E-06  4.02794258E-05
   2.30000000E-01  2.23001150E-06  4.79892234E-05
   2.40000000E-01  2.75276650E-06  5.67429487E-05
   2.50000000E-01  3.36864094E-06  6.66279159E-05
   2.60000000E-01  4.08939639E-06  7.77344512E-05
   2.70000000E-01  4.92771247E-06  9.01558330E-05
   2.80000000E-01  5.89721613E-06  1.03988233E-04
   2.90000000E-01  7.01251022E-06  1.19330653E-04
   3.00000000E-01  8.28920155E-06  1.36284873E-04
   3.10000000E-01  9.74392833E-06  1.54955380E-04
   3.20000000E-01  1.13943870E-05  1.75449316E-04
   3.30000000E-01  1.32593583E-05  1.97876416E-04
   3.40000000E-01  1.53587331E-05  2.22348945E-04
   3.50000000E-01  1.77135374E-05  2.48981640E-04
   3.60000000E-01  2.03459567E-05  2.77891647E-04
   3.70000000E-01  2.32793595E-05  3.09198462E-04
   3.80000000E-01  2.65383210E-05  3.43023871E-04
   3.90000000E-01  3.01486453E-05  3.79491884E-04
   4.00000000E-01  3.41373877E-05  4.18728682E-04
   4.10000000E-01  3.85328756E-05  4.60862549E-04
   4.20000000E-01  4.33647298E-05  5.06023812E-04
   4.30000000E-01  4.86638840E-05  5.54344784E-04
   4.40000000E-01  5.44626051E-05  6.05959698E-04
   4.50000000E-01  6.07945113E-05  6.61004648E-04
   4.60000000E-01  6.76945909E-05  7.19617528E-04
   4.70000000E-01  7.51992202E-05  7.81937970E-04
   4.80000000E-01  8.33461797E-05  8.48107282E-04
   4.90000000E-01  9.21746716E-05  9.18268389E-04
   5.00000000E-01  1.01725335E-04  9.92565771E-04
   5.10000000E-01  1.12040261E-04  1.07114540E-03
   5.20000000E-01  1.23163008E-04  1.15415468E-03
   5.30000000E-01  1.35138616E-04  1.24174238E-03
   5.40000000E-01  1.48013617E-04  1.33405859E-03
   5.50000000E-01  1.61836054E-04  1.43125466E-03
   5.60000000E-01  1.76655485E-04  1.53348309E-03
   5.70000000E-01  1.92523002E-04  1.64089753E-03
   5.80000000E-01  2.09491238E-04  1.75365272E-03
   5.90000000E-01  2.27614378E-04  1.87190436E-03
   6.00000000E-01  2.46948169E-04  1.99580913E-03
   6.10000000E-01  2.67549929E-04  2.12552458E-03
   6.20000000E-01  2.89478557E-04  2.26120909E-03
   6.30000000E-01  3.12794538E-04  2.40302179E-03
   6.40000000E-01  3.37559953E-04  2.55112255E-03
   6.50000000E-01  3.63838484E-04  2.70567184E-03
   6.60000000E-01  3.91695422E-04  2.86683075E-03
   6.70000000E-01  4.21197670E-04  3.03476088E-03
   6.80000000E-01  4.52413751E-04  3.20962430E-03
   6.90000000E-01  4.85413809E-04  3.39158348E-03
   7.00000000E-01  5.20269615E-04  3.58080124E-03
   7.10000000E-01  5.57054572E-04  3.77744070E-03
