 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 1.359724E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-1.035805048370234E+00  (ETA=-6.064006E-01)
 #      Matching radius: RAD(   14)= 1.300000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  4.82110116E-15  2.89188244E-12
   2.00000000E-02  3.08003120E-13  9.23470951E-11
   3.00000000E-02  3.50238349E-12  6.99877457E-10
   4.00000000E-02  1.96445606E-11  2.94324497E-09
   5.00000000E-02  7.48061519E-11  8.96347946E-09
   6.00000000E-02  2.22972051E-10  2.22572118E-08
   7.00000000E-02  5.61238675E-10  4.80043157E-08
   8.00000000E-02  1.24826412E-09  9.33906196E-08
   9.00000000E-02  2.52592017E-09  1.67925541E-07
   1.00000000E-01  4.74409462E-09  2.83754487E-07
   1.10000000E-01  8.38859073E-09  4.55965851E-07
   1.20000000E-01  1.41120691E-08  7.02892476E-07
   1.30000000E-01  2.27679756E-08  1.04640740E-06
   1.40000000E-01  3.55381101E-08  1.52175477E-06
   1.50000000E-01  5.37138046E-08  2.14164677E-06
   1.60000000E-01  7.89955142E-08  2.94903899E-06
   1.70000000E-01  1.13448763E-07  3.98285164E-06
   1.80000000E-01  1.59553127E-07  5.28701286E-06
   1.90000000E-01  2.20253472E-07  6.91069244E-06
   2.00000000E-01  2.99013571E-07  8.90854143E-06
   2.10000000E-01  3.99872108E-07  1.13409311E-05
   2.20000000E-01  5.27501064E-07  1.42741883E-05
   2.30000000E-01  6.87266427E-07  1.77808252E-05
   2.40000000E-01  8.85291170E-07  2.19397636E-05
   2.50000000E-01  1.12852044E-06  2.68365512E-05
   2.60000000E-01  1.42478886E-06  3.25635720E-05
   2.70000000E-01  1.78288993E-06  3.92202490E-05
   2.80000000E-01  2.21264739E-06  4.69132388E-05
   2.90000000E-01  2.72498850E-06  5.57566201E-05
   3.00000000E-01  3.33201916E-06  6.58720728E-05
   3.10000000E-01  4.04710082E-06  7.73890504E-05
   3.20000000E-01  4.88492899E-06  9.04449438E-05
   3.30000000E-01  5.86161345E-06  1.05185238E-04
   3.40000000E-01  6.99475991E-06  1.21763659E-04
   3.50000000E-01  8.30355314E-06  1.40342316E-04
   3.60000000E-01  9.80884146E-06  1.61091830E-04
   3.70000000E-01  1.15332225E-05  1.84191459E-04
   3.80000000E-01  1.35011301E-05  2.09829214E-04
   3.90000000E-01  1.57389224E-05  2.38201963E-04
   4.00000000E-01  1.82749710E-05  2.69515531E-04
   4.10000000E-01  2.11397510E-05  3.03984790E-04
   4.20000000E-01  2.43659315E-05  3.41833740E-04
   4.30000000E-01  2.79884677E-05  3.83295579E-04
   4.40000000E-01  3.20446932E-05  4.28612771E-04
   4.50000000E-01  3.65744125E-05  4.78037099E-04
   4.60000000E-01  4.16199951E-05  5.31829712E-04
   4.70000000E-01  4.72264685E-05  5.90261165E-04
   4.80000000E-01  5.34416134E-05  6.53611443E-04
   4.90000000E-01  6.03160572E-05  7.22169989E-04
   5.00000000E-01  6.79033694E-05  7.96235710E-04
   5.10000000E-01  7.62601556E-05  8.76116983E-04
   5.20000000E-01  8.54461526E-05  9.62131648E-04
   5.30000000E-01  9.55243231E-05  1.05460699E-03
   5.40000000E-01  1.06560949E-04  1.15387974E-03
   5.50000000E-01  1.18625729E-04  1.26029600E-03
   5.60000000E-01  1.31791865E-04  1.37421123E-03
   5.70000000E-01  1.46136165E-04  1.49599021E-03
   5.80000000E-01  1.61739127E-04  1.62600695E-03
   5.90000000E-01  1.78685039E-04  1.76464467E-03
   6.00000000E-01  1.97062064E-04  1.91229565E-03
   6.10000000E-01  2.16962333E-04  2.06936124E-03
   6.20000000E-01  2.38482037E-04  2.23625169E-03
   6.30000000E-01  2.61721513E-04  2.41338610E-03
   6.40000000E-01  2.86785331E-04  2.60119228E-03
   6.50000000E-01  3.13782385E-04  2.80010666E-03
   6.60000000E-01  3.42825973E-04  3.01057412E-03
   6.70000000E-01  3.74033887E-04  3.23304792E-03
   6.80000000E-01  4.07528490E-04  3.46798951E-03
