 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 2.719449E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-7.319960925789948E-01  (ETA=-4.287899E-01)
 #      Matching radius: RAD(   11)= 1.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  2.97139741E-14  1.78235257E-11
   2.00000000E-02  1.89826124E-12  5.69138597E-10
   3.00000000E-02  2.15844921E-11  4.31306986E-09
   4.00000000E-02  1.21056644E-10  1.81362896E-08
   5.00000000E-02  4.60938194E-10  5.52260585E-08
   6.00000000E-02  1.37374388E-09  1.37110717E-07
   7.00000000E-02  3.45735344E-09  2.95666401E-07
   8.00000000E-02  7.68837220E-09  5.75087334E-07
   9.00000000E-02  1.55550041E-08  1.03381768E-06
   1.00000000E-01  2.92090422E-08  1.74644280E-06
   1.10000000E-01  5.17384899E-08  2.81659029E-06
   1.20000000E-01  8.70755360E-08  4.33813448E-06
   1.30000000E-01  1.40481946E-07  6.45469395E-06
   1.40000000E-01  2.18674830E-07  9.32371460E-06
   1.50000000E-01  3.30069974E-07  1.31277449E-05
   1.60000000E-01  4.85040643E-07  1.80759898E-05
   1.70000000E-01  6.96191832E-07  2.44058428E-05
   1.80000000E-01  9.78649637E-07  3.23843748E-05
   1.90000000E-01  1.35036527E-06  4.23097726E-05
   2.00000000E-01  1.83243316E-06  5.45127200E-05
   2.10000000E-01  2.44942262E-06  6.93577213E-05
   2.20000000E-01  3.22972236E-06  8.72443620E-05
   2.30000000E-01  4.20589738E-06  1.08608508E-04
   2.40000000E-01  5.41505751E-06  1.33923437E-04
   2.50000000E-01  6.89923688E-06  1.63700911E-04
   2.60000000E-01  8.70578386E-06  1.98492172E-04
   2.70000000E-01  1.08877605E-05  2.38888876E-04
   2.80000000E-01  1.35043513E-05  2.85523959E-04
   2.90000000E-01  1.66212796E-05  3.39072422E-04
   3.00000000E-01  2.03112322E-05  4.00252059E-04
   3.10000000E-01  2.46542905E-05  4.69824101E-04
   3.20000000E-01  2.97383681E-05  5.48593793E-04
   3.30000000E-01  3.56596528E-05  6.37410894E-04
   3.40000000E-01  4.25230546E-05  7.37170104E-04
   3.50000000E-01  5.04426568E-05  8.48811416E-04
   3.60000000E-01  5.95421700E-05  9.73320391E-04
   3.70000000E-01  6.99553895E-05  1.11172836E-03
   3.80000000E-01  8.18266528E-05  1.26511253E-03
   3.90000000E-01  9.53112996E-05  1.43459607E-03
   4.00000000E-01  1.10576131E-04  1.62134803E-03
   4.10000000E-01  1.27799866E-04  1.82658327E-03
   4.20000000E-01  1.47173603E-04  2.05156225E-03
   4.30000000E-01  1.68901271E-04  2.29759078E-03
   4.40000000E-01  1.93200082E-04  2.56601967E-03
   4.50000000E-01  2.20300979E-04  2.85824432E-03
   4.60000000E-01  2.50449081E-04  3.17570423E-03
   4.70000000E-01  2.83904120E-04  3.51988240E-03
   4.80000000E-01  3.20940871E-04  3.89230471E-03
   4.90000000E-01  3.61849583E-04  4.29453917E-03
   5.00000000E-01  4.06936389E-04  4.72819516E-03
   5.10000000E-01  4.56523719E-04  5.19492248E-03
   5.20000000E-01  5.10950703E-04  5.69641049E-03
   5.30000000E-01  5.70573553E-04  6.23438701E-03
   5.40000000E-01  6.35765952E-04  6.81061726E-03
   5.50000000E-01  7.06919412E-04  7.42690270E-03
   5.60000000E-01  7.84443640E-04  8.08507974E-03
   5.70000000E-01  8.68766876E-04  8.78701847E-03
   5.80000000E-01  9.60336220E-04  9.53462128E-03
   5.90000000E-01  1.05961796E-03  1.03298214E-02
   6.00000000E-01  1.16709784E-03  1.11745813E-02
   6.10000000E-01  1.28328141E-03  1.20708913E-02
   6.20000000E-01  1.40869422E-03  1.30207677E-02
   6.30000000E-01  1.54388212E-03  1.40262513E-02
   6.40000000E-01  1.68941148E-03  1.50894055E-02
   6.50000000E-01  1.84586941E-03  1.62123142E-02
   6.60000000E-01  2.01386396E-03  1.73970806E-02
   6.70000000E-01  2.19402428E-03  1.86458244E-02
   6.80000000E-01  2.38700082E-03  1.99606806E-02
   6.90000000E-01  2.59346542E-03  2.13437967E-02
   7.00000000E-01  2.81411148E-03  2.27973313E-02
   7.10000000E-01  3.04965400E-03  2.43234514E-02
   7.20000000E-01  3.30082970E-03  2.59243303E-02
   7.30000000E-01  3.56839706E-03  2.76021455E-02
   7.40000000E-01  3.85313633E-03  2.93590763E-02
   7.50000000E-01  4.15584957E-03  3.11973015E-02
   7.60000000E-01  4.47736059E-03  3.31189969E-02
   7.70000000E-01  4.81851497E-03  3.51263330E-02
   7.80000000E-01  5.18017993E-03  3.72214724E-02
   7.90000000E-01  5.56324428E-03  3.94065675E-02
   8.00000000E-01  5.96861827E-03  4.16837578E-02
   8.10000000E-01  6.39723350E-03  4.40551673E-02
   8.20000000E-01  6.85004270E-03  4.65229022E-02
   8.30000000E-01  7.32801958E-03  4.90890479E-02
   8.40000000E-01  7.83215857E-03  5.17556666E-02
   8.50000000E-01  8.36347461E-03  5.45247947E-02
   8.60000000E-01  8.92300286E-03  5.73984399E-02
   8.70000000E-01  9.51179839E-03  6.03785786E-02
   8.80000000E-01  1.01309359E-02  6.34671534E-02
   8.90000000E-01  1.07815093E-02  6.66660700E-02
   9.00000000E-01  1.14646313E-02  6.99771948E-02
   9.10000000E-01  1.21814333E-02  7.34023519E-02
   9.20000000E-01  1.29330644E-02  7.69433206E-02
   9.30000000E-01  1.37206915E-02  8.06018327E-02
   9.40000000E-01  1.45454985E-02  8.43795693E-02
   9.50000000E-01  1.54086857E-02  8.82781588E-02
   9.60000000E-01  1.63114697E-02  9.22991733E-02
   9.70000000E-01  1.72550823E-02  9.64441268E-02
   9.80000000E-01  1.82407703E-02  1.00714472E-01
   9.90000000E-01  1.92697944E-02  1.05111597E-01
   1.00000000E+00  2.03434292E-02  1.09636824E-01
   1.01000000E+00  2.14629621E-02  1.14291406E-01
   1.02000000E+00  2.26296925E-02  1.19076524E-01
   1.03000000E+00  2.38449314E-02  1.23993284E-01
   1.04000000E+00  2.51100004E-02  1.29042715E-01
   1.05000000E+00  2.64262311E-02  1.34225767E-01
   1.06000000E+00  2.77949640E-02  1.39543308E-01
   1.07000000E+00  2.92175482E-02  1.44996119E-01
   1.08000000E+00  3.06953397E-02  1.50584898E-01
   1.09000000E+00  3.22297014E-02  1.56310249E-01
   1.10000000E+00  3.38220016E-02  1.62172688E-01
   1.11000000E+00  3.54736135E-02  1.68172634E-01
   1.12000000E+00  3.71859138E-02  1.74310412E-01
   1.13000000E+00  3.89602819E-02  1.80586246E-01
   1.14000000E+00  4.07980993E-02  1.87000261E-01
   1.15000000E+00  4.27007478E-02  1.93552477E-01
   1.16000000E+00  4.46696092E-02  2.00242812E-01
   1.17000000E+00  4.67060638E-02  2.07071073E-01
   1.18000000E+00  4.88114895E-02  2.14036962E-01
   1.19000000E+00  5.09872605E-02  2.21140068E-01
   1.20000000E+00  5.32347465E-02  2.28379867E-01
