 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_2A1.dat   
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift=-1.237450861779621E-04
 #      Coulomb phase shift=-5.989329543878164E+00  (ETA=-1.064804E+00)
 #      Matching radius: RAD(   11)= 1.000000000000000E-01
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  2.40136733E-02  2.38355132E+00
   2.00000000E-02  4.75950142E-02  2.33302280E+00
   3.00000000E-02  7.06898226E-02  2.28592960E+00
   4.00000000E-02  9.33108182E-02  2.23831480E+00
   5.00000000E-02  1.15457034E-01  2.19097466E+00
   6.00000000E-02  1.37131243E-01  2.14391386E+00
   7.00000000E-02  1.58336255E-01  2.09713595E+00
   8.00000000E-02  1.79074915E-01  2.05064395E+00
   9.00000000E-02  1.99350096E-01  2.00444054E+00
   1.00000000E-01  2.19164696E-01  1.95852825E+00
   1.10000000E-01  2.38521639E-01  1.91290944E+00
   1.20000000E-01  2.57423871E-01  1.86758641E+00
   1.30000000E-01  2.75874360E-01  1.82256133E+00
   1.40000000E-01  2.93876098E-01  1.77783635E+00
   1.50000000E-01  3.11432094E-01  1.73341354E+00
   1.60000000E-01  3.28545382E-01  1.68929490E+00
   1.70000000E-01  3.45219013E-01  1.64548241E+00
   1.80000000E-01  3.61456057E-01  1.60197798E+00
   1.90000000E-01  3.77259606E-01  1.55878349E+00
   2.00000000E-01  3.92632767E-01  1.51590078E+00
   2.10000000E-01  4.07578666E-01  1.47333162E+00
   2.20000000E-01  4.22100450E-01  1.43107777E+00
   2.30000000E-01  4.36201279E-01  1.38914093E+00
   2.40000000E-01  4.49884331E-01  1.34752278E+00
   2.50000000E-01  4.63152802E-01  1.30622494E+00
   2.60000000E-01  4.76009903E-01  1.26524899E+00
   2.70000000E-01  4.88458860E-01  1.22459650E+00
   2.80000000E-01  5.00502916E-01  1.18426896E+00
   2.90000000E-01  5.12145327E-01  1.14426786E+00
   3.00000000E-01  5.23389366E-01  1.10459463E+00
   3.10000000E-01  5.34238317E-01  1.06525066E+00
   3.20000000E-01  5.44695481E-01  1.02623731E+00
   3.30000000E-01  5.54764170E-01  9.87555907E-01
   3.40000000E-01  5.64447710E-01  9.49207733E-01
   3.50000000E-01  5.73749439E-01  9.11194033E-01
   3.60000000E-01  5.82672709E-01  8.73516015E-01
   3.70000000E-01  5.91220883E-01  8.36174852E-01
   3.80000000E-01  5.99397333E-01  7.99171676E-01
   3.90000000E-01  6.07205446E-01  7.62507585E-01
   4.00000000E-01  6.14648619E-01  7.26183639E-01
   4.10000000E-01  6.21730256E-01  6.90200860E-01
   4.20000000E-01  6.28453776E-01  6.54560236E-01
   4.30000000E-01  6.34822605E-01  6.19262714E-01
   4.40000000E-01  6.40840177E-01  5.84309208E-01
   4.50000000E-01  6.46509939E-01  5.49700594E-01
   4.60000000E-01  6.51835342E-01  5.15437711E-01
   4.70000000E-01  6.56819848E-01  4.81521363E-01
   4.80000000E-01  6.61466927E-01  4.47952315E-01
   4.90000000E-01  6.65780054E-01  4.14731299E-01
   5.00000000E-01  6.69762715E-01  3.81859009E-01
   5.10000000E-01  6.73418399E-01  3.49336104E-01
   5.20000000E-01  6.76750604E-01  3.17163204E-01
   5.30000000E-01  6.79762832E-01  2.85340898E-01
   5.40000000E-01  6.82458592E-01  2.53869736E-01
   5.50000000E-01  6.84841399E-01  2.22750233E-01
   5.60000000E-01  6.86914771E-01  1.91982868E-01
   5.70000000E-01  6.88682231E-01  1.61568086E-01
   5.80000000E-01  6.90147309E-01  1.31506295E-01
   5.90000000E-01  6.91313535E-01  1.01797869E-01
   6.00000000E-01  6.92184445E-01  7.24431463E-02
   6.10000000E-01  6.92763578E-01  4.34424307E-02
   6.20000000E-01  6.93054475E-01  1.47959907E-02
   6.30000000E-01  6.93060680E-01 -1.34959398E-02
   6.40000000E-01  6.92785739E-01 -4.14331616E-02
   6.50000000E-01  6.92233199E-01 -6.90155097E-02
   6.60000000E-01  6.91406612E-01 -9.62428538E-02
   6.70000000E-01  6.90309526E-01 -1.23115097E-01
   6.80000000E-01  6.88945494E-01 -1.49632179E-01
   6.90000000E-01  6.87318066E-01 -1.75794069E-01
   7.00000000E-01  6.85430796E-01 -2.01600774E-01
   7.10000000E-01  6.83287235E-01 -2.27052333E-01
   7.20000000E-01  6.80890933E-01 -2.52148819E-01
   7.30000000E-01  6.78245442E-01 -2.76890338E-01
   7.40000000E-01  6.75354309E-01 -3.01277030E-01
   7.50000000E-01  6.72221083E-01 -3.25309065E-01
   7.60000000E-01  6.68849309E-01 -3.48986651E-01
   7.70000000E-01  6.65242531E-01 -3.72310025E-01
   7.80000000E-01  6.61404289E-01 -3.95279458E-01
   7.90000000E-01  6.57338121E-01 -4.17895252E-01
   8.00000000E-01  6.53047561E-01 -4.40157744E-01
   8.10000000E-01  6.48536142E-01 -4.62067300E-01
   8.20000000E-01  6.43807390E-01 -4.83624321E-01
   8.30000000E-01  6.38864829E-01 -5.04829237E-01
   8.40000000E-01  6.33711978E-01 -5.25682510E-01
   8.50000000E-01  6.28352350E-01 -5.46184636E-01
   8.60000000E-01  6.22789454E-01 -5.66336140E-01
   8.70000000E-01  6.17026794E-01 -5.86137577E-01
   8.80000000E-01  6.11067867E-01 -6.05589537E-01
   8.90000000E-01  6.04916166E-01 -6.24692635E-01
   9.00000000E-01  5.98575175E-01 -6.43447522E-01
   9.10000000E-01  5.92048374E-01 -6.61854875E-01
   9.20000000E-01  5.85339234E-01 -6.79915404E-01
   9.30000000E-01  5.78451219E-01 -6.97629848E-01
   9.40000000E-01  5.71387788E-01 -7.14998975E-01
   9.50000000E-01  5.64152388E-01 -7.32023584E-01
   9.60000000E-01  5.56748462E-01 -7.48704501E-01
   9.70000000E-01  5.49179441E-01 -7.65042585E-01
   9.80000000E-01  5.41448750E-01 -7.81038719E-01
   9.90000000E-01  5.33559803E-01 -7.96693819E-01
   1.00000000E+00  5.25516007E-01 -8.12008828E-01
   1.01000000E+00  5.17320757E-01 -8.26984716E-01
   1.02000000E+00  5.08977440E-01 -8.41622483E-01
   1.03000000E+00  5.00489431E-01 -8.55923156E-01
   1.04000000E+00  4.91860097E-01 -8.69887789E-01
   1.05000000E+00  4.83092792E-01 -8.83517466E-01
   1.06000000E+00  4.74190861E-01 -8.96813295E-01
   1.07000000E+00  4.65157635E-01 -9.09776413E-01
   1.08000000E+00  4.55996437E-01 -9.22407984E-01
   1.09000000E+00  4.46710577E-01 -9.34709197E-01
   1.10000000E+00  4.37303351E-01 -9.46681269E-01
   1.11000000E+00  4.27778044E-01 -9.58325441E-01
   1.12000000E+00  4.18137931E-01 -9.69642983E-01
   1.13000000E+00  4.08386269E-01 -9.80635189E-01
   1.14000000E+00  3.98526307E-01 -9.91303377E-01
   1.15000000E+00  3.88561277E-01 -1.00164889E+00
   1.16000000E+00  3.78494400E-01 -1.01167310E+00
   1.17000000E+00  3.68328881E-01 -1.02137741E+00
   1.18000000E+00  3.58067914E-01 -1.03076322E+00
   1.19000000E+00  3.47714674E-01 -1.03983199E+00
   1.20000000E+00  3.37272326E-01 -1.04858517E+00
   1.21000000E+00  3.26744017E-01 -1.05702427E+00
   1.22000000E+00  3.16132882E-01 -1.06515079E+00
   1.23000000E+00  3.05442038E-01 -1.07296628E+00
   1.24000000E+00  2.94674588E-01 -1.08047229E+00
   1.25000000E+00  2.83833619E-01 -1.08767040E+00
   1.26000000E+00  2.72922201E-01 -1.09456223E+00
   1.27000000E+00  2.61943390E-01 -1.10114940E+00
   1.28000000E+00  2.50900223E-01 -1.10743357E+00
   1.29000000E+00  2.39795723E-01 -1.11341639E+00
   1.30000000E+00  2.28632894E-01 -1.11909958E+00
   1.31000000E+00  2.17414724E-01 -1.12448484E+00
   1.32000000E+00  2.06144185E-01 -1.12957390E+00
   1.33000000E+00  1.94824228E-01 -1.13436853E+00
   1.34000000E+00  1.83457789E-01 -1.13887051E+00
   1.35000000E+00  1.72047787E-01 -1.14308162E+00
   1.36000000E+00  1.60597121E-01 -1.14700369E+00
   1.37000000E+00  1.49108671E-01 -1.15063856E+00
   1.38000000E+00  1.37585300E-01 -1.15398808E+00
   1.39000000E+00  1.26029854E-01 -1.15705413E+00
   1.40000000E+00  1.14445156E-01 -1.15983860E+00
   1.41000000E+00  1.02834014E-01 -1.16234341E+00
   1.42000000E+00  9.11992141E-02 -1.16457048E+00
   1.43000000E+00  7.95435238E-02 -1.16652178E+00
   1.44000000E+00  6.78696913E-02 -1.16819926E+00
   1.45000000E+00  5.61804448E-02 -1.16960491E+00
   1.46000000E+00  4.44784925E-02 -1.17074074E+00
   1.47000000E+00  3.27665227E-02 -1.17160876E+00
   1.48000000E+00  2.10472032E-02 -1.17221101E+00
   1.49000000E+00  9.32318147E-03 -1.17254956E+00
   1.50000000E+00 -2.40291574E-03 -1.17262645E+00
   1.51000000E+00 -1.41284824E-02 -1.17244379E+00
   1.52000000E+00 -2.58509333E-02 -1.17200367E+00
   1.53000000E+00 -3.75677046E-02 -1.17130821E+00
   1.54000000E+00 -4.92762534E-02 -1.17035954E+00
   1.55000000E+00 -6.09740585E-02 -1.16915981E+00
   1.56000000E+00 -7.26586199E-02 -1.16771117E+00
   1.57000000E+00 -8.43274596E-02 -1.16601582E+00
   1.58000000E+00 -9.59781212E-02 -1.16407593E+00
   1.59000000E+00 -1.07608170E-01 -1.16189371E+00
   1.60000000E+00 -1.19215195E-01 -1.15947137E+00
   1.61000000E+00 -1.30796805E-01 -1.15681116E+00
   1.62000000E+00 -1.42350633E-01 -1.15391530E+00
   1.63000000E+00 -1.53874333E-01 -1.15078606E+00
   1.64000000E+00 -1.65365583E-01 -1.14742571E+00
   1.65000000E+00 -1.76822084E-01 -1.14383652E+00
   1.66000000E+00 -1.88241559E-01 -1.14002080E+00
   1.67000000E+00 -1.99621753E-01 -1.13598083E+00
   1.68000000E+00 -2.10960436E-01 -1.13171895E+00
   1.69000000E+00 -2.22255400E-01 -1.12723747E+00
   1.70000000E+00 -2.33504461E-01 -1.12253874E+00
   1.71000000E+00 -2.44705458E-01 -1.11762509E+00
   1.72000000E+00 -2.55856254E-01 -1.11249890E+00
   1.73000000E+00 -2.66954736E-01 -1.10716252E+00
   1.74000000E+00 -2.77998812E-01 -1.10161833E+00
   1.75000000E+00 -2.88986418E-01 -1.09586873E+00
   1.76000000E+00 -2.99915510E-01 -1.08991611E+00
   1.77000000E+00 -3.10784071E-01 -1.08376286E+00
   1.78000000E+00 -3.21590106E-01 -1.07741142E+00
   1.79000000E+00 -3.32331647E-01 -1.07086418E+00
   1.80000000E+00 -3.43006746E-01 -1.06412360E+00
   1.81000000E+00 -3.53613482E-01 -1.05719210E+00
   1.82000000E+00 -3.64149959E-01 -1.05007213E+00
   1.83000000E+00 -3.74614305E-01 -1.04276614E+00
   1.84000000E+00 -3.85004670E-01 -1.03527659E+00
   1.85000000E+00 -3.95319233E-01 -1.02760594E+00
   1.86000000E+00 -4.05556194E-01 -1.01975667E+00
   1.87000000E+00 -4.15713779E-01 -1.01173125E+00
   1.88000000E+00 -4.25790240E-01 -1.00353217E+00
   1.89000000E+00 -4.35783852E-01 -9.95161918E-01
   1.90000000E+00 -4.45692916E-01 -9.86622984E-01
   1.91000000E+00 -4.55515758E-01 -9.77917868E-01
   1.92000000E+00 -4.65250728E-01 -9.69049075E-01
   1.93000000E+00 -4.74896202E-01 -9.60019113E-01
   1.94000000E+00 -4.84450581E-01 -9.50830493E-01
   1.95000000E+00 -4.93912291E-01 -9.41485733E-01
   1.96000000E+00 -5.03279784E-01 -9.31987351E-01
   1.97000000E+00 -5.12551535E-01 -9.22337870E-01
   1.98000000E+00 -5.21726046E-01 -9.12539817E-01
   1.99000000E+00 -5.30801844E-01 -9.02595719E-01
   2.00000000E+00 -5.39777482E-01 -8.92508109E-01
   2.01000000E+00 -5.48651537E-01 -8.82279519E-01
   2.02000000E+00 -5.57422611E-01 -8.71912485E-01
   2.03000000E+00 -5.66089333E-01 -8.61409543E-01
   2.04000000E+00 -5.74650357E-01 -8.50773233E-01
   2.05000000E+00 -5.83104362E-01 -8.40006094E-01
   2.06000000E+00 -5.91450051E-01 -8.29110667E-01
   2.07000000E+00 -5.99686156E-01 -8.18089492E-01
   2.08000000E+00 -6.07811431E-01 -8.06945111E-01
   2.09000000E+00 -6.15824656E-01 -7.95680066E-01
   2.10000000E+00 -6.23724638E-01 -7.84296898E-01
   2.11000000E+00 -6.31510209E-01 -7.72798148E-01
   2.12000000E+00 -6.39180224E-01 -7.61186357E-01
   2.13000000E+00 -6.46733567E-01 -7.49464063E-01
   2.14000000E+00 -6.54169146E-01 -7.37633806E-01
   2.15000000E+00 -6.61485892E-01 -7.25698121E-01
   2.16000000E+00 -6.68682765E-01 -7.13659545E-01
   2.17000000E+00 -6.75758748E-01 -7.01520609E-01
   2.18000000E+00 -6.82712851E-01 -6.89283845E-01
   2.19000000E+00 -6.89544108E-01 -6.76951782E-01
   2.20000000E+00 -6.96251578E-01 -6.64526945E-01
   2.21000000E+00 -7.02834346E-01 -6.52011856E-01
   2.22000000E+00 -7.09291522E-01 -6.39409036E-01
   2.23000000E+00 -7.15622242E-01 -6.26721000E-01
   2.24000000E+00 -7.21825667E-01 -6.13950261E-01
   2.25000000E+00 -7.27900980E-01 -6.01099326E-01
   2.26000000E+00 -7.33847394E-01 -5.88170701E-01
   2.27000000E+00 -7.39664144E-01 -5.75166885E-01
   2.28000000E+00 -7.45350490E-01 -5.62090373E-01
   2.29000000E+00 -7.50905717E-01 -5.48943655E-01
   2.30000000E+00 -7.56329137E-01 -5.35729215E-01
   2.31000000E+00 -7.61620084E-01 -5.22449535E-01
   2.32000000E+00 -7.66777918E-01 -5.09107087E-01
   2.33000000E+00 -7.71802025E-01 -4.95704340E-01
   2.34000000E+00 -7.76691812E-01 -4.82243755E-01
   2.35000000E+00 -7.81446715E-01 -4.68727788E-01
   2.36000000E+00 -7.86066192E-01 -4.55158889E-01
   2.37000000E+00 -7.90549725E-01 -4.41539499E-01
   2.38000000E+00 -7.94896822E-01 -4.27872053E-01
   2.39000000E+00 -7.99107014E-01 -4.14158981E-01
   2.40000000E+00 -8.03179857E-01 -4.00402701E-01
   2.41000000E+00 -8.07114932E-01 -3.86605627E-01
   2.42000000E+00 -8.10911842E-01 -3.72770163E-01
   2.43000000E+00 -8.14570215E-01 -3.58898707E-01
   2.44000000E+00 -8.18089704E-01 -3.44993646E-01
   2.45000000E+00 -8.21469984E-01 -3.31057361E-01
   2.46000000E+00 -8.24710755E-01 -3.17092223E-01
   2.47000000E+00 -8.27811740E-01 -3.03100592E-01
   2.48000000E+00 -8.30772686E-01 -2.89084823E-01
   2.49000000E+00 -8.33593364E-01 -2.75047258E-01
