 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift=-3.065941775860487E+00
 #      Coulomb phase shift=-5.989333103412725E+00  (ETA=-1.064829E+00)
 #      Matching radius: RAD(  847)= 8.460000000000001E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  6.03539983E-02  5.66940164E+00
   2.00000000E-02  1.13567067E-01  4.98187425E+00
   3.00000000E-02  1.60159089E-01  4.34463375E+00
   4.00000000E-02  2.00616447E-01  3.75441050E+00
   5.00000000E-02  2.35393674E-01  3.20810579E+00
   6.00000000E-02  2.64915198E-01  2.70279771E+00
   7.00000000E-02  2.89577117E-01  2.23574223E+00
   8.00000000E-02  3.09748969E-01  1.80437041E+00
   9.00000000E-02  3.25775455E-01  1.40628276E+00
   1.00000000E-01  3.37978098E-01  1.03924233E+00
   1.10000000E-01  3.46656833E-01  7.01166358E-01
   1.20000000E-01  3.52091500E-01  3.90117442E-01
   1.30000000E-01  3.54543254E-01  1.04294312E-01
   1.40000000E-01  3.54255879E-01 -1.57977236E-01
   1.50000000E-01  3.51457015E-01 -3.98253265E-01
   1.60000000E-01  3.46359299E-01 -6.17980349E-01
   1.70000000E-01  3.39161411E-01 -8.18503650E-01
   1.80000000E-01  3.30049057E-01 -1.00107476E+00
   1.90000000E-01  3.19195863E-01 -1.16685895E+00
   2.00000000E-01  3.06764207E-01 -1.31694180E+00
   2.10000000E-01  2.92905983E-01 -1.45233548E+00
   2.20000000E-01  2.77763306E-01 -1.57398450E+00
   2.30000000E-01  2.61469162E-01 -1.68277103E+00
   2.40000000E-01  2.44148006E-01 -1.77951970E+00
   2.50000000E-01  2.25916317E-01 -1.86500210E+00
   2.60000000E-01  2.06883105E-01 -1.93994076E+00
   2.70000000E-01  1.87150385E-01 -2.00501297E+00
   2.80000000E-01  1.66813612E-01 -2.06085406E+00
   2.90000000E-01  1.45962082E-01 -2.10806053E+00
   3.00000000E-01  1.24679311E-01 -2.14719289E+00
