 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 1.359724E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.953326759180132E+00
 #      Coulomb phase shift= 2.742924599946652E-01  (ETA=-6.064145E-01)
 #      Matching radius: RAD(  847)= 8.460000000000001E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.52092701E-02  7.06436867E+00
   2.00000000E-02  1.41506331E-01  6.20564805E+00
   3.00000000E-02  1.99527624E-01  5.40855135E+00
   4.00000000E-02  2.49869781E-01  4.66918826E+00
   5.00000000E-02  2.93091496E-01  3.98386408E+00
   6.00000000E-02  3.29715535E-01  3.34908834E+00
   7.00000000E-02  3.60230791E-01  2.76157763E+00
   8.00000000E-02  3.85094353E-01  2.21825329E+00
   9.00000000E-02  4.04733524E-01  1.71623564E+00
   1.00000000E-01  4.19547773E-01  1.25283635E+00
   1.10000000E-01  4.29910605E-01  8.25548945E-01
   1.20000000E-01  4.36171325E-01  4.32038800E-01
   1.30000000E-01  4.38656710E-01  7.01323089E-02
   1.40000000E-01  4.37672558E-01 -2.62193649E-01
   1.50000000E-01  4.33505147E-01 -5.66822196E-01
   1.60000000E-01  4.26422581E-01 -8.45506648E-01
   1.70000000E-01  4.16676038E-01 -1.09988005E+00
   1.80000000E-01  4.04500932E-01 -1.33146447E+00
   1.90000000E-01  3.90117970E-01 -1.54167955E+00
   2.00000000E-01  3.73734145E-01 -1.73185044E+00
   2.10000000E-01  3.55543639E-01 -1.90321516E+00
   2.20000000E-01  3.35728661E-01 -2.05693150E+00
   2.30000000E-01  3.14460217E-01 -2.19408329E+00
   2.40000000E-01  2.91898819E-01 -2.31568609E+00
   2.50000000E-01  2.68195143E-01 -2.42269257E+00
   2.60000000E-01  2.43490634E-01 -2.51599718E+00
   2.70000000E-01  2.17918064E-01 -2.59644065E+00
   2.80000000E-01  1.91602050E-01 -2.66481396E+00
   2.90000000E-01  1.64659531E-01 -2.72186194E+00
   3.00000000E-01  1.37200218E-01 -2.76828665E+00
   3.10000000E-01  1.09326998E-01 -2.80475035E+00
   3.20000000E-01  8.11363258E-02 -2.83187830E+00
   3.30000000E-01  5.27185781E-02 -2.85026122E+00
   3.40000000E-01  2.41583865E-02 -2.86045760E+00
   3.50000000E-01 -4.46504968E-03 -2.86299580E+00
   3.60000000E-01 -3.30776722E-02 -2.85837595E+00
   3.70000000E-01 -6.16102901E-02 -2.84707170E+00
   3.80000000E-01 -8.99983233E-02 -2.82953181E+00
   3.90000000E-01 -1.18181561E-01 -2.80618165E+00
   4.00000000E-01 -1.46103935E-01 -2.77742452E+00
   4.10000000E-01 -1.73713305E-01 -2.74364292E+00
   4.20000000E-01 -2.00961257E-01 -2.70519971E+00
   4.30000000E-01 -2.27802911E-01 -2.66243915E+00
   4.40000000E-01 -2.54196740E-01 -2.61568792E+00
   4.50000000E-01 -2.80104402E-01 -2.56525601E+00
   4.60000000E-01 -3.05490573E-01 -2.51143759E+00
   4.70000000E-01 -3.30322797E-01 -2.45451182E+00
   4.80000000E-01 -3.54571336E-01 -2.39474357E+00
   4.90000000E-01 -3.78209033E-01 -2.33238417E+00
   5.00000000E-01 -4.01211179E-01 -2.26767201E+00
   5.10000000E-01 -4.23555386E-01 -2.20083320E+00
   5.20000000E-01 -4.45221470E-01 -2.13208213E+00
   5.30000000E-01 -4.66191333E-01 -2.06162204E+00
   5.40000000E-01 -4.86448857E-01 -1.98964554E+00
   5.50000000E-01 -5.05979798E-01 -1.91633509E+00
   5.60000000E-01 -5.24771689E-01 -1.84186346E+00
   5.70000000E-01 -5.42813743E-01 -1.76639422E+00
   5.80000000E-01 -5.60096765E-01 -1.69008212E+00
   5.90000000E-01 -5.76613065E-01 -1.61307352E+00
   6.00000000E-01 -5.92356376E-01 -1.53550675E+00
   6.10000000E-01 -6.07321776E-01 -1.45751252E+00
   6.20000000E-01 -6.21505613E-01 -1.37921421E+00
   6.30000000E-01 -6.34905435E-01 -1.30072822E+00
   6.40000000E-01 -6.47519919E-01 -1.22216435E+00
   6.50000000E-01 -6.59348808E-01 -1.14362603E+00
   6.60000000E-01 -6.70392850E-01 -1.06521066E+00
   6.70000000E-01 -6.80653737E-01 -9.87009860E-01
   6.80000000E-01 -6.90134050E-01 -9.09109762E-01
   6.90000000E-01 -6.98837205E-01 -8.31591262E-01
   7.00000000E-01 -7.06767401E-01 -7.54530253E-01
   7.10000000E-01 -7.13929572E-01 -6.77997869E-01
   7.20000000E-01 -7.20329343E-01 -6.02060708E-01
   7.30000000E-01 -7.25972979E-01 -5.26781049E-01
   7.40000000E-01 -7.30867350E-01 -4.52217082E-01
   7.50000000E-01 -7.35019887E-01 -3.78423068E-01
   7.60000000E-01 -7.38438546E-01 -3.05449557E-01
