 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 4.409917E-01, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 2.202418054740152E-02
 #      Coulomb phase shift=-1.613418844146624E+00  (ETA=-1.064829E+00)
 #      Matching radius: RAD(  847)= 8.460000000000001E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  9.43277600E-13  4.70520505E-10
   2.00000000E-02  2.98312930E-11  7.42288676E-09
   3.00000000E-02  2.23909866E-10  3.70592755E-08
   4.00000000E-02  9.32767196E-10  1.15529908E-07
   5.00000000E-02  2.81442782E-09  2.78265151E-07
   6.00000000E-02  6.92504022E-09  5.69361213E-07
   7.00000000E-02  1.48026663E-08  1.04101394E-06
   8.00000000E-02  2.85456278E-08  1.75299556E-06
   9.00000000E-02  5.08858152E-08  2.77216972E-06
   1.00000000E-01  8.52573203E-08  4.17204053E-06
   1.10000000E-01  1.35860714E-07  6.03233206E-06
   1.20000000E-01  2.07723260E-07  8.43859507E-06
   1.30000000E-01  3.06755315E-07  1.14818382E-05
   1.40000000E-01  4.39803159E-07  1.52581814E-05
   1.50000000E-01  6.14698462E-07  1.98685296E-05
   1.60000000E-01  8.40304579E-07  2.54182654E-05
   1.70000000E-01  1.12655986E-06  3.20169584E-05
   1.80000000E-01  1.48451814E-06  3.97780913E-05
   1.90000000E-01  1.92638656E-06  4.88188006E-05
   2.00000000E-01  2.46556087E-06  5.92596324E-05
   2.10000000E-01  3.11665837E-06  7.12243115E-05
   2.20000000E-01  3.89554857E-06  8.48395234E-05
   2.30000000E-01  4.81938180E-06  1.00234709E-04
   2.40000000E-01  5.90661574E-06  1.17541871E-04
   2.50000000E-01  7.17704016E-06  1.36895392E-04
   2.60000000E-01  8.65179986E-06  1.58431866E-04
   2.70000000E-01  1.03534159E-05  1.82289934E-04
   2.80000000E-01  1.23058055E-05  2.08610140E-04
   2.90000000E-01  1.45343000E-05  2.37534785E-04
   3.00000000E-01  1.70656622E-05  2.69207801E-04
   3.10000000E-01  1.99281019E-05  3.03774629E-04
   3.20000000E-01  2.31512902E-05  3.41382105E-04
   3.30000000E-01  2.67663731E-05  3.82178357E-04
   3.40000000E-01  3.08059842E-05  4.26312706E-04
   3.50000000E-01  3.53042555E-05  4.73935580E-04
   3.60000000E-01  4.02968289E-05  5.25198433E-04
   3.70000000E-01  4.58208654E-05  5.80253664E-04
   3.80000000E-01  5.19150543E-05  6.39254551E-04
   3.90000000E-01  5.86196221E-05  7.02355188E-04
   4.00000000E-01  6.59763400E-05  7.69710430E-04
   4.10000000E-01  7.40285312E-05  8.41475832E-04
   4.20000000E-01  8.28210778E-05  9.17807609E-04
   4.30000000E-01  9.24004273E-05  9.98862590E-04
   4.40000000E-01  1.02814598E-04  1.08479818E-03
   4.50000000E-01  1.14113186E-04  1.17577231E-03
   4.60000000E-01  1.26347368E-04  1.27194342E-03
   4.70000000E-01  1.39569907E-04  1.37347044E-03
   4.80000000E-01  1.53835161E-04  1.48051272E-03
   4.90000000E-01  1.69199078E-04  1.59323005E-03
   5.00000000E-01  1.85719212E-04  1.71178262E-03
   5.10000000E-01  2.03454717E-04  1.83633098E-03
   5.20000000E-01  2.22466354E-04  1.96703606E-03
   5.30000000E-01  2.42816498E-04  2.10405913E-03
   5.40000000E-01  2.64569135E-04  2.24756176E-03
   5.50000000E-01  2.87789871E-04  2.39770584E-03
   5.60000000E-01  3.12545931E-04  2.55465356E-03
   5.70000000E-01  3.38906163E-04  2.71856735E-03
   5.80000000E-01  3.66941041E-04  2.88960994E-03
   5.90000000E-01  3.96722667E-04  3.06794429E-03
   6.00000000E-01  4.28324776E-04  3.25373358E-03
   6.10000000E-01  4.61822733E-04  3.44714122E-03
   6.20000000E-01  4.97293540E-04  3.64833078E-03
   6.30000000E-01  5.34815835E-04  3.85746604E-03
   6.40000000E-01  5.74469893E-04  4.07471091E-03
   6.50000000E-01  6.16337632E-04  4.30022949E-03
   6.60000000E-01  6.60502609E-04  4.53418596E-03
   6.70000000E-01  7.07050025E-04  4.77674461E-03
   6.80000000E-01  7.56066723E-04  5.02806982E-03
   6.90000000E-01  8.07641191E-04  5.28832602E-03
   7.00000000E-01  8.61863562E-04  5.55767767E-03
   7.10000000E-01  9.18825611E-04  5.83628922E-03
   7.20000000E-01  9.78620761E-04  6.12432512E-03
   7.30000000E-01  1.04134408E-03  6.42194973E-03
   7.40000000E-01  1.10709227E-03  6.72932737E-03
   7.50000000E-01  1.17596368E-03  7.04662220E-03
   7.60000000E-01  1.24805831E-03  7.37399825E-03
   7.70000000E-01  1.32347780E-03  7.71161937E-03
   7.80000000E-01  1.40232540E-03  8.05964914E-03
   7.90000000E-01  1.48470602E-03  8.41825090E-03
   8.00000000E-01  1.57072620E-03  8.78758769E-03
   8.10000000E-01  1.66049410E-03  9.16782218E-03
   8.20000000E-01  1.75411951E-03  9.55911658E-03
   8.30000000E-01  1.85171384E-03  9.96163274E-03
   8.40000000E-01  1.95339011E-03  1.03755320E-02
   8.50000000E-01  2.05926295E-03  1.08009750E-02
   8.60000000E-01  2.16944862E-03  1.12381219E-02
   8.70000000E-01  2.28406494E-03  1.16871322E-02
   8.80000000E-01  2.40323134E-03  1.21481647E-02
   8.90000000E-01  2.52706883E-03  1.26213773E-02
   9.00000000E-01  2.65570001E-03  1.31069271E-02
   9.10000000E-01  2.78924902E-03  1.36049701E-02
   9.20000000E-01  2.92784157E-03  1.41156617E-02
   9.30000000E-01  3.07160493E-03  1.46391560E-02
   9.40000000E-01  3.22066788E-03  1.51756058E-02
   9.50000000E-01  3.37516074E-03  1.57251631E-02
   9.60000000E-01  3.53521533E-03  1.62879783E-02
   9.70000000E-01  3.70096499E-03  1.68642006E-02
   9.80000000E-01  3.87254453E-03  1.74539775E-02
   9.90000000E-01  4.05009021E-03  1.80574554E-02
   1.00000000E+00  4.23373979E-03  1.86747786E-02
