 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1A1.dat   
 #      Free state: E= 1.359724E+00, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 1.560094185371779E-01
 #      Coulomb phase shift=-9.151354967989528E-01  (ETA=-6.064145E-01)
 #      Matching radius: RAD(  847)= 8.460000000000001E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  8.71793425E-12  4.34861706E-09
   2.00000000E-02  2.75699025E-10  6.86009507E-08
   3.00000000E-02  2.06927474E-09  3.42474803E-07
   4.00000000E-02  8.61970944E-09  1.06755480E-06
   5.00000000E-02  2.60061791E-08  2.57103634E-06
   6.00000000E-02  6.39835621E-08  5.25993581E-06
   7.00000000E-02  1.36753462E-07  9.61571886E-06
   8.00000000E-02  2.63683409E-07  1.61893009E-05
   9.00000000E-02  4.69977756E-07  2.55963784E-05
   1.00000000E-01  7.87303387E-07  3.85130545E-05
   1.10000000E-01  1.25437301E-06  5.56717255E-05
   1.20000000E-01  1.91748850E-06  7.78572022E-05
   1.30000000E-01  2.83104656E-06  1.05903040E-04
   1.40000000E-01  4.05800859E-06  1.40688061E-04
   1.50000000E-01  5.67033669E-06  1.83133047E-04
   1.60000000E-01  7.74939743E-06  2.34197597E-04
   1.70000000E-01  1.03863349E-05  2.94877128E-04
   1.80000000E-01  1.36824145E-05  3.66200016E-04
   1.90000000E-01  1.77493387E-05  4.49224871E-04
   2.00000000E-01  2.27095365E-05  5.45037930E-04
   2.10000000E-01  2.86964268E-05  6.54750578E-04
   2.20000000E-01  3.58546582E-05  7.79496971E-04
   2.30000000E-01  4.43403255E-05  9.20431777E-04
   2.40000000E-01  5.43211634E-05  1.07872802E-03
   2.50000000E-01  6.59767202E-05  1.25557503E-03
   2.60000000E-01  7.94985107E-05  1.45217647E-03
   2.70000000E-01  9.50901505E-05  1.66974850E-03
   2.80000000E-01  1.12967471E-04  1.90951799E-03
   2.90000000E-01  1.33358621E-04  2.17272085E-03
   3.00000000E-01  1.56504143E-04  2.46060041E-03
   3.10000000E-01  1.82657048E-04  2.77440593E-03
   3.20000000E-01  2.12082861E-04  3.11539118E-03
   3.30000000E-01  2.45059660E-04  3.48481305E-03
   3.40000000E-01  2.81878106E-04  3.88393026E-03
   3.50000000E-01  3.22841448E-04  4.31400216E-03
   3.60000000E-01  3.68265528E-04  4.77628758E-03
   3.70000000E-01  4.18478769E-04  5.27204371E-03
   3.80000000E-01  4.73822153E-04  5.80252507E-03
   3.90000000E-01  5.34649191E-04  6.36898256E-03
   4.00000000E-01  6.01325880E-04  6.97266250E-03
   4.10000000E-01  6.74230653E-04  7.61480575E-03
   4.20000000E-01  7.53754322E-04  8.29664688E-03
   4.30000000E-01  8.40300009E-04  9.01941337E-03
   4.40000000E-01  9.34283074E-04  9.78432487E-03
   4.50000000E-01  1.03613103E-03  1.05925925E-02
   4.60000000E-01  1.14628345E-03  1.14454179E-02
   4.70000000E-01  1.26519189E-03  1.23439932E-02
   4.80000000E-01  1.39331975E-03  1.32894995E-02
   4.90000000E-01  1.53114222E-03  1.42831072E-02
   5.00000000E-01  1.67914610E-03  1.53259745E-02
   5.10000000E-01  1.83782973E-03  1.64192476E-02
   5.20000000E-01  2.00770285E-03  1.75640596E-02
   5.30000000E-01  2.18928645E-03  1.87615304E-02
   5.40000000E-01  2.38311267E-03  2.00127658E-02
   5.50000000E-01  2.58972462E-03  2.13188571E-02
   5.60000000E-01  2.80967626E-03  2.26808808E-02
   5.70000000E-01  3.04353222E-03  2.40998977E-02
   5.80000000E-01  3.29186767E-03  2.55769527E-02
   5.90000000E-01  3.55526816E-03  2.71130745E-02
   6.00000000E-01  3.83432942E-03  2.87092745E-02
   6.10000000E-01  4.12965723E-03  3.03665469E-02
   6.20000000E-01  4.44186719E-03  3.20858679E-02
   6.30000000E-01  4.77158461E-03  3.38681951E-02
   6.40000000E-01  5.11944425E-03  3.57144674E-02
   6.50000000E-01  5.48609017E-03  3.76256043E-02
   6.60000000E-01  5.87217555E-03  3.96025054E-02
   6.70000000E-01  6.27836243E-03  4.16460498E-02
   6.80000000E-01  6.70532155E-03  4.37570957E-02
   6.90000000E-01  7.15373214E-03  4.59364802E-02
   7.00000000E-01  7.62428167E-03  4.81850180E-02
   7.10000000E-01  8.11766566E-03  5.05035015E-02
   7.20000000E-01  8.63458742E-03  5.28927003E-02
   7.30000000E-01  9.17575787E-03  5.53533601E-02
   7.40000000E-01  9.74189523E-03  5.78862027E-02
   7.50000000E-01  1.03337249E-02  6.04919253E-02
   7.60000000E-01  1.09519789E-02  6.31711999E-02
   7.70000000E-01  1.15973962E-02  6.59246725E-02
   7.80000000E-01  1.22707218E-02  6.87529629E-02
   7.90000000E-01  1.29727068E-02  7.16566639E-02
   8.00000000E-01  1.37041083E-02  7.46363408E-02
   8.10000000E-01  1.44656887E-02  7.76925308E-02
   8.20000000E-01  1.52582157E-02  8.08257417E-02
   8.30000000E-01  1.60824618E-02  8.40364527E-02
   8.40000000E-01  1.69392045E-02  8.73251127E-02
   8.50000000E-01  1.78292253E-02  9.06921397E-02
   8.60000000E-01  1.87533098E-02  9.41379205E-02
   8.70000000E-01  1.97122474E-02  9.76628103E-02
   8.80000000E-01  2.07068308E-02  1.01267131E-01
   8.90000000E-01  2.17378558E-02  1.04951172E-01
   9.00000000E-01  2.28061209E-02  1.08715188E-01
   9.10000000E-01  2.39124269E-02  1.12559398E-01
   9.20000000E-01  2.50575768E-02  1.16483989E-01
   9.30000000E-01  2.62423751E-02  1.20489110E-01
   9.40000000E-01  2.74676278E-02  1.24574871E-01
   9.50000000E-01  2.87341416E-02  1.28741349E-01
   9.60000000E-01  3.00427239E-02  1.32988580E-01
   9.70000000E-01  3.13941824E-02  1.37316562E-01
   9.80000000E-01  3.27893242E-02  1.41725254E-01
   9.90000000E-01  3.42289562E-02  1.46214573E-01
   1.00000000E+00  3.57138840E-02  1.50784397E-01
   1.01000000E+00  3.72449119E-02  1.55434562E-01
   1.02000000E+00  3.88228424E-02  1.60164861E-01
   1.03000000E+00  4.04484755E-02  1.64975046E-01
   1.04000000E+00  4.21226086E-02  1.69864822E-01
   1.05000000E+00  4.38460361E-02  1.74833852E-01
   1.06000000E+00  4.56195485E-02  1.79881753E-01
   1.07000000E+00  4.74439326E-02  1.85008098E-01
   1.08000000E+00  4.93199704E-02  1.90212410E-01
   1.09000000E+00  5.12484390E-02  1.95494169E-01
   1.10000000E+00  5.32301100E-02  2.00852803E-01
   1.11000000E+00  5.52657492E-02  2.06287696E-01
   1.12000000E+00  5.73561159E-02  2.11798179E-01
   1.13000000E+00  5.95019624E-02  2.17383536E-01
   1.14000000E+00  6.17040337E-02  2.23042998E-01
   1.15000000E+00  6.39630667E-02  2.28775749E-01
