# Interpolated potential function.
#  r             r*V(r)
   0.000000E+00 -6.000000E+00
   2.500000E-03 -5.977232E+00
   5.000000E-03 -5.954476E+00
   7.500000E-03 -5.931743E+00
   1.000000E-02 -5.909044E+00
   1.250000E-02 -5.886391E+00
   1.500000E-02 -5.863793E+00
   1.750000E-02 -5.841258E+00
   2.000000E-02 -5.818796E+00
   2.250000E-02 -5.796414E+00
   2.500000E-02 -5.774119E+00
   2.750000E-02 -5.751918E+00
   3.000000E-02 -5.729818E+00
   3.250000E-02 -5.707825E+00
   3.500000E-02 -5.685943E+00
   3.750000E-02 -5.664179E+00
   4.000000E-02 -5.642536E+00
   4.250000E-02 -5.621020E+00
   4.500000E-02 -5.599634E+00
   4.750000E-02 -5.578381E+00
   5.000000E-02 -5.557266E+00
   5.250000E-02 -5.536292E+00
   5.500000E-02 -5.515460E+00
   5.750000E-02 -5.494774E+00
   6.000000E-02 -5.474235E+00
   6.250000E-02 -5.453846E+00
   6.500000E-02 -5.433607E+00
   6.750000E-02 -5.413522E+00
   7.000000E-02 -5.393590E+00
   7.250000E-02 -5.373814E+00
   7.500000E-02 -5.354193E+00
   7.750000E-02 -5.334730E+00
   8.000000E-02 -5.315423E+00
   8.250000E-02 -5.296274E+00
   8.500000E-02 -5.277283E+00
   8.750000E-02 -5.258450E+00
   9.000000E-02 -5.239774E+00
   9.250000E-02 -5.221256E+00
   9.500000E-02 -5.202896E+00
   9.750000E-02 -5.184692E+00
   1.000000E-01 -5.166645E+00
   1.025000E-01 -5.148754E+00
   1.050000E-01 -5.131018E+00
   1.075000E-01 -5.113436E+00
   1.100000E-01 -5.096007E+00
   1.125000E-01 -5.078731E+00
   1.150000E-01 -5.061606E+00
   1.175000E-01 -5.044631E+00
   1.200000E-01 -5.027806E+00
   1.225000E-01 -5.011129E+00
   1.250000E-01 -4.994599E+00
   1.275000E-01 -4.978215E+00
   1.300000E-01 -4.961974E+00
   1.325000E-01 -4.945876E+00
   1.350000E-01 -4.929919E+00
   1.375000E-01 -4.914102E+00
   1.400000E-01 -4.898424E+00
   1.425000E-01 -4.882883E+00
   1.450000E-01 -4.867477E+00
   1.475000E-01 -4.852205E+00
   1.500000E-01 -4.837065E+00
   1.525000E-01 -4.822056E+00
   1.550000E-01 -4.807175E+00
   1.575000E-01 -4.792422E+00
   1.600000E-01 -4.777795E+00
   1.625000E-01 -4.763292E+00
   1.650000E-01 -4.748911E+00
   1.675000E-01 -4.734651E+00
   1.700000E-01 -4.720510E+00
   1.725000E-01 -4.706487E+00
   1.750000E-01 -4.692579E+00
   1.775000E-01 -4.678786E+00
   1.800000E-01 -4.665106E+00
   1.825000E-01 -4.651537E+00
   1.850000E-01 -4.638077E+00
   1.875000E-01 -4.624724E+00
   1.900000E-01 -4.611478E+00
   1.925000E-01 -4.598336E+00
   1.950000E-01 -4.585297E+00
   1.975000E-01 -4.572359E+00
   2.000000E-01 -4.559521E+00
   2.025000E-01 -4.546781E+00
   2.050000E-01 -4.534137E+00
   2.075000E-01 -4.521588E+00
   2.100000E-01 -4.509133E+00
   2.125000E-01 -4.496770E+00
   2.150000E-01 -4.484497E+00
   2.175000E-01 -4.472313E+00
   2.200000E-01 -4.460217E+00
   2.225000E-01 -4.448207E+00
   2.250000E-01 -4.436281E+00
   2.275000E-01 -4.424438E+00
   2.300000E-01 -4.412677E+00
   2.325000E-01 -4.400997E+00
   2.350000E-01 -4.389395E+00
   2.375000E-01 -4.377871E+00
   2.400000E-01 -4.366424E+00
   2.425000E-01 -4.355052E+00
   2.450000E-01 -4.343753E+00
   2.475000E-01 -4.332526E+00
   2.500000E-01 -4.321371E+00
   2.525000E-01 -4.310285E+00
   2.550000E-01 -4.299268E+00
   2.575000E-01 -4.288319E+00
   2.600000E-01 -4.277436E+00
   2.625000E-01 -4.266618E+00
   2.650000E-01 -4.255865E+00
   2.675000E-01 -4.245174E+00
   2.700000E-01 -4.234545E+00
   2.725000E-01 -4.223976E+00
   2.750000E-01 -4.213467E+00
   2.775000E-01 -4.203016E+00
   2.800000E-01 -4.192623E+00
   2.825000E-01 -4.182286E+00
   2.850000E-01 -4.172005E+00
   2.875000E-01 -4.161778E+00
   2.900000E-01 -4.151605E+00
   2.925000E-01 -4.141484E+00
   2.950000E-01 -4.131415E+00
   2.975000E-01 -4.121396E+00
   3.000000E-01 -4.111427E+00
   3.025000E-01 -4.101507E+00
   3.050000E-01 -4.091635E+00
   3.075000E-01 -4.081810E+00
   3.100000E-01 -4.072032E+00
   3.125000E-01 -4.062299E+00
   3.150000E-01 -4.052611E+00
   3.175000E-01 -4.042966E+00
   3.200000E-01 -4.033365E+00
   3.225000E-01 -4.023806E+00
   3.250000E-01 -4.014289E+00
   3.275000E-01 -4.004812E+00
   3.300000E-01 -3.995376E+00
   3.325000E-01 -3.985979E+00
   3.350000E-01 -3.976622E+00
   3.375000E-01 -3.967302E+00
   3.400000E-01 -3.958020E+00
   3.425000E-01 -3.948775E+00
   3.450000E-01 -3.939566E+00
   3.475000E-01 -3.930392E+00
   3.500000E-01 -3.921254E+00
   3.525000E-01 -3.912150E+00
   3.550000E-01 -3.903080E+00
   3.575000E-01 -3.894043E+00
   3.600000E-01 -3.885039E+00
   3.625000E-01 -3.876067E+00
   3.650000E-01 -3.867127E+00
