 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.653020221266858E+00
 #      Coulomb phase shift=-5.989333722509348E+00  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  6.02148439E-02  5.65840802E+00
   2.00000000E-02  1.13364799E-01  4.98104354E+00
   3.00000000E-02  1.60017695E-01  4.35828068E+00
   4.00000000E-02  2.00698468E-01  3.78594263E+00
   5.00000000E-02  2.35891495E-01  3.26009730E+00
   6.00000000E-02  2.66043112E-01  2.77706999E+00
   7.00000000E-02  2.91564212E-01  2.33344645E+00
   8.00000000E-02  3.12832833E-01  1.92606875E+00
   9.00000000E-02  3.30196680E-01  1.55202679E+00
   1.00000000E-01  3.43975549E-01  1.20864638E+00
   1.10000000E-01  3.54463617E-01  8.93475589E-01
   1.20000000E-01  3.61931590E-01  6.04269918E-01
   1.30000000E-01  3.66628706E-01  3.38977286E-01
   1.40000000E-01  3.68784579E-01  9.57230282E-02
   1.50000000E-01  3.68610905E-01 -1.27204641E-01
   1.60000000E-01  3.66303017E-01 -3.31368471E-01
   1.70000000E-01  3.62041311E-01 -5.18195400E-01
   1.80000000E-01  3.55992542E-01 -6.88988681E-01
   1.90000000E-01  3.48311002E-01 -8.44939287E-01
   2.00000000E-01  3.39139591E-01 -9.87136394E-01
   2.10000000E-01  3.28610787E-01 -1.11657687E+00
   2.20000000E-01  3.16847523E-01 -1.23417409E+00
   2.30000000E-01  3.03963982E-01 -1.34076586E+00
   2.40000000E-01  2.90066319E-01 -1.43712158E+00
   2.50000000E-01  2.75253306E-01 -1.52394882E+00
   2.60000000E-01  2.59616927E-01 -1.60189913E+00
   2.70000000E-01  2.43242905E-01 -1.67157337E+00
   2.80000000E-01  2.26211192E-01 -1.73352647E+00
   2.90000000E-01  2.08596398E-01 -1.78827169E+00
   3.00000000E-01  1.90468195E-01 -1.83628449E+00
   3.10000000E-01  1.71891676E-01 -1.87800595E+00
   3.20000000E-01  1.52927678E-01 -1.91384589E+00
   3.30000000E-01  1.33633089E-01 -1.94418561E+00
   3.40000000E-01  1.14061113E-01 -1.96938042E+00
   3.50000000E-01  9.42615229E-02 -1.98976188E+00
   3.60000000E-01  7.42808854E-02 -2.00563975E+00
   3.70000000E-01  5.41627719E-02 -2.01730383E+00
   3.80000000E-01  3.39479481E-02 -2.02502558E+00
   3.90000000E-01  1.36745510E-02 -2.02905959E+00
   4.00000000E-01 -6.62174939E-03 -2.02964483E+00
   4.10000000E-01 -2.69075999E-02 -2.02700591E+00
   4.20000000E-01 -4.71518259E-02 -2.02135408E+00
   4.30000000E-01 -6.73253027E-02 -2.01288824E+00
   4.40000000E-01 -8.74008366E-02 -2.00179581E+00
   4.50000000E-01 -1.07353054E-01 -1.98825348E+00
   4.60000000E-01 -1.27158297E-01 -1.97242799E+00
   4.70000000E-01 -1.46794529E-01 -1.95447672E+00
   4.80000000E-01 -1.66241242E-01 -1.93454836E+00
   4.90000000E-01 -1.85479375E-01 -1.91278340E+00
   5.00000000E-01 -2.04491231E-01 -1.88931465E+00
   5.10000000E-01 -2.23260408E-01 -1.86426770E+00
   5.20000000E-01 -2.41771721E-01 -1.83776135E+00
   5.30000000E-01 -2.60011145E-01 -1.80990797E+00
   5.40000000E-01 -2.77965746E-01 -1.78081390E+00
   5.50000000E-01 -2.95623624E-01 -1.75057978E+00
   5.60000000E-01 -3.12973859E-01 -1.71930082E+00
   5.70000000E-01 -3.30006458E-01 -1.68706713E+00
   5.80000000E-01 -3.46712304E-01 -1.65396397E+00
   5.90000000E-01 -3.63083109E-01 -1.62007200E+00
   6.00000000E-01 -3.79111370E-01 -1.58546755E+00
   6.10000000E-01 -3.94790326E-01 -1.55022277E+00
