 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 1.359724E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.493277123696288E+00
 #      Coulomb phase shift= 2.742930388807551E-01  (ETA=-6.064170E-01)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.76926363E-02  7.30031118E+00
   2.00000000E-02  1.46255655E-01  6.42430251E+00
   3.00000000E-02  2.06409891E-01  5.61766409E+00
   4.00000000E-02  2.58822789E-01  4.87519115E+00
   5.00000000E-02  3.04111202E-01  4.19197519E+00
   6.00000000E-02  3.42844467E-01  3.56342233E+00
   7.00000000E-02  3.75547579E-01  2.98525914E+00
   8.00000000E-02  4.02704392E-01  2.45352892E+00
   9.00000000E-02  4.24760737E-01  1.96458219E+00
   1.00000000E-01  4.42127429E-01  1.51506275E+00
   1.10000000E-01  4.55183123E-01  1.10189115E+00
   1.20000000E-01  4.64276983E-01  7.22246643E-01
   1.30000000E-01  4.69731186E-01  3.73548713E-01
   1.40000000E-01  4.71843227E-01  5.34385507E-02
   1.50000000E-01  4.70888045E-01 -2.40239008E-01
   1.60000000E-01  4.67119974E-01 -5.09452707E-01
   1.70000000E-01  4.60774524E-01 -7.56001388E-01
   1.80000000E-01  4.52070001E-01 -9.81529139E-01
   1.90000000E-01  4.41208985E-01 -1.18753959E+00
   2.00000000E-01  4.28379666E-01 -1.37540905E+00
   2.10000000E-01  4.13757059E-01 -1.54639841E+00
   2.20000000E-01  3.97504099E-01 -1.70166421E+00
   2.30000000E-01  3.79772637E-01 -1.84226861E+00
   2.40000000E-01  3.60704334E-01 -1.96918838E+00
   2.50000000E-01  3.40431478E-01 -2.08332314E+00
   2.60000000E-01  3.19077715E-01 -2.18550269E+00
   2.70000000E-01  2.96758713E-01 -2.27649369E+00
   2.80000000E-01  2.73582765E-01 -2.35700565E+00
   2.90000000E-01  2.49651333E-01 -2.42769623E+00
   3.00000000E-01  2.25059538E-01 -2.48917614E+00
   3.10000000E-01  1.99896615E-01 -2.54201339E+00
   3.20000000E-01  1.74246311E-01 -2.58673722E+00
   3.30000000E-01  1.48187265E-01 -2.62384150E+00
   3.40000000E-01  1.21793338E-01 -2.65378790E+00
   3.50000000E-01  9.51339231E-02 -2.67700864E+00
   3.60000000E-01  6.82742301E-02 -2.69390900E+00
   3.70000000E-01  4.12755401E-02 -2.70486952E+00
   3.80000000E-01  1.41954440E-02 -2.71024805E+00
   3.90000000E-01 -1.29119396E-02 -2.71038153E+00
   4.00000000E-01 -3.99957640E-02 -2.70558761E+00
   4.10000000E-01 -6.70082684E-02 -2.69616609E+00
   4.20000000E-01 -9.39046065E-02 -2.68240027E+00
   4.30000000E-01 -1.20642687E-01 -2.66455807E+00
   4.40000000E-01 -1.47183027E-01 -2.64289317E+00
   4.50000000E-01 -1.73488611E-01 -2.61764594E+00
   4.60000000E-01 -1.99524766E-01 -2.58904428E+00
   4.70000000E-01 -2.25259037E-01 -2.55730449E+00
   4.80000000E-01 -2.50661081E-01 -2.52263196E+00
   4.90000000E-01 -2.75702552E-01 -2.48522182E+00
   5.00000000E-01 -3.00357011E-01 -2.44525954E+00
   5.10000000E-01 -3.24599825E-01 -2.40292153E+00
   5.20000000E-01 -3.48408083E-01 -2.35837560E+00
   5.30000000E-01 -3.71760511E-01 -2.31178145E+00
   5.40000000E-01 -3.94637392E-01 -2.26329111E+00
   5.50000000E-01 -4.17020495E-01 -2.21304933E+00
   5.60000000E-01 -4.38893001E-01 -2.16119397E+00
   5.70000000E-01 -4.60239434E-01 -2.10785630E+00
   5.80000000E-01 -4.81045603E-01 -2.05316139E+00
   5.90000000E-01 -5.01298536E-01 -1.99722837E+00
   6.00000000E-01 -5.20986423E-01 -1.94017073E+00
   6.10000000E-01 -5.40098562E-01 -1.88209656E+00
   6.20000000E-01 -5.58625309E-01 -1.82310885E+00
   6.30000000E-01 -5.76558022E-01 -1.76330568E+00
   6.40000000E-01 -5.93889016E-01 -1.70278046E+00
   6.50000000E-01 -6.10611521E-01 -1.64162216E+00
   6.60000000E-01 -6.26719632E-01 -1.57991547E+00
   6.70000000E-01 -6.42208272E-01 -1.51774102E+00
   6.80000000E-01 -6.57073150E-01 -1.45517558E+00
   6.90000000E-01 -6.71310724E-01 -1.39229218E+00
   7.00000000E-01 -6.84918165E-01 -1.32916029E+00
   7.10000000E-01 -6.97893322E-01 -1.26584602E+00
   7.20000000E-01 -7.10234688E-01 -1.20241223E+00
   7.30000000E-01 -7.21941368E-01 -1.13891866E+00
   7.40000000E-01 -7.33013051E-01 -1.07542212E+00
   7.50000000E-01 -7.43449980E-01 -1.01197655E+00
   7.60000000E-01 -7.53252923E-01 -9.48633198E-01
   7.70000000E-01 -7.62423148E-01 -8.85440738E-01
   7.80000000E-01 -7.70962395E-01 -8.22445357E-01
   7.90000000E-01 -7.78872858E-01 -7.59690895E-01
   8.00000000E-01 -7.86157155E-01 -6.97218922E-01
   8.10000000E-01 -7.92818310E-01 -6.35068839E-01
   8.20000000E-01 -7.98859730E-01 -5.73278018E-01
   8.30000000E-01 -8.04285186E-01 -5.11881854E-01
   8.40000000E-01 -8.09098794E-01 -4.50913857E-01
   8.50000000E-01 -8.13304996E-01 -3.90405754E-01
   8.60000000E-01 -8.16908542E-01 -3.30387565E-01
   8.70000000E-01 -8.19914475E-01 -2.70887675E-01
   8.80000000E-01 -8.22328113E-01 -2.11932916E-01
   8.90000000E-01 -8.24155035E-01 -1.53548645E-01
