 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 4.409917E-01, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.243812552023138E+00
 #      Coulomb phase shift=-5.229349527009827E-01  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.15320067E-04  1.40944577E-01
   2.00000000E-02  2.77826582E-03  2.69698757E-01
   3.00000000E-02  6.07200779E-03  3.87264039E-01
   4.00000000E-02  1.04893310E-02  4.94562036E-01
   5.00000000E-02  1.59318456E-02  5.92436703E-01
   6.00000000E-02  2.23092281E-02  6.81657973E-01
   7.00000000E-02  2.95385023E-02  7.62926251E-01
   8.00000000E-02  3.75433692E-02  8.36877366E-01
   9.00000000E-02  4.62535865E-02  9.04087724E-01
   1.00000000E-01  5.56044003E-02  9.65079441E-01
   1.10000000E-01  6.55360274E-02  1.02032531E+00
   1.20000000E-01  7.59931856E-02  1.07025355E+00
   1.30000000E-01  8.69246706E-02  1.11525221E+00
   1.40000000E-01  9.82829750E-02  1.15567332E+00
   1.50000000E-01  1.10023947E-01  1.19183661E+00
   1.60000000E-01  1.22106487E-01  1.22403302E+00
   1.70000000E-01  1.34492271E-01  1.25252771E+00
   1.80000000E-01  1.47145512E-01  1.27756293E+00
   1.90000000E-01  1.60032740E-01  1.29936049E+00
   2.00000000E-01  1.73122610E-01  1.31812399E+00
   2.10000000E-01  1.86385732E-01  1.33404083E+00
   2.20000000E-01  1.99794516E-01  1.34728395E+00
   2.30000000E-01  2.13323034E-01  1.35801340E+00
   2.40000000E-01  2.26946901E-01  1.36637771E+00
   2.50000000E-01  2.40643166E-01  1.37251509E+00
   2.60000000E-01  2.54390211E-01  1.37655454E+00
   2.70000000E-01  2.68167667E-01  1.37861672E+00
   2.80000000E-01  2.81956332E-01  1.37881482E+00
   2.90000000E-01  2.95738105E-01  1.37725525E+00
   3.00000000E-01  3.09495913E-01  1.37403829E+00
   3.10000000E-01  3.23213662E-01  1.36925864E+00
   3.20000000E-01  3.36876176E-01  1.36300589E+00
   3.30000000E-01  3.50469153E-01  1.35536495E+00
   3.40000000E-01  3.63979117E-01  1.34641643E+00
   3.50000000E-01  3.77393379E-01  1.33623694E+00
   3.60000000E-01  3.90699996E-01  1.32489939E+00
   3.70000000E-01  4.03887739E-01  1.31247328E+00
   3.80000000E-01  4.16946054E-01  1.29902486E+00
   3.90000000E-01  4.29865039E-01  1.28461733E+00
   4.00000000E-01  4.42635406E-01  1.26931109E+00
   4.10000000E-01  4.55248458E-01  1.25316382E+00
   4.20000000E-01  4.67696063E-01  1.23623063E+00
   4.30000000E-01  4.79970626E-01  1.21856421E+00
   4.40000000E-01  4.92065071E-01  1.20021495E+00
   4.50000000E-01  5.03972810E-01  1.18123101E+00
   4.60000000E-01  5.15687729E-01  1.16165842E+00
   4.70000000E-01  5.27204163E-01  1.14154120E+00
   4.80000000E-01  5.38516878E-01  1.12092142E+00
   4.90000000E-01  5.49621051E-01  1.09983927E+00
   5.00000000E-01  5.60512250E-01  1.07833313E+00
   5.10000000E-01  5.71186422E-01  1.05643963E+00
   5.20000000E-01  5.81639869E-01  1.03419376E+00
   5.30000000E-01  5.91869234E-01  1.01162887E+00
   5.40000000E-01  6.01871489E-01  9.88776733E-01
   5.50000000E-01  6.11643913E-01  9.65667664E-01
   5.60000000E-01  6.21184082E-01  9.42330497E-01
   5.70000000E-01  6.30489854E-01  9.18792670E-01
   5.80000000E-01  6.39559354E-01  8.95080265E-01
   5.90000000E-01  6.48390960E-01  8.71218082E-01
   6.00000000E-01  6.56983294E-01  8.47229655E-01
   6.10000000E-01  6.65335207E-01  8.23137292E-01
   6.20000000E-01  6.73445765E-01  7.98962168E-01
   6.30000000E-01  6.81314241E-01  7.74724302E-01
   6.40000000E-01  6.88940105E-01  7.50442645E-01
   6.50000000E-01  6.96323008E-01  7.26135121E-01
   6.60000000E-01  7.03462777E-01  7.01818623E-01
   6.70000000E-01  7.10359404E-01  6.77509094E-01
   6.80000000E-01  7.17013033E-01  6.53221584E-01
   6.90000000E-01  7.23423956E-01  6.28970215E-01
   7.00000000E-01  7.29592602E-01  6.04768270E-01
   7.10000000E-01  7.35519528E-01  5.80628225E-01
   7.20000000E-01  7.41205412E-01  5.56561770E-01
   7.30000000E-01  7.46651045E-01  5.32579844E-01
   7.40000000E-01  7.51857325E-01  5.08692674E-01
   7.50000000E-01  7.56825246E-01  4.84909805E-01
   7.60000000E-01  7.61555898E-01  4.61240109E-01
   7.70000000E-01  7.66050453E-01  4.37691858E-01
   7.80000000E-01  7.70310166E-01  4.14272716E-01
   7.90000000E-01  7.74336362E-01  3.90989793E-01
   8.00000000E-01  7.78130437E-01  3.67849647E-01
   8.10000000E-01  7.81693851E-01  3.44858305E-01
   8.20000000E-01  7.85028118E-01  3.22021338E-01
   8.30000000E-01  7.88134809E-01  2.99343839E-01
   8.40000000E-01  7.91015542E-01  2.76830453E-01
   8.50000000E-01  7.93671979E-01  2.54485414E-01
   8.60000000E-01  7.96105824E-01  2.32312563E-01
   8.70000000E-01  7.98318816E-01  2.10315360E-01
   8.80000000E-01  8.00312727E-01  1.88496914E-01
   8.90000000E-01  8.02089360E-01  1.66860008E-01
   9.00000000E-01  8.03650541E-01  1.45407098E-01
   9.10000000E-01  8.04998122E-01  1.24140354E-01
   9.20000000E-01  8.06133975E-01  1.03061651E-01
   9.30000000E-01  8.07059988E-01  8.21726205E-02
   9.40000000E-01  8.07778064E-01  6.14746505E-02
   9.50000000E-01  8.08290121E-01  4.09688755E-02
   9.60000000E-01  8.08598085E-01  2.06562289E-02
   9.70000000E-01  8.08703892E-01  5.37453780E-04
   9.80000000E-01  8.08609483E-01 -1.93869067E-02
   9.90000000E-01  8.08316803E-01 -3.91164837E-02
   1.00000000E+00  8.07827803E-01 -5.86510609E-02
   1.01000000E+00  8.07144432E-01 -7.79905743E-02
   1.02000000E+00  8.06268641E-01 -9.71351023E-02
   1.03000000E+00  8.05202379E-01 -1.16084840E-01
   1.04000000E+00  8.03947593E-01 -1.34840109E-01
   1.05000000E+00  8.02506224E-01 -1.53401305E-01
   1.06000000E+00  8.00880212E-01 -1.71768958E-01
   1.07000000E+00  7.99071488E-01 -1.89943668E-01
   1.08000000E+00  7.97081979E-01 -2.07926110E-01
   1.09000000E+00  7.94913604E-01 -2.25717034E-01
   1.10000000E+00  7.92568274E-01 -2.43317247E-01
   1.11000000E+00  7.90047892E-01 -2.60727612E-01
   1.12000000E+00  7.87354352E-01 -2.77949036E-01
   1.13000000E+00  7.84489538E-01 -2.94982470E-01
   1.14000000E+00  7.81455326E-01 -3.11828890E-01
