 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 2.719449E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.123748828388483E+00
 #      Coulomb phase shift=-1.864968772435827E-01  (ETA=-4.288015E-01)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.23348235E-03  2.43030407E-01
   2.00000000E-02  4.79011604E-03  4.64909051E-01
   3.00000000E-02  1.04665392E-02  6.67246288E-01
   4.00000000E-02  1.80748698E-02  8.51527853E-01
   5.00000000E-02  2.74414692E-02  1.01911737E+00
   6.00000000E-02  3.84057446E-02  1.17126143E+00
   7.00000000E-02  5.08190119E-02  1.30909632E+00
   8.00000000E-02  6.45434296E-02  1.43365564E+00
   9.00000000E-02  7.94510123E-02  1.54587836E+00
   1.00000000E-01  9.54227254E-02  1.64661701E+00
   1.10000000E-01  1.12347660E-01  1.73664557E+00
   1.20000000E-01  1.30122287E-01  1.81666716E+00
   1.30000000E-01  1.48649784E-01  1.88732116E+00
   1.40000000E-01  1.67839432E-01  1.94918990E+00
   1.50000000E-01  1.87606074E-01  2.00280477E+00
   1.60000000E-01  2.07869639E-01  2.04865185E+00
   1.70000000E-01  2.28554709E-01  2.08717688E+00
   1.80000000E-01  2.49590140E-01  2.11878988E+00
   1.90000000E-01  2.70908730E-01  2.14386922E+00
   2.00000000E-01  2.92446916E-01  2.16276515E+00
   2.10000000E-01  3.14144509E-01  2.17580315E+00
   2.20000000E-01  3.35944466E-01  2.18328669E+00
   2.30000000E-01  3.57792677E-01  2.18549973E+00
   2.40000000E-01  3.79637783E-01  2.18270896E+00
   2.50000000E-01  4.01431016E-01  2.17516569E+00
   2.60000000E-01  4.23126049E-01  2.16310756E+00
   2.70000000E-01  4.44678870E-01  2.14676001E+00
   2.80000000E-01  4.66047667E-01  2.12633748E+00
   2.90000000E-01  4.87192720E-01  2.10204463E+00
   3.00000000E-01  5.08076312E-01  2.07407720E+00
   3.10000000E-01  5.28662642E-01  2.04262292E+00
