 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 2.719449E+00, L=   3  (EPS= 1.0E-15)
 #        Inner phase shift= 2.765365339406429E-01
 #      Coulomb phase shift=-5.396723820770192E-01  (ETA=-4.288015E-01)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.17301850E-08  4.67474726E-06
   2.00000000E-02  1.84952156E-07  3.67214499E-05
   3.00000000E-02  9.22905558E-07  1.21732584E-04
   4.00000000E-02  2.87568629E-06  2.83514123E-04
   5.00000000E-02  6.92316829E-06  5.44239975E-04
   6.00000000E-02  1.41593820E-05  9.24588904E-04
   7.00000000E-02  2.58781763E-05  1.44386450E-03
   8.00000000E-02  4.35600003E-05  2.12009929E-03
   9.00000000E-02  6.88596528E-05  2.97014453E-03
   1.00000000E-01  1.03594864E-04  4.00974714E-03
   1.10000000E-01  1.49735590E-04  5.25361545E-03
   1.20000000E-01  2.09393915E-04  6.71547533E-03
   1.30000000E-01  2.84814472E-04  8.40811808E-03
   1.40000000E-01  3.78365308E-04  1.03434415E-02
   1.50000000E-01  4.92529128E-04  1.25324852E-02
   1.60000000E-01  6.29894876E-04  1.49854614E-02
   1.70000000E-01  7.93149589E-04  1.77117816E-02
   1.80000000E-01  9.85070521E-04  2.07200807E-02
   1.90000000E-01  1.20851748E-03  2.40182388E-02
   2.00000000E-01  1.46642539E-03  2.76134004E-02
   2.10000000E-01  1.76179701E-03  3.15119932E-02
   2.20000000E-01  2.09769586E-03  3.57197455E-02
   2.30000000E-01  2.47723934E-03  4.02417024E-02
   2.40000000E-01  2.90359193E-03  4.50822427E-02
   2.50000000E-01  3.37995863E-03  5.02450939E-02
   2.60000000E-01  3.90957855E-03  5.57333484E-02
   2.70000000E-01  4.49571859E-03  6.15494787E-02
   2.80000000E-01  5.14166733E-03  6.76953525E-02
   2.90000000E-01  5.85072911E-03  7.41722489E-02
   3.00000000E-01  6.62621813E-03  8.09808730E-02
   3.10000000E-01  7.47145288E-03  8.81213713E-02
   3.20000000E-01  8.38975055E-03  9.55933478E-02
   3.30000000E-01  9.38442174E-03  1.03395878E-01
   3.40000000E-01  1.04587652E-02  1.11527526E-01
   3.50000000E-01  1.16160629E-02  1.19986358E-01
   3.60000000E-01  1.28595750E-02  1.28769956E-01
   3.70000000E-01  1.41925350E-02  1.37875438E-01
   3.80000000E-01  1.56181456E-02  1.47299466E-01
   3.90000000E-01  1.71395737E-02  1.57038266E-01
   4.00000000E-01  1.87599462E-02  1.67087638E-01
   4.10000000E-01  2.04823464E-02  1.77442975E-01
   4.20000000E-01  2.23098090E-02  1.88099269E-01
   4.30000000E-01  2.42453170E-02  1.99051134E-01
   4.40000000E-01  2.62917977E-02  2.10292811E-01
   4.50000000E-01  2.84521189E-02  2.21818186E-01
   4.60000000E-01  3.07290856E-02  2.33620801E-01
   4.70000000E-01  3.31254365E-02  2.45693864E-01
   4.80000000E-01  3.56438407E-02  2.58030265E-01
   4.90000000E-01  3.82868949E-02  2.70622584E-01
   5.00000000E-01  4.10571198E-02  2.83463105E-01
   5.10000000E-01  4.39569576E-02  2.96543823E-01
   5.20000000E-01  4.69887693E-02  3.09856461E-01
   5.30000000E-01  5.01548315E-02  3.23392472E-01
   5.40000000E-01  5.34573340E-02  3.37143054E-01
   5.50000000E-01  5.68983777E-02  3.51099163E-01
   5.60000000E-01  6.04799714E-02  3.65251513E-01
   5.70000000E-01  6.42040304E-02  3.79590594E-01
   5.80000000E-01  6.80723733E-02  3.94106674E-01
   5.90000000E-01  7.20867208E-02  4.08789813E-01
