 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 4.409917E-01, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 2.602378006169914E-03
 #      Coulomb phase shift=-1.823257173357220E+00  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  5.57619025E-16  3.34025114E-13
   2.00000000E-02  3.53432620E-14  1.05690655E-11
   3.00000000E-02  3.98777172E-13  7.93807247E-11
   4.00000000E-02  2.21985373E-12  3.30935447E-10
   5.00000000E-02  8.39130872E-12  9.99395171E-10
   6.00000000E-02  2.48338336E-11  2.46146224E-09
   7.00000000E-02  6.20768822E-11  5.26718692E-09
   8.00000000E-02  1.37139657E-10  1.01692244E-08
   9.00000000E-02  2.75697575E-10  1.81506965E-08
   1.00000000E-01  5.14520909E-10  3.04517856E-08
   1.10000000E-01  9.04173478E-10  4.85951641E-08
   1.20000000E-01  1.51196017E-09  7.44103467E-08
   1.30000000E-01  2.42511290E-09  1.10057032E-07
   1.40000000E-01  3.75420515E-09  1.58047493E-07
   1.50000000E-01  5.63678595E-09  2.21268069E-07
   1.60000000E-01  8.24122428E-09  3.02999788E-07
   1.70000000E-01  1.17707558E-08  4.06938175E-07
   1.80000000E-01  1.64677232E-08  5.37212262E-07
   1.90000000E-01  2.26180038E-08  6.98402841E-07
   2.00000000E-01  3.05556146E-08  8.95559988E-07
   2.10000000E-01  4.06674903E-08  1.13421989E-06
   2.20000000E-01  5.33984255E-08  1.42042098E-06
   2.30000000E-01  6.92561753E-08  1.76071946E-06
   2.40000000E-01  8.88167080E-08  2.16220418E-06
   2.50000000E-01  1.12729603E-07  2.63251095E-06
   2.60000000E-01  1.41723592E-07  3.17983627E-06
   2.70000000E-01  1.76612227E-07  3.81295055E-06
   2.80000000E-01  2.18299690E-07  4.54121081E-06
   2.90000000E-01  2.67786715E-07  5.37457294E-06
   3.00000000E-01  3.26176640E-07  6.32360344E-06
   3.10000000E-01  3.94681569E-07  7.39949082E-06
   3.20000000E-01  4.74628646E-07  8.61405658E-06
   3.30000000E-01  5.67466440E-07  9.97976573E-06
   3.40000000E-01  6.74771428E-07  1.15097371E-05
   3.50000000E-01  7.98254590E-07  1.32177533E-05
   3.60000000E-01  9.39768088E-07  1.51182702E-05
   3.70000000E-01  1.10131205E-06  1.72264264E-05
   3.80000000E-01  1.28504144E-06  1.95580520E-05
   3.90000000E-01  1.49327301E-06  2.21296780E-05
   4.00000000E-01  1.72849238E-06  2.49585443E-05
   4.10000000E-01  1.99336114E-06  2.80626081E-05
   4.20000000E-01  2.29072407E-06  3.14605525E-05
   4.30000000E-01  2.62361643E-06  3.51717941E-05
   4.40000000E-01  2.99527138E-06  3.92164905E-05
