 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2x.dat  
 #      Free state: E= 1.359724E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 4.257006873241931E-02
 #      Coulomb phase shift=-1.035833080447102E+00  (ETA=-6.064170E-01)
 #      Matching radius: RAD(  850)= 8.490000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  8.89090218E-15  5.32581828E-12
   2.00000000E-02  5.63515223E-13  1.68512257E-10
   3.00000000E-02  6.35790320E-12  1.26557939E-09
   4.00000000E-02  3.53904754E-11  5.27580537E-09
   5.00000000E-02  1.33771608E-10  1.59310924E-08
   6.00000000E-02  3.95862181E-10  3.92334027E-08
   7.00000000E-02  9.89441018E-10  8.39436118E-08
   8.00000000E-02  2.18562979E-09  1.62044571E-07
   9.00000000E-02  4.39332937E-09  2.89180675E-07
   1.00000000E-01  8.19794232E-09  4.85075808E-07
   1.10000000E-01  1.44041731E-08  7.73931159E-07
   1.20000000E-01  2.40827110E-08  1.18480412E-06
   1.30000000E-01  3.86206112E-08  1.75196924E-06
   1.40000000E-01  5.97752000E-08  2.51526200E-06
   1.50000000E-01  8.97313334E-08  3.52040613E-06
   1.60000000E-01  1.31161849E-07  4.81932485E-06
   1.70000000E-01  1.87291055E-07  6.47043672E-06
   1.80000000E-01  2.61961094E-07  8.53893634E-06
   1.90000000E-01  3.59701052E-07  1.10970604E-05
   2.00000000E-01  4.85798649E-07  1.42243395E-05
   2.10000000E-01  6.46374371E-07  1.80078358E-05
   2.20000000E-01  8.48457929E-07  2.25423673E-05
   2.30000000E-01  1.10006688E-06  2.79307190E-05
   2.40000000E-01  1.41028728E-06  3.42838411E-05
   2.50000000E-01  1.78935632E-06  4.17210346E-05
   2.60000000E-01  2.24874667E-06  5.03701253E-05
   2.70000000E-01  2.80125255E-06  6.03676256E-05
   2.80000000E-01  3.46107738E-06  7.18588853E-05
   2.90000000E-01  4.24392286E-06  8.49982318E-05
   3.00000000E-01  5.16707939E-06  9.99490991E-05
   3.10000000E-01  6.24951774E-06  1.16884147E-04
   3.20000000E-01  7.51198187E-06  1.35985371E-04
