 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.653014301559041E+00
 #      Coulomb phase shift=-5.989334496399763E+00  (ETA=-1.064838E+00)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  6.02148467E-02  5.65840828E+00
   2.00000000E-02  1.13364805E-01  4.98104377E+00
   3.00000000E-02  1.60017703E-01  4.35828088E+00
   4.00000000E-02  2.00698478E-01  3.78594276E+00
   5.00000000E-02  2.35891505E-01  3.26009735E+00
   6.00000000E-02  2.66043122E-01  2.77707002E+00
   7.00000000E-02  2.91564223E-01  2.33344646E+00
   8.00000000E-02  3.12832844E-01  1.92606876E+00
   9.00000000E-02  3.30196691E-01  1.55202678E+00
   1.00000000E-01  3.43975560E-01  1.20864636E+00
   1.10000000E-01  3.54463627E-01  8.93475557E-01
   1.20000000E-01  3.61931600E-01  6.04269883E-01
   1.30000000E-01  3.66628715E-01  3.38977212E-01
   1.40000000E-01  3.68784587E-01  9.57229152E-02
   1.50000000E-01  3.68610912E-01 -1.27204750E-01
   1.60000000E-01  3.66303023E-01 -3.31368612E-01
   1.70000000E-01  3.62041316E-01 -5.18195565E-01
   1.80000000E-01  3.55992545E-01 -6.88988867E-01
   1.90000000E-01  3.48311003E-01 -8.44939498E-01
   2.00000000E-01  3.39139590E-01 -9.87136599E-01
   2.10000000E-01  3.28610784E-01 -1.11657709E+00
   2.20000000E-01  3.16847517E-01 -1.23417435E+00
   2.30000000E-01  3.03963974E-01 -1.34076613E+00
   2.40000000E-01  2.90066308E-01 -1.43712188E+00
   2.50000000E-01  2.75253292E-01 -1.52394914E+00
   2.60000000E-01  2.59616909E-01 -1.60189946E+00
   2.70000000E-01  2.43242884E-01 -1.67157372E+00
   2.80000000E-01  2.26211167E-01 -1.73352683E+00
   2.90000000E-01  2.08596370E-01 -1.78827206E+00
   3.00000000E-01  1.90468164E-01 -1.83628486E+00
   3.10000000E-01  1.71891640E-01 -1.87800633E+00
   3.20000000E-01  1.52927639E-01 -1.91384626E+00
   3.30000000E-01  1.33633046E-01 -1.94418599E+00
   3.40000000E-01  1.14061066E-01 -1.96938080E+00
   3.50000000E-01  9.42614721E-02 -1.98976225E+00
   3.60000000E-01  7.42808309E-02 -2.00564011E+00
   3.70000000E-01  5.41627137E-02 -2.01730419E+00
   3.80000000E-01  3.39478864E-02 -2.02502594E+00
   3.90000000E-01  1.36744857E-02 -2.02905993E+00
