 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 2.719449E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.280126998912640E+00
 #      Coulomb phase shift= 2.185900682904247E-01  (ETA=-4.288036E-01)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  8.87331861E-02  8.33689623E+00
   2.00000000E-02  1.67015562E-01  7.33296377E+00
   3.00000000E-02  2.35650448E-01  6.40643613E+00
   4.00000000E-02  2.95383498E-01  5.55168276E+00
   5.00000000E-02  3.46905567E-01  4.76337944E+00
   6.00000000E-02  3.90855903E-01  4.03653227E+00
   7.00000000E-02  4.27825514E-01  3.36648704E+00
   8.00000000E-02  4.58360561E-01  2.74892807E+00
   9.00000000E-02  4.82965709E-01  2.17986958E+00
   1.00000000E-01  5.02107356E-01  1.65564199E+00
   1.10000000E-01  5.16216719E-01  1.17287490E+00
   1.20000000E-01  5.25692726E-01  7.28478241E-01
   1.30000000E-01  5.30904727E-01  3.19622586E-01
   1.40000000E-01  5.32194995E-01 -5.62805308E-02
   1.50000000E-01  5.29881045E-01 -4.01598167E-01
   1.60000000E-01  5.24257748E-01 -7.18494810E-01
   1.70000000E-01  5.15599269E-01 -1.00894999E+00
   1.80000000E-01  5.04160832E-01 -1.27477503E+00
   1.90000000E-01  4.90180324E-01 -1.51762863E+00
   2.00000000E-01  4.73879749E-01 -1.73903113E+00
   2.10000000E-01  4.55466542E-01 -1.94037779E+00
   2.20000000E-01  4.35134761E-01 -2.12295072E+00
   2.30000000E-01  4.13066163E-01 -2.28792982E+00
   2.40000000E-01  3.89431176E-01 -2.43640279E+00
   2.50000000E-01  3.64389772E-01 -2.56937409E+00
   2.60000000E-01  3.38092261E-01 -2.68777298E+00
   2.70000000E-01  3.10680008E-01 -2.79246087E+00
   2.80000000E-01  2.82286074E-01 -2.88423784E+00
   2.90000000E-01  2.53035800E-01 -2.96384851E+00
   3.00000000E-01  2.23047339E-01 -3.03198729E+00
   3.10000000E-01  1.92432127E-01 -3.08930311E+00
   3.20000000E-01  1.61295323E-01 -3.13640360E+00
   3.30000000E-01  1.29736201E-01 -3.17385888E+00
   3.40000000E-01  9.78485063E-02 -3.20220491E+00
   3.50000000E-01  6.57207816E-02 -3.22194648E+00
   3.60000000E-01  3.34366676E-02 -3.23355991E+00
   3.70000000E-01  1.07517379E-03 -3.23749542E+00
   3.80000000E-01 -3.12890711E-02 -3.23417929E+00
   3.90000000E-01 -6.35855895E-02 -3.22401575E+00
   4.00000000E-01 -9.57478432E-02 -3.20738872E+00
   4.10000000E-01 -1.27713038E-01 -3.18466333E+00
   4.20000000E-01 -1.59421943E-01 -3.15618725E+00
   4.30000000E-01 -1.90818721E-01 -3.12229198E+00
   4.40000000E-01 -2.21850775E-01 -3.08329394E+00
   4.50000000E-01 -2.52468599E-01 -3.03949544E+00
   4.60000000E-01 -2.82625647E-01 -2.99118561E+00
   4.70000000E-01 -3.12278198E-01 -2.93864117E+00
   4.80000000E-01 -3.41385240E-01 -2.88212723E+00
   4.90000000E-01 -3.69908359E-01 -2.82189788E+00
   5.00000000E-01 -3.97811626E-01 -2.75819685E+00
   5.10000000E-01 -4.25061504E-01 -2.69125805E+00
   5.20000000E-01 -4.51626744E-01 -2.62130605E+00
   5.30000000E-01 -4.77478301E-01 -2.54855659E+00
   5.40000000E-01 -5.02589243E-01 -2.47321695E+00
   5.50000000E-01 -5.26934671E-01 -2.39548639E+00
   5.60000000E-01 -5.50491640E-01 -2.31555649E+00
   5.70000000E-01 -5.73239085E-01 -2.23361150E+00
   5.80000000E-01 -5.95157745E-01 -2.14982866E+00
   5.90000000E-01 -6.16230101E-01 -2.06437846E+00
   6.00000000E-01 -6.36440304E-01 -1.97742494E+00
   6.10000000E-01 -6.55774115E-01 -1.88912596E+00
   6.20000000E-01 -6.74218845E-01 -1.79963339E+00
   6.30000000E-01 -6.91763292E-01 -1.70909341E+00
   6.40000000E-01 -7.08397691E-01 -1.61764667E+00
   6.50000000E-01 -7.24113655E-01 -1.52542853E+00
   6.60000000E-01 -7.38904125E-01 -1.43256922E+00
   6.70000000E-01 -7.52763320E-01 -1.33919408E+00
   6.80000000E-01 -7.65686689E-01 -1.24542364E+00
   6.90000000E-01 -7.77670863E-01 -1.15137390E+00
   7.00000000E-01 -7.88713609E-01 -1.05715641E+00
   7.10000000E-01 -7.98813790E-01 -9.62878474E-01
   7.20000000E-01 -8.07971321E-01 -8.68643249E-01
   7.30000000E-01 -8.16187128E-01 -7.74549924E-01
   7.40000000E-01 -8.23463111E-01 -6.80693850E-01
   7.50000000E-01 -8.29802102E-01 -5.87166632E-01
   7.60000000E-01 -8.35207834E-01 -4.94056324E-01
   7.70000000E-01 -8.39684900E-01 -4.01447475E-01
   7.80000000E-01 -8.43238726E-01 -3.09421287E-01
   7.90000000E-01 -8.45875529E-01 -2.18055731E-01
   8.00000000E-01 -8.47602292E-01 -1.27425601E-01
