 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 4.409917E-01, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.243810323490736E+00
 #      Coulomb phase shift=-5.229382215928716E-01  (ETA=-1.064838E+00)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.15320497E-04  1.40944662E-01
   2.00000000E-02  2.77826749E-03  2.69698919E-01
   3.00000000E-02  6.07201144E-03  3.87264272E-01
   4.00000000E-02  1.04893373E-02  4.94562330E-01
   5.00000000E-02  1.59318552E-02  5.92437053E-01
   6.00000000E-02  2.23092414E-02  6.81658376E-01
   7.00000000E-02  2.95385199E-02  7.62926703E-01
   8.00000000E-02  3.75433915E-02  8.36877862E-01
   9.00000000E-02  4.62536139E-02  9.04088260E-01
   1.00000000E-01  5.56044333E-02  9.65080013E-01
   1.10000000E-01  6.55360663E-02  1.02032592E+00
   1.20000000E-01  7.59932307E-02  1.07025419E+00
   1.30000000E-01  8.69247221E-02  1.11525287E+00
   1.40000000E-01  9.82830331E-02  1.15567399E+00
   1.50000000E-01  1.10024012E-01  1.19183731E+00
   1.60000000E-01  1.22106559E-01  1.22403373E+00
   1.70000000E-01  1.34492350E-01  1.25252843E+00
   1.80000000E-01  1.47145598E-01  1.27756365E+00
   1.90000000E-01  1.60032833E-01  1.29936122E+00
   2.00000000E-01  1.73122711E-01  1.31812473E+00
   2.10000000E-01  1.86385841E-01  1.33404157E+00
   2.20000000E-01  1.99794631E-01  1.34728468E+00
   2.30000000E-01  2.13323156E-01  1.35801411E+00
   2.40000000E-01  2.26947031E-01  1.36637841E+00
   2.50000000E-01  2.40643303E-01  1.37251577E+00
   2.60000000E-01  2.54390354E-01  1.37655520E+00
   2.70000000E-01  2.68167817E-01  1.37861737E+00
   2.80000000E-01  2.81956489E-01  1.37881544E+00
   2.90000000E-01  2.95738267E-01  1.37725585E+00
