 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 2.719449E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.123746596081329E+00
 #      Coulomb phase shift=-1.864978607548724E-01  (ETA=-4.288036E-01)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.23348257E-03  2.43030450E-01
   2.00000000E-02  4.79011688E-03  4.64909132E-01
   3.00000000E-02  1.04665411E-02  6.67246406E-01
   4.00000000E-02  1.80748730E-02  8.51527998E-01
   5.00000000E-02  2.74414739E-02  1.01911754E+00
   6.00000000E-02  3.84057512E-02  1.17126162E+00
   7.00000000E-02  5.08190206E-02  1.30909654E+00
   8.00000000E-02  6.45434406E-02  1.43365588E+00
   9.00000000E-02  7.94510258E-02  1.54587862E+00
   1.00000000E-01  9.54227415E-02  1.64661728E+00
   1.10000000E-01  1.12347679E-01  1.73664586E+00
   1.20000000E-01  1.30122309E-01  1.81666747E+00
   1.30000000E-01  1.48649809E-01  1.88732147E+00
   1.40000000E-01  1.67839460E-01  1.94919020E+00
   1.50000000E-01  1.87606106E-01  2.00280509E+00
   1.60000000E-01  2.07869674E-01  2.04865216E+00
   1.70000000E-01  2.28554746E-01  2.08717718E+00
   1.80000000E-01  2.49590181E-01  2.11879018E+00
   1.90000000E-01  2.70908774E-01  2.14386950E+00
   2.00000000E-01  2.92446962E-01  2.16276544E+00
   2.10000000E-01  3.14144558E-01  2.17580343E+00
   2.20000000E-01  3.35944518E-01  2.18328693E+00
   2.30000000E-01  3.57792731E-01  2.18549995E+00
   2.40000000E-01  3.79637839E-01  2.18270914E+00
   2.50000000E-01  4.01431073E-01  2.17516584E+00
   2.60000000E-01  4.23126108E-01  2.16310768E+00
   2.70000000E-01  4.44678930E-01  2.14676009E+00
   2.80000000E-01  4.66047727E-01  2.12633752E+00
   2.90000000E-01  4.87192780E-01  2.10204463E+00
   3.00000000E-01  5.08076372E-01  2.07407717E+00
   3.10000000E-01  5.28662702E-01  2.04262285E+00
   3.20000000E-01  5.48917808E-01  2.00786204E+00
   3.30000000E-01  5.68809501E-01  1.96996840E+00
   3.40000000E-01  5.88307292E-01  1.92910939E+00
   3.50000000E-01  6.07382343E-01  1.88544672E+00
   3.60000000E-01  6.26007403E-01  1.83913680E+00
   3.70000000E-01  6.44156760E-01  1.79033102E+00
   3.80000000E-01  6.61806194E-01  1.73917607E+00
   3.90000000E-01  6.78932926E-01  1.68581415E+00
   4.00000000E-01  6.95515580E-01  1.63038326E+00
   4.10000000E-01  7.11534141E-01  1.57301735E+00
   4.20000000E-01  7.26969911E-01  1.51384645E+00
   4.30000000E-01  7.41805475E-01  1.45299691E+00
   4.40000000E-01  7.56024663E-01  1.39059140E+00
   4.50000000E-01  7.69612514E-01  1.32674915E+00
   4.60000000E-01  7.82555243E-01  1.26158595E+00
   4.70000000E-01  7.94840206E-01  1.19521432E+00
   4.80000000E-01  8.06455866E-01  1.12774354E+00
   4.90000000E-01  8.17391767E-01  1.05927977E+00
   5.00000000E-01  8.27638496E-01  9.89926073E-01
   5.10000000E-01  8.37187656E-01  9.19782543E-01
   5.20000000E-01  8.46031838E-01  8.48946302E-01
   5.30000000E-01  8.54164587E-01  7.77511627E-01
   5.40000000E-01  8.61580381E-01  7.05569977E-01
   5.50000000E-01  8.68274593E-01  6.33210029E-01
   5.60000000E-01  8.74243474E-01  5.60517783E-01
   5.70000000E-01  8.79484119E-01  4.87576607E-01
   5.80000000E-01  8.83994446E-01  4.14467284E-01
   5.90000000E-01  8.87773165E-01  3.41268049E-01
   6.00000000E-01  8.90819760E-01  2.68054669E-01
   6.10000000E-01  8.93134456E-01  1.94900491E-01
   6.20000000E-01  8.94718204E-01  1.21876467E-01
   6.30000000E-01  8.95572649E-01  4.90512597E-02
   6.40000000E-01  8.95700113E-01 -2.35087419E-02
   6.50000000E-01  8.95103572E-01 -9.57393658E-02
   6.60000000E-01  8.93786631E-01 -1.67578581E-01
   6.70000000E-01  8.91753505E-01 -2.38966487E-01
   6.80000000E-01  8.89008998E-01 -3.09845248E-01
   6.90000000E-01  8.85558484E-01 -3.80159022E-01
   7.00000000E-01  8.81407881E-01 -4.49853950E-01
   7.10000000E-01  8.76563641E-01 -5.18878064E-01
   7.20000000E-01  8.71032723E-01 -5.87181275E-01
   7.30000000E-01  8.64822579E-01 -6.54715315E-01
   7.40000000E-01  8.57941136E-01 -7.21433681E-01
   7.50000000E-01  8.50396774E-01 -7.87291627E-01
   7.60000000E-01  8.42198315E-01 -8.52246052E-01
   7.70000000E-01  8.33355003E-01 -9.16255533E-01
   7.80000000E-01  8.23876487E-01 -9.79280239E-01
   7.90000000E-01  8.13772809E-01 -1.04128189E+00
   8.00000000E-01  8.03054382E-01 -1.10222375E+00
   8.10000000E-01  7.91731984E-01 -1.16207056E+00
   8.20000000E-01  7.79816734E-01 -1.22078850E+00
   8.30000000E-01  7.67320085E-01 -1.27834517E+00
   8.40000000E-01  7.54253805E-01 -1.33470953E+00
   8.50000000E-01  7.40629968E-01 -1.38985192E+00
   8.60000000E-01  7.26460935E-01 -1.44374395E+00
   8.70000000E-01  7.11759347E-01 -1.49635854E+00
   8.80000000E-01  6.96538108E-01 -1.54766985E+00
   8.90000000E-01  6.80810376E-01 -1.59765326E+00
   9.00000000E-01  6.64589548E-01 -1.64628532E+00
   9.10000000E-01  6.47889249E-01 -1.69354379E+00
   9.20000000E-01  6.30723321E-01 -1.73940754E+00
   9.30000000E-01  6.13105814E-01 -1.78385656E+00
   9.40000000E-01  5.95050969E-01 -1.82687194E+00
   9.50000000E-01  5.76573213E-01 -1.86843584E+00
   9.60000000E-01  5.57687147E-01 -1.90853145E+00
   9.70000000E-01  5.38407531E-01 -1.94714301E+00
   9.80000000E-01  5.18749283E-01 -1.98425576E+00
   9.90000000E-01  4.98727458E-01 -2.01985592E+00
   1.00000000E+00  4.78357249E-01 -2.05393070E+00
   1.01000000E+00  4.57653969E-01 -2.08646824E+00
   1.02000000E+00  4.36633045E-01 -2.11745764E+00
   1.03000000E+00  4.15310010E-01 -2.14688892E+00
   1.04000000E+00  3.93700491E-01 -2.17475298E+00
   1.05000000E+00  3.71820201E-01 -2.20104169E+00
   1.06000000E+00  3.49684933E-01 -2.22574772E+00
   1.07000000E+00  3.27310544E-01 -2.24886466E+00
   1.08000000E+00  3.04712955E-01 -2.27038693E+00
   1.09000000E+00  2.81908137E-01 -2.29030981E+00
   1.10000000E+00  2.58912103E-01 -2.30862944E+00
   1.11000000E+00  2.35740903E-01 -2.32534274E+00
   1.12000000E+00  2.12410610E-01 -2.34044749E+00
   1.13000000E+00  1.88937319E-01 -2.35394227E+00
   1.14000000E+00  1.65337134E-01 -2.36582644E+00
   1.15000000E+00  1.41626159E-01 -2.37610019E+00
   1.16000000E+00  1.17820495E-01 -2.38476446E+00
   1.17000000E+00  9.39362287E-02 -2.39182099E+00
   1.18000000E+00  6.99894258E-02 -2.39727229E+00
   1.19000000E+00  4.59961227E-02 -2.40112165E+00
   1.20000000E+00  2.19723194E-02 -2.40337308E+00
   1.21000000E+00 -2.06602843E-03 -2.40403140E+00
   1.22000000E+00 -2.61030165E-02 -2.40310213E+00
   1.23000000E+00 -5.01227999E-02 -2.40059156E+00
   1.24000000E+00 -7.41096001E-02 -2.39650672E+00
   1.25000000E+00 -9.80477125E-02 -2.39085536E+00
   1.26000000E+00 -1.21921514E-01 -2.38364598E+00
   1.27000000E+00 -1.45715469E-01 -2.37488778E+00
   1.28000000E+00 -1.69414140E-01 -2.36459070E+00
   1.29000000E+00 -1.93002189E-01 -2.35276540E+00
   1.30000000E+00 -2.16464391E-01 -2.33942322E+00
   1.31000000E+00 -2.39785637E-01 -2.32457624E+00
   1.32000000E+00 -2.62950943E-01 -2.30823723E+00
