 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 4.409917E-01, L=   2  (EPS= 1.0E-15)
 #        Inner phase shift= 4.626569465879102E-01
 #      Coulomb phase shift=-1.012183570167162E+00  (ETA=-1.064838E+00)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  9.03507634E-07  2.69275567E-04
   2.00000000E-02  7.08850125E-06  1.04957364E-03
   3.00000000E-02  2.34696198E-05  2.30237856E-03
   4.00000000E-02  5.45938647E-05  3.99262556E-03
   5.00000000E-02  1.04673520E-04  6.08838325E-03
   6.00000000E-02  1.77615924E-04  8.56054353E-03
   7.00000000E-02  2.77050218E-04  1.13825273E-02
   8.00000000E-02  4.06351246E-04  1.45300106E-02
   9.00000000E-02  5.68660834E-04  1.79806742E-02
   1.00000000E-01  7.66906688E-04  2.17139773E-02
   1.10000000E-01  1.00381914E-03  2.57109544E-02
   1.20000000E-01  1.28194599E-03  2.99540362E-02
   1.30000000E-01  1.60366565E-03  3.44268910E-02
   1.40000000E-01  1.97119883E-03  3.91142864E-02
   1.50000000E-01  2.38661891E-03  4.40019689E-02
   1.60000000E-01  2.85186115E-03  4.90765585E-02
   1.70000000E-01  3.36873104E-03  5.43254600E-02
   1.80000000E-01  3.93891169E-03  5.97367843E-02
   1.90000000E-01  4.56397057E-03  6.52992824E-02
   2.00000000E-01  5.24536563E-03  7.10022880E-02
   2.10000000E-01  5.98445086E-03  7.68356686E-02
   2.20000000E-01  6.78248141E-03  8.27897846E-02
   2.30000000E-01  7.64061835E-03  8.88554531E-02
   2.40000000E-01  8.55993308E-03  9.50239174E-02
   2.50000000E-01  9.54141145E-03  1.01286821E-01
   2.60000000E-01  1.05859577E-02  1.07636184E-01
   2.70000000E-01  1.16943979E-02  1.14064385E-01
   2.80000000E-01  1.28674838E-02  1.20564142E-01
   2.90000000E-01  1.41058960E-02  1.27128499E-01
   3.00000000E-01  1.54102470E-02  1.33750813E-01
   3.10000000E-01  1.67810843E-02  1.40424738E-01
   3.20000000E-01  1.82188935E-02  1.47144219E-01
   3.30000000E-01  1.97241012E-02  1.53903479E-01
   3.40000000E-01  2.12970773E-02  1.60697008E-01
   3.50000000E-01  2.29381381E-02  1.67519559E-01
   3.60000000E-01  2.46475486E-02  1.74366133E-01
   3.70000000E-01  2.64255250E-02  1.81231976E-01
   3.80000000E-01  2.82722372E-02  1.88112569E-01
   3.90000000E-01  3.01878112E-02  1.95003619E-01
   4.00000000E-01  3.21723309E-02  2.01901053E-01
   4.10000000E-01  3.42258406E-02  2.08801008E-01
   4.20000000E-01  3.63483472E-02  2.15699828E-01
   4.30000000E-01  3.85398218E-02  2.22594052E-01
   4.40000000E-01  4.08002020E-02  2.29480407E-01
   4.50000000E-01  4.31293934E-02  2.36355804E-01
   4.60000000E-01  4.55272718E-02  2.43217326E-01
   4.70000000E-01  4.79936845E-02  2.50062226E-01
   4.80000000E-01  5.05284523E-02  2.56887916E-01
   4.90000000E-01  5.31313707E-02  2.63691961E-01
   5.00000000E-01  5.58022117E-02  2.70472071E-01
   5.10000000E-01  5.85407251E-02  2.77226098E-01
   5.20000000E-01  6.13466400E-02  2.83952023E-01
   5.30000000E-01  6.42196656E-02  2.90647954E-01
   5.40000000E-01  6.71594932E-02  2.97312120E-01
   5.50000000E-01  7.01657966E-02  3.03942859E-01
   5.60000000E-01  7.32382337E-02  3.10538618E-01
   5.70000000E-01  7.63764475E-02  3.17097942E-01
   5.80000000E-01  7.95800666E-02  3.23619475E-01
   5.90000000E-01  8.28487068E-02  3.30101945E-01
