 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 2.719449E+00, L=   2  (EPS= 1.0E-15)
 #        Inner phase shift= 4.555331004080054E-01
 #      Coulomb phase shift=-3.977021887675953E-01  (ETA=-4.288036E-01)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  4.69538132E-06  1.39935034E-03
   2.00000000E-02  3.68341565E-05  5.45344150E-03
   3.00000000E-02  1.21935681E-04  1.19595203E-02
   4.00000000E-02  2.83575010E-04  2.07312295E-02
   5.00000000E-02  5.43539321E-04  3.15971001E-02
   6.00000000E-02  9.21969333E-04  4.43990664E-02
   7.00000000E-02  1.43748619E-03  5.89910512E-02
   8.00000000E-02  2.10730467E-03  7.52376460E-02
   9.00000000E-02  2.94733373E-03  9.30129031E-02
   1.00000000E-01  3.97226553E-03  1.12199245E-01
   1.10000000E-01  5.19565424E-03  1.32686489E-01
   1.20000000E-01  6.62998553E-03  1.54370989E-01
   1.30000000E-01  8.28673809E-03  1.77154878E-01
   1.40000000E-01  1.01764381E-02  2.00945413E-01
   1.50000000E-01  1.23087074E-02  2.25654414E-01
   1.60000000E-01  1.46923071E-02  2.51197767E-01
   1.70000000E-01  1.73351754E-02  2.77495018E-01
   1.80000000E-01  2.02444630E-02  3.04469022E-01
   1.90000000E-01  2.34265642E-02  3.32045637E-01
   2.00000000E-01  2.68871462E-02  3.60153485E-01
   2.10000000E-01  3.06311750E-02  3.88723731E-01
   2.20000000E-01  3.46629404E-02  4.17689922E-01
   2.30000000E-01  3.89860789E-02  4.46987835E-01
   2.40000000E-01  4.36035956E-02  4.76555360E-01
   2.50000000E-01  4.85178843E-02  5.06332399E-01
   2.60000000E-01  5.37307478E-02  5.36260783E-01
   2.70000000E-01  5.92434166E-02  5.66284209E-01
   2.80000000E-01  6.50565670E-02  5.96348175E-01
   2.90000000E-01  7.11703392E-02  6.26399939E-01
   3.00000000E-01  7.75843548E-02  6.56388477E-01
   3.10000000E-01  8.42977333E-02  6.86264444E-01
   3.20000000E-01  9.13091093E-02  7.15980150E-01
   3.30000000E-01  9.86166484E-02  7.45489523E-01
   3.40000000E-01  1.06218064E-01  7.74748092E-01
   3.50000000E-01  1.14110631E-01  8.03712954E-01
   3.60000000E-01  1.22291206E-01  8.32342757E-01
   3.70000000E-01  1.30756236E-01  8.60597675E-01
   3.80000000E-01  1.39501782E-01  8.88439387E-01
   3.90000000E-01  1.48523524E-01  9.15831045E-01
   4.00000000E-01  1.57816784E-01  9.42737262E-01
   4.10000000E-01  1.67376538E-01  9.69124082E-01
