 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2y.dat  
 #      Free state: E= 1.359724E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 4.257043540465766E-02
 #      Coulomb phase shift=-1.035838271573027E+00  (ETA=-6.064200E-01)
 #      Matching radius: RAD(  896)= 8.949999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  8.89093274E-15  5.32583658E-12
   2.00000000E-02  5.63517160E-13  1.68512836E-10
   3.00000000E-02  6.35792506E-12  1.26558374E-09
   4.00000000E-02  3.53905970E-11  5.27582350E-09
   5.00000000E-02  1.33772068E-10  1.59311471E-08
   6.00000000E-02  3.95863541E-10  3.92335375E-08
   7.00000000E-02  9.89444417E-10  8.39439002E-08
   8.00000000E-02  2.18563730E-09  1.62045127E-07
   9.00000000E-02  4.39334447E-09  2.89181668E-07
   1.00000000E-01  8.19797049E-09  4.85077475E-07
   1.10000000E-01  1.44042226E-08  7.73933818E-07
   1.20000000E-01  2.40827937E-08  1.18480819E-06
   1.30000000E-01  3.86207439E-08  1.75197525E-06
   1.40000000E-01  5.97754053E-08  2.51527064E-06
   1.50000000E-01  8.97316416E-08  3.52041822E-06
   1.60000000E-01  1.31162300E-07  4.81934139E-06
   1.70000000E-01  1.87291698E-07  6.47045892E-06
   1.80000000E-01  2.61961993E-07  8.53896563E-06
   1.90000000E-01  3.59702287E-07  1.10970985E-05
   2.00000000E-01  4.85800315E-07  1.42243883E-05
   2.10000000E-01  6.46376589E-07  1.80078975E-05
   2.20000000E-01  8.48460839E-07  2.25424445E-05
   2.30000000E-01  1.10007065E-06  2.79308146E-05
   2.40000000E-01  1.41029212E-06  3.42839584E-05
   2.50000000E-01  1.78936245E-06  4.17211772E-05
   2.60000000E-01  2.24875437E-06  5.03702974E-05
   2.70000000E-01  2.80126213E-06  6.03678317E-05
   2.80000000E-01  3.46108922E-06  7.18591305E-05
   2.90000000E-01  4.24393737E-06  8.49985217E-05
   3.00000000E-01  5.16709705E-06  9.99494398E-05
   3.10000000E-01  6.24953909E-06  1.16884545E-04
   3.20000000E-01  7.51200751E-06  1.35985834E-04
   3.30000000E-01  8.97711341E-06  1.57444736E-04
   3.40000000E-01  1.06694297E-05  1.81462211E-04
   3.50000000E-01  1.26155870E-05  2.08248822E-04
   3.60000000E-01  1.48443697E-05  2.38024818E-04
   3.70000000E-01  1.73868135E-05  2.71020192E-04
   3.80000000E-01  2.02763031E-05  3.07474744E-04
   3.90000000E-01  2.35486701E-05  3.47638126E-04
   4.00000000E-01  2.72422924E-05  3.91769889E-04
   4.10000000E-01  3.13981930E-05  4.40139513E-04
   4.20000000E-01  3.60601392E-05  4.93026438E-04
   4.30000000E-01  4.12747430E-05  5.50720085E-04
   4.40000000E-01  4.70915603E-05  6.13519868E-04
   4.50000000E-01  5.35631911E-05  6.81735202E-04
   4.60000000E-01  6.07453798E-05  7.55685505E-04
   4.70000000E-01  6.86971147E-05  8.35700191E-04
   4.80000000E-01  7.74807284E-05  9.22118660E-04
   4.90000000E-01  8.71619973E-05  1.01529028E-03
   5.00000000E-01  9.78102410E-05  1.11557434E-03
   5.10000000E-01  1.09498422E-04  1.22334008E-03
   5.20000000E-01  1.22303244E-04  1.33896658E-03
   5.30000000E-01  1.36305251E-04  1.46284274E-03
   5.40000000E-01  1.51588926E-04  1.59536727E-03
   5.50000000E-01  1.68242785E-04  1.73694858E-03
   5.60000000E-01  1.86359479E-04  1.88800474E-03
   5.70000000E-01  2.06035887E-04  2.04896341E-03
   5.80000000E-01  2.27373212E-04  2.22026176E-03
   5.90000000E-01  2.50477076E-04  2.40234640E-03
   6.00000000E-01  2.75457613E-04  2.59567327E-03
   6.10000000E-01  3.02429565E-04  2.80070754E-03
   6.20000000E-01  3.31512369E-04  3.01792354E-03
   6.30000000E-01  3.62830251E-04  3.24780462E-03
   6.40000000E-01  3.96512318E-04  3.49084304E-03
   6.50000000E-01  4.32692639E-04  3.74753984E-03
   6.60000000E-01  4.71510341E-04  4.01840475E-03
   6.70000000E-01  5.13109688E-04  4.30395596E-03
   6.80000000E-01  5.57640169E-04  4.60472007E-03
   6.90000000E-01  6.05256580E-04  4.92123188E-03
   7.00000000E-01  6.56119107E-04  5.25403423E-03
   7.10000000E-01  7.10393402E-04  5.60367785E-03
   7.20000000E-01  7.68250663E-04  5.97072119E-03
   7.30000000E-01  8.29867710E-04  6.35573018E-03
   7.40000000E-01  8.95427062E-04  6.75927809E-03
   7.50000000E-01  9.65117002E-04  7.18194530E-03
   7.60000000E-01  1.03913166E-03  7.62431913E-03
   7.70000000E-01  1.11767105E-03  8.08699352E-03
   7.80000000E-01  1.20094120E-03  8.57056891E-03
   7.90000000E-01  1.28915412E-03  9.07565199E-03
   8.00000000E-01  1.38252797E-03  9.60285533E-03
   8.10000000E-01  1.48128702E-03  1.01527973E-02
   8.20000000E-01  1.58566179E-03  1.07261017E-02
   8.30000000E-01  1.69588903E-03  1.13233974E-02
   8.40000000E-01  1.81221182E-03  1.19453185E-02
   8.50000000E-01  1.93487961E-03  1.25925032E-02
   8.60000000E-01  2.06414824E-03  1.32655945E-02
   8.70000000E-01  2.20028001E-03  1.39652390E-02
   8.80000000E-01  2.34354370E-03  1.46920871E-02
   8.90000000E-01  2.49421461E-03  1.54467928E-02
   9.00000000E-01  2.65257460E-03  1.62300126E-02
   9.10000000E-01  2.81891211E-03  1.70424061E-02
   9.20000000E-01  2.99352217E-03  1.78846349E-02
   9.30000000E-01  3.17670647E-03  1.87573626E-02
   9.40000000E-01  3.36877331E-03  1.96612545E-02
   9.50000000E-01  3.57003766E-03  2.05969768E-02
   9.60000000E-01  3.78082117E-03  2.15651966E-02
   9.70000000E-01  4.00145214E-03  2.25665812E-02
   9.80000000E-01  4.23226557E-03  2.36017981E-02
   9.90000000E-01  4.47360310E-03  2.46715141E-02
   1.00000000E+00  4.72581306E-03  2.57763950E-02
   1.01000000E+00  4.98925043E-03  2.69171053E-02
   1.02000000E+00  5.26427681E-03  2.80943079E-02
   1.03000000E+00  5.55126043E-03  2.93086629E-02
   1.04000000E+00  5.85057610E-03  3.05608282E-02
   1.05000000E+00  6.16260521E-03  3.18514576E-02
   1.06000000E+00  6.48773564E-03  3.31812019E-02
   1.07000000E+00  6.82636178E-03  3.45507074E-02
   1.08000000E+00  7.17888446E-03  3.59606155E-02
   1.09000000E+00  7.54571089E-03  3.74115623E-02
   1.10000000E+00  7.92725461E-03  3.89041783E-02
   1.11000000E+00  8.32393543E-03  4.04390872E-02
   1.12000000E+00  8.73617939E-03  4.20169063E-02
   1.13000000E+00  9.16441863E-03  4.36382449E-02
   1.14000000E+00  9.60909136E-03  4.53037046E-02
   1.15000000E+00  1.00706418E-02  4.70138782E-02
   1.16000000E+00  1.05495199E-02  4.87693493E-02
   1.17000000E+00  1.10461817E-02  5.05706920E-02
   1.18000000E+00  1.15610885E-02  5.24184695E-02
   1.19000000E+00  1.20947077E-02  5.43132344E-02
   1.20000000E+00  1.26475117E-02  5.62555275E-02
   1.21000000E+00  1.32199784E-02  5.82458775E-02
   1.22000000E+00  1.38125911E-02  6.02848002E-02
   1.23000000E+00  1.44258380E-02  6.23727978E-02
   1.24000000E+00  1.50602123E-02  6.45103587E-02
   1.25000000E+00  1.57162120E-02  6.66979562E-02
   1.26000000E+00  1.63943397E-02  6.89360484E-02
   1.27000000E+00  1.70951027E-02  7.12250771E-02
   1.28000000E+00  1.78190125E-02  7.35654679E-02
   1.29000000E+00  1.85665847E-02  7.59576285E-02
   1.30000000E+00  1.93383389E-02  7.84019488E-02
