 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.653025829114075E+00
 #      Coulomb phase shift=-5.989333722509348E+00  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  6.02148411E-02  5.65840776E+00
   2.00000000E-02  1.13364794E-01  4.98104330E+00
   3.00000000E-02  1.60017688E-01  4.35828048E+00
   4.00000000E-02  2.00698459E-01  3.78594241E+00
   5.00000000E-02  2.35891483E-01  3.26009705E+00
   6.00000000E-02  2.66043098E-01  2.77706977E+00
   7.00000000E-02  2.91564196E-01  2.33344620E+00
   8.00000000E-02  3.12832814E-01  1.92606849E+00
   9.00000000E-02  3.30196659E-01  1.55202655E+00
   1.00000000E-01  3.43975525E-01  1.20864617E+00
   1.10000000E-01  3.54463591E-01  8.93475369E-01
   1.20000000E-01  3.61931562E-01  6.04269654E-01
   1.30000000E-01  3.66628674E-01  3.38976986E-01
   1.40000000E-01  3.68784545E-01  9.57226950E-02
   1.50000000E-01  3.68610867E-01 -1.27205004E-01
   1.60000000E-01  3.66302976E-01 -3.31368859E-01
   1.70000000E-01  3.62041266E-01 -5.18195810E-01
   1.80000000E-01  3.55992492E-01 -6.88989109E-01
   1.90000000E-01  3.48310948E-01 -8.44939730E-01
   2.00000000E-01  3.39139533E-01 -9.87136849E-01
   2.10000000E-01  3.28610724E-01 -1.11657734E+00
   2.20000000E-01  3.16847455E-01 -1.23417457E+00
   2.30000000E-01  3.03963910E-01 -1.34076633E+00
   2.40000000E-01  2.90066242E-01 -1.43712206E+00
   2.50000000E-01  2.75253224E-01 -1.52394930E+00
   2.60000000E-01  2.59616840E-01 -1.60189961E+00
   2.70000000E-01  2.43242814E-01 -1.67157386E+00
   2.80000000E-01  2.26211095E-01 -1.73352697E+00
   2.90000000E-01  2.08596296E-01 -1.78827220E+00
   3.00000000E-01  1.90468089E-01 -1.83628499E+00
   3.10000000E-01  1.71891564E-01 -1.87800645E+00
   3.20000000E-01  1.52927562E-01 -1.91384638E+00
   3.30000000E-01  1.33632968E-01 -1.94418609E+00
   3.40000000E-01  1.14060987E-01 -1.96938090E+00
   3.50000000E-01  9.42613918E-02 -1.98976234E+00
   3.60000000E-01  7.42807498E-02 -2.00564019E+00
   3.70000000E-01  5.41626319E-02 -2.01730425E+00
   3.80000000E-01  3.39478040E-02 -2.02502599E+00
   3.90000000E-01  1.36744029E-02 -2.02905997E+00
   4.00000000E-01 -6.62190122E-03 -2.02964519E+00
   4.10000000E-01 -2.69077552E-02 -2.02700624E+00
   4.20000000E-01 -4.71519844E-02 -2.02135438E+00
   4.30000000E-01 -6.73254642E-02 -2.01288852E+00
   4.40000000E-01 -8.74010007E-02 -2.00179606E+00
   4.50000000E-01 -1.07353220E-01 -1.98825370E+00
   4.60000000E-01 -1.27158465E-01 -1.97242816E+00
   4.70000000E-01 -1.46794698E-01 -1.95447687E+00
   4.80000000E-01 -1.66241413E-01 -1.93454847E+00
   4.90000000E-01 -1.85479547E-01 -1.91278347E+00
   5.00000000E-01 -2.04491404E-01 -1.88931468E+00
   5.10000000E-01 -2.23260580E-01 -1.86426769E+00
   5.20000000E-01 -2.41771894E-01 -1.83776130E+00
   5.30000000E-01 -2.60011317E-01 -1.80990787E+00
   5.40000000E-01 -2.77965916E-01 -1.78081376E+00
   5.50000000E-01 -2.95623793E-01 -1.75057959E+00
   5.60000000E-01 -3.12974026E-01 -1.71930058E+00
   5.70000000E-01 -3.30006622E-01 -1.68706684E+00
   5.80000000E-01 -3.46712465E-01 -1.65396362E+00
   5.90000000E-01 -3.63083266E-01 -1.62007160E+00
   6.00000000E-01 -3.79111522E-01 -1.58546708E+00
   6.10000000E-01 -3.94790473E-01 -1.55022225E+00
   6.20000000E-01 -4.10114061E-01 -1.51440535E+00
   6.30000000E-01 -4.25076889E-01 -1.47808087E+00
   6.40000000E-01 -4.39674190E-01 -1.44130979E+00
   6.50000000E-01 -4.53901788E-01 -1.40414969E+00
   6.60000000E-01 -4.67756068E-01 -1.36665495E+00
   6.70000000E-01 -4.81233943E-01 -1.32887689E+00
   6.80000000E-01 -4.94332824E-01 -1.29086393E+00
   6.90000000E-01 -5.07050591E-01 -1.25266172E+00
   7.00000000E-01 -5.19385571E-01 -1.21431328E+00
   7.10000000E-01 -5.31336505E-01 -1.17585913E+00
   7.20000000E-01 -5.42902528E-01 -1.13733739E+00
   7.30000000E-01 -5.54083147E-01 -1.09878393E+00
   7.40000000E-01 -5.64878214E-01 -1.06023246E+00
   7.50000000E-01 -5.75287909E-01 -1.02171463E+00
   7.60000000E-01 -5.85312718E-01 -9.83260126E-01
   7.70000000E-01 -5.94953415E-01 -9.44896798E-01
   7.80000000E-01 -6.04211045E-01 -9.06650719E-01
   7.90000000E-01 -6.13086902E-01 -8.68546278E-01
   8.00000000E-01 -6.21582519E-01 -8.30606281E-01
   8.10000000E-01 -6.29699647E-01 -7.92852004E-01
   8.20000000E-01 -6.37440244E-01 -7.55303286E-01
   8.30000000E-01 -6.44806459E-01 -7.17978602E-01
   8.40000000E-01 -6.51800620E-01 -6.80895119E-01
   8.50000000E-01 -6.58425219E-01 -6.44068780E-01
   8.60000000E-01 -6.64682902E-01 -6.07514349E-01
   8.70000000E-01 -6.70576458E-01 -5.71245502E-01
   8.80000000E-01 -6.76108806E-01 -5.35274854E-01
   8.90000000E-01 -6.81282988E-01 -4.99614034E-01
   9.00000000E-01 -6.86102156E-01 -4.64273726E-01
   9.10000000E-01 -6.90569564E-01 -4.29263713E-01
   9.20000000E-01 -6.94688561E-01 -3.94592966E-01
   9.30000000E-01 -6.98462581E-01 -3.60269639E-01
   9.40000000E-01 -7.01895136E-01 -3.26301143E-01
   9.50000000E-01 -7.04989809E-01 -2.92694181E-01
   9.60000000E-01 -7.07750245E-01 -2.59454788E-01
   9.70000000E-01 -7.10180148E-01 -2.26588383E-01
   9.80000000E-01 -7.12283272E-01 -1.94099781E-01
   9.90000000E-01 -7.14063418E-01 -1.61993243E-01
   1.00000000E+00 -7.15524423E-01 -1.30272512E-01
   1.01000000E+00 -7.16670165E-01 -9.89408399E-02
   1.02000000E+00 -7.17504546E-01 -6.80010145E-02
   1.03000000E+00 -7.18031499E-01 -3.74554010E-02
   1.04000000E+00 -7.18254975E-01 -7.30595339E-03
   1.05000000E+00 -7.18178944E-01  2.24457273E-02
   1.06000000E+00 -7.17807390E-01  5.17984166E-02
   1.07000000E+00 -7.17144309E-01  8.07512057E-02
   1.08000000E+00 -7.16193701E-01  1.09303492E-01
   1.09000000E+00 -7.14959575E-01  1.37454949E-01
   1.10000000E+00 -7.13445939E-01  1.65205514E-01
   1.11000000E+00 -7.11656800E-01  1.92555371E-01
   1.12000000E+00 -7.09596166E-01  2.19504920E-01
   1.13000000E+00 -7.07268034E-01  2.46054769E-01
   1.14000000E+00 -7.04676400E-01  2.72205716E-01
   1.15000000E+00 -7.01825247E-01  2.97958727E-01
   1.16000000E+00 -6.98718548E-01  3.23314927E-01
   1.17000000E+00 -6.95360267E-01  3.48275586E-01
   1.18000000E+00 -6.91754350E-01  3.72842104E-01
   1.19000000E+00 -6.87904733E-01  3.97015989E-01
   1.20000000E+00 -6.83815334E-01  4.20798863E-01
   1.21000000E+00 -6.79490054E-01  4.44192437E-01
   1.22000000E+00 -6.74932777E-01  4.67198504E-01
   1.23000000E+00 -6.70147369E-01  4.89818929E-01
   1.24000000E+00 -6.65137677E-01  5.12055642E-01
   1.25000000E+00 -6.59907529E-01  5.33910621E-01
   1.26000000E+00 -6.54460731E-01  5.55385895E-01
   1.27000000E+00 -6.48801070E-01  5.76483523E-01
   1.28000000E+00 -6.42932312E-01  5.97205599E-01
   1.29000000E+00 -6.36858202E-01  6.17554237E-01
   1.30000000E+00 -6.30582465E-01  6.37531566E-01
   1.31000000E+00 -6.24108802E-01  6.57139724E-01
   1.32000000E+00 -6.17440894E-01  6.76380855E-01
   1.33000000E+00 -6.10582401E-01  6.95257102E-01
   1.34000000E+00 -6.03536961E-01  7.13770600E-01
   1.35000000E+00 -5.96308191E-01  7.31923470E-01
   1.36000000E+00 -5.88899687E-01  7.49717822E-01
   1.37000000E+00 -5.81315023E-01  7.67155748E-01
   1.38000000E+00 -5.73557753E-01  7.84239313E-01
   1.39000000E+00 -5.65631411E-01  8.00970557E-01
   1.40000000E+00 -5.57539509E-01  8.17351495E-01
   1.41000000E+00 -5.49285542E-01  8.33384103E-01
   1.42000000E+00 -5.40872982E-01  8.49070328E-01
   1.43000000E+00 -5.32305284E-01  8.64412078E-01
   1.44000000E+00 -5.23585882E-01  8.79411223E-01
   1.45000000E+00 -5.14718195E-01  8.94069592E-01
   1.46000000E+00 -5.05705620E-01  9.08388973E-01
   1.47000000E+00 -4.96551540E-01  9.22371111E-01
   1.48000000E+00 -4.87259317E-01  9.36017706E-01
   1.49000000E+00 -4.77832299E-01  9.49330410E-01
   1.50000000E+00 -4.68273816E-01  9.62310834E-01
   1.51000000E+00 -4.58587184E-01  9.74960538E-01
   1.52000000E+00 -4.48775703E-01  9.87281036E-01
   1.53000000E+00 -4.38842656E-01  9.99273794E-01
   1.54000000E+00 -4.28791315E-01  1.01094023E+00
   1.55000000E+00 -4.18624935E-01  1.02228171E+00
   1.56000000E+00 -4.08346759E-01  1.03329957E+00
   1.57000000E+00 -3.97960018E-01  1.04399507E+00
   1.58000000E+00 -3.87467928E-01  1.05436945E+00
   1.59000000E+00 -3.76873695E-01  1.06442388E+00
   1.60000000E+00 -3.66180513E-01  1.07415950E+00
   1.61000000E+00 -3.55391564E-01  1.08357740E+00
   1.62000000E+00 -3.44510021E-01  1.09267863E+00
   1.63000000E+00 -3.33539044E-01  1.10146418E+00
   1.64000000E+00 -3.22481786E-01  1.10993501E+00
   1.65000000E+00 -3.11341390E-01  1.11809204E+00
   1.66000000E+00 -3.00120988E-01  1.12593615E+00
   1.67000000E+00 -2.88823707E-01  1.13346816E+00
   1.68000000E+00 -2.77452663E-01  1.14068888E+00
   1.69000000E+00 -2.66010965E-01  1.14759906E+00
   1.70000000E+00 -2.54501714E-01  1.15419943E+00
   1.71000000E+00 -2.42928006E-01  1.16049068E+00
   1.72000000E+00 -2.31292929E-01  1.16647345E+00
   1.73000000E+00 -2.19599564E-01  1.17214838E+00
   1.74000000E+00 -2.07850985E-01  1.17751607E+00
   1.75000000E+00 -1.96050264E-01  1.18257706E+00
   1.76000000E+00 -1.84200465E-01  1.18733192E+00
   1.77000000E+00 -1.72304645E-01  1.19178114E+00
   1.78000000E+00 -1.60365859E-01  1.19592522E+00
   1.79000000E+00 -1.48387156E-01  1.19976463E+00
   1.80000000E+00 -1.36371581E-01  1.20329981E+00
   1.81000000E+00 -1.24322173E-01  1.20653121E+00
   1.82000000E+00 -1.12241968E-01  1.20945922E+00
   1.83000000E+00 -1.00133998E-01  1.21208426E+00
   1.84000000E+00 -8.80012912E-02  1.21440671E+00
   1.85000000E+00 -7.58468713E-02  1.21642694E+00
   1.86000000E+00 -6.36737585E-02  1.21814533E+00
   1.87000000E+00 -5.14849696E-02  1.21956223E+00
   1.88000000E+00 -3.92835176E-02  1.22067800E+00
   1.89000000E+00 -2.70724122E-02  1.22149299E+00
   1.90000000E+00 -1.48546592E-02  1.22200756E+00
   1.91000000E+00 -2.63326123E-03  1.22222205E+00
   1.92000000E+00  9.58878267E-03  1.22213681E+00
   1.93000000E+00  2.18084771E-02  1.22175221E+00
   1.94000000E+00  3.40228302E-02  1.22106861E+00
   1.95000000E+00  4.62288538E-02  1.22008638E+00
   1.96000000E+00  5.84235636E-02  1.21880590E+00
   1.97000000E+00  7.06039790E-02  1.21722758E+00
   1.98000000E+00  8.27671237E-02  1.21535181E+00
   1.99000000E+00  9.49100251E-02  1.21317902E+00
   2.00000000E+00  1.07029715E-01  1.21070966E+00
   2.01000000E+00  1.19123231E-01  1.20794418E+00
   2.02000000E+00  1.31187614E-01  1.20488307E+00
   2.03000000E+00  1.43219909E-01  1.20152683E+00
   2.04000000E+00  1.55217168E-01  1.19787600E+00
   2.05000000E+00  1.67176449E-01  1.19393113E+00
   2.06000000E+00  1.79094813E-01  1.18969281E+00
   2.07000000E+00  1.90969329E-01  1.18516166E+00
   2.08000000E+00  2.02797072E-01  1.18033830E+00
   2.09000000E+00  2.14575187E-01  1.17524285E+00
   2.10000000E+00  2.26301098E-01  1.16989808E+00
   2.11000000E+00  2.37972333E-01  1.16430859E+00
   2.12000000E+00  2.49586469E-01  1.15847894E+00
   2.13000000E+00  2.61141127E-01  1.15241363E+00
   2.14000000E+00  2.72633971E-01  1.14611709E+00
   2.15000000E+00  2.84062713E-01  1.13959373E+00
   2.16000000E+00  2.95425104E-01  1.13284787E+00
   2.17000000E+00  3.06718943E-01  1.12588379E+00
   2.18000000E+00  3.17942067E-01  1.11870571E+00
   2.19000000E+00  3.29092357E-01  1.11131779E+00
   2.20000000E+00  3.40167737E-01  1.10372417E+00
   2.21000000E+00  3.51166168E-01  1.09592889E+00
   2.22000000E+00  3.62085656E-01  1.08793597E+00
   2.23000000E+00  3.72924242E-01  1.07974938E+00
   2.24000000E+00  3.83680011E-01  1.07137302E+00
   2.25000000E+00  3.94351083E-01  1.06281076E+00
   2.26000000E+00  4.04935619E-01  1.05406641E+00
   2.27000000E+00  4.15431817E-01  1.04514374E+00
   2.28000000E+00  4.25837912E-01  1.03604647E+00
   2.29000000E+00  4.36152177E-01  1.02677827E+00
   2.30000000E+00  4.46372920E-01  1.01734277E+00
   2.31000000E+00  4.56498486E-01  1.00774356E+00
   2.32000000E+00  4.66527257E-01  9.97984174E-01
   2.33000000E+00  4.76457648E-01  9.88068111E-01
   2.34000000E+00  4.86288109E-01  9.77998829E-01
   2.35000000E+00  4.96017125E-01  9.67779743E-01
   2.36000000E+00  5.05643215E-01  9.57414226E-01
   2.37000000E+00  5.15164932E-01  9.46905614E-01
   2.38000000E+00  5.24580862E-01  9.36257203E-01
   2.39000000E+00  5.33889621E-01  9.25472251E-01
   2.40000000E+00  5.43089862E-01  9.14553980E-01
   2.41000000E+00  5.52180267E-01  9.03505572E-01
   2.42000000E+00  5.61159550E-01  8.92330178E-01
   2.43000000E+00  5.70026458E-01  8.81030910E-01
   2.44000000E+00  5.78779766E-01  8.69610847E-01
   2.45000000E+00  5.87418282E-01  8.58073036E-01
   2.46000000E+00  5.95940844E-01  8.46420488E-01
   2.47000000E+00  6.04346320E-01  8.34656184E-01
   2.48000000E+00  6.12633605E-01  8.22783072E-01
   2.49000000E+00  6.20801628E-01  8.10804070E-01
   2.50000000E+00  6.28849343E-01  7.98722066E-01
   2.51000000E+00  6.36775736E-01  7.86539918E-01
   2.52000000E+00  6.44579817E-01  7.74260456E-01
   2.53000000E+00  6.52260630E-01  7.61886481E-01
   2.54000000E+00  6.59817241E-01  7.49420764E-01
   2.55000000E+00  6.67248748E-01  7.36866054E-01
   2.56000000E+00  6.74554275E-01  7.24225067E-01
   2.57000000E+00  6.81732971E-01  7.11500500E-01
   2.58000000E+00  6.88784015E-01  6.98695018E-01
   2.59000000E+00  6.95706610E-01  6.85811266E-01
   2.60000000E+00  7.02499988E-01  6.72851862E-01
   2.61000000E+00  7.09163404E-01  6.59819402E-01
   2.62000000E+00  7.15696141E-01  6.46716457E-01
   2.63000000E+00  7.22097507E-01  6.33545576E-01
   2.64000000E+00  7.28366835E-01  6.20309285E-01
   2.65000000E+00  7.34503483E-01  6.07010090E-01
   2.66000000E+00  7.40506835E-01  5.93650473E-01
   2.67000000E+00  7.46376299E-01  5.80232896E-01
   2.68000000E+00  7.52111308E-01  5.66759801E-01
   2.69000000E+00  7.57711318E-01  5.53233607E-01
   2.70000000E+00  7.63175811E-01  5.39656719E-01
   2.71000000E+00  7.68504292E-01  5.26031517E-01
   2.72000000E+00  7.73696288E-01  5.12360364E-01
   2.73000000E+00  7.78751353E-01  4.98645604E-01
   2.74000000E+00  7.83669063E-01  4.84889565E-01
   2.75000000E+00  7.88449015E-01  4.71094552E-01
   2.76000000E+00  7.93090832E-01  4.57262858E-01
   2.77000000E+00  7.97594157E-01  4.43396755E-01
   2.78000000E+00  8.01958659E-01  4.29498496E-01
   2.79000000E+00  8.06184028E-01  4.15570323E-01
   2.80000000E+00  8.10269974E-01  4.01614456E-01
   2.81000000E+00  8.14216232E-01  3.87633103E-01
   2.82000000E+00  8.18022558E-01  3.73628454E-01
   2.83000000E+00  8.21688730E-01  3.59602682E-01
   2.84000000E+00  8.25214548E-01  3.45557944E-01
   2.85000000E+00  8.28599833E-01  3.31496387E-01
