 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 1.359724E+00, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.493281289542006E+00
 #      Coulomb phase shift= 2.742930388807551E-01  (ETA=-6.064170E-01)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.76926186E-02  7.30030952E+00
   2.00000000E-02  1.46255622E-01  6.42430104E+00
   3.00000000E-02  2.06409844E-01  5.61766282E+00
   4.00000000E-02  2.58822729E-01  4.87518998E+00
   5.00000000E-02  3.04111132E-01  4.19197409E+00
   6.00000000E-02  3.42844386E-01  3.56342140E+00
   7.00000000E-02  3.75547490E-01  2.98525829E+00
   8.00000000E-02  4.02704294E-01  2.45352814E+00
   9.00000000E-02  4.24760632E-01  1.96458153E+00
   1.00000000E-01  4.42127319E-01  1.51506221E+00
   1.10000000E-01  4.55183007E-01  1.10189067E+00
   1.20000000E-01  4.64276862E-01  7.22246175E-01
   1.30000000E-01  4.69731061E-01  3.73548264E-01
   1.40000000E-01  4.71843097E-01  5.34381175E-02
   1.50000000E-01  4.70887911E-01 -2.40239424E-01
   1.60000000E-01  4.67119836E-01 -5.09453106E-01
   1.70000000E-01  4.60774382E-01 -7.56001769E-01
   1.80000000E-01  4.52069855E-01 -9.81529501E-01
   1.90000000E-01  4.41208835E-01 -1.18753993E+00
   2.00000000E-01  4.28379513E-01 -1.37540937E+00
   2.10000000E-01  4.13756903E-01 -1.54639871E+00
   2.20000000E-01  3.97503941E-01 -1.70166449E+00
   2.30000000E-01  3.79772476E-01 -1.84226886E+00
   2.40000000E-01  3.60704170E-01 -1.96918861E+00
   2.50000000E-01  3.40431312E-01 -2.08332334E+00
   2.60000000E-01  3.19077547E-01 -2.18550288E+00
   2.70000000E-01  2.96758543E-01 -2.27649388E+00
   2.80000000E-01  2.73582594E-01 -2.35700583E+00
   2.90000000E-01  2.49651160E-01 -2.42769640E+00
   3.00000000E-01  2.25059363E-01 -2.48917629E+00
   3.10000000E-01  1.99896438E-01 -2.54201352E+00
   3.20000000E-01  1.74246134E-01 -2.58673733E+00
   3.30000000E-01  1.48187087E-01 -2.62384159E+00
   3.40000000E-01  1.21793158E-01 -2.65378796E+00
   3.50000000E-01  9.51337433E-02 -2.67700868E+00
   3.60000000E-01  6.82740500E-02 -2.69390901E+00
   3.70000000E-01  4.12753600E-02 -2.70486950E+00
   3.80000000E-01  1.41952643E-02 -2.71024800E+00
   3.90000000E-01 -1.29121187E-02 -2.71038145E+00
   4.00000000E-01 -3.99959420E-02 -2.70558749E+00
   4.10000000E-01 -6.70084450E-02 -2.69616594E+00
   4.20000000E-01 -9.39047815E-02 -2.68240007E+00
   4.30000000E-01 -1.20642860E-01 -2.66455784E+00
   4.40000000E-01 -1.47183197E-01 -2.64289290E+00
   4.50000000E-01 -1.73488778E-01 -2.61764562E+00
   4.60000000E-01 -1.99524930E-01 -2.58904392E+00
   4.70000000E-01 -2.25259198E-01 -2.55730409E+00
   4.80000000E-01 -2.50661237E-01 -2.52263151E+00
