 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 4.409917E-01, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.243820193570510E+00
 #      Coulomb phase shift=-5.229349527009827E-01  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.15320630E-04  1.40944688E-01
   2.00000000E-02  2.77826800E-03  2.69698970E-01
   3.00000000E-02  6.07201257E-03  3.87264344E-01
   4.00000000E-02  1.04893392E-02  4.94562422E-01
   5.00000000E-02  1.59318581E-02  5.92437163E-01
   6.00000000E-02  2.23092455E-02  6.81658504E-01
   7.00000000E-02  2.95385254E-02  7.62926841E-01
   8.00000000E-02  3.75433984E-02  8.36878009E-01
   9.00000000E-02  4.62536224E-02  9.04088420E-01
   1.00000000E-01  5.56044435E-02  9.65080185E-01
   1.10000000E-01  6.55360782E-02  1.02032609E+00
   1.20000000E-01  7.59932443E-02  1.07025436E+00
   1.30000000E-01  8.69247374E-02  1.11525304E+00
   1.40000000E-01  9.82830502E-02  1.15567416E+00
   1.50000000E-01  1.10024031E-01  1.19183747E+00
   1.60000000E-01  1.22106580E-01  1.22403389E+00
   1.70000000E-01  1.34492372E-01  1.25252859E+00
   1.80000000E-01  1.47145622E-01  1.27756381E+00
   1.90000000E-01  1.60032858E-01  1.29936137E+00
   2.00000000E-01  1.73122738E-01  1.31812486E+00
   2.10000000E-01  1.86385868E-01  1.33404170E+00
   2.20000000E-01  1.99794661E-01  1.34728481E+00
   2.30000000E-01  2.13323187E-01  1.35801425E+00
   2.40000000E-01  2.26947063E-01  1.36637854E+00
   2.50000000E-01  2.40643336E-01  1.37251591E+00
   2.60000000E-01  2.54390389E-01  1.37655533E+00
   2.70000000E-01  2.68167852E-01  1.37861748E+00
   2.80000000E-01  2.81956526E-01  1.37881553E+00
   2.90000000E-01  2.95738305E-01  1.37725592E+00
   3.00000000E-01  3.09496120E-01  1.37403893E+00
   3.10000000E-01  3.23213875E-01  1.36925925E+00
   3.20000000E-01  3.36876395E-01  1.36300645E+00
   3.30000000E-01  3.50469377E-01  1.35536547E+00
   3.40000000E-01  3.63979346E-01  1.34641690E+00
   3.50000000E-01  3.77393612E-01  1.33623735E+00
   3.60000000E-01  3.90700234E-01  1.32489976E+00
   3.70000000E-01  4.03887979E-01  1.31247360E+00
   3.80000000E-01  4.16946298E-01  1.29902512E+00
   3.90000000E-01  4.29865285E-01  1.28461754E+00
   4.00000000E-01  4.42635654E-01  1.26931125E+00
   4.10000000E-01  4.55248707E-01  1.25316392E+00
   4.20000000E-01  4.67696313E-01  1.23623068E+00
   4.30000000E-01  4.79970877E-01  1.21856421E+00
   4.40000000E-01  4.92065321E-01  1.20021490E+00
   4.50000000E-01  5.03973059E-01  1.18123089E+00
   4.60000000E-01  5.15687977E-01  1.16165823E+00
   4.70000000E-01  5.27204409E-01  1.14154096E+00
   4.80000000E-01  5.38517121E-01  1.12092112E+00
   4.90000000E-01  5.49621290E-01  1.09983891E+00
   5.00000000E-01  5.60512486E-01  1.07833270E+00
   5.10000000E-01  5.71186653E-01  1.05643915E+00
   5.20000000E-01  5.81640095E-01  1.03419322E+00
   5.30000000E-01  5.91869454E-01  1.01162825E+00
   5.40000000E-01  6.01871702E-01  9.88776037E-01
   5.50000000E-01  6.11644119E-01  9.65666893E-01
   5.60000000E-01  6.21184280E-01  9.42329652E-01
   5.70000000E-01  6.30490043E-01  9.18791751E-01
   5.80000000E-01  6.39559533E-01  8.95079274E-01
   5.90000000E-01  6.48391129E-01  8.71217006E-01
   6.00000000E-01  6.56983453E-01  8.47228494E-01
   6.10000000E-01  6.65335353E-01  8.23136064E-01
   6.20000000E-01  6.73445898E-01  7.98960857E-01
   6.30000000E-01  6.81314361E-01  7.74722910E-01
   6.40000000E-01  6.88940210E-01  7.50441176E-01
   6.50000000E-01  6.96323098E-01  7.26133559E-01
   6.60000000E-01  7.03462852E-01  7.01816984E-01
   6.70000000E-01  7.10359462E-01  6.77507392E-01
   6.80000000E-01  7.17013073E-01  6.53219804E-01
   6.90000000E-01  7.23423978E-01  6.28968361E-01
   7.00000000E-01  7.29592605E-01  6.04766342E-01
   7.10000000E-01  7.35519511E-01  5.80626225E-01
   7.20000000E-01  7.41205375E-01  5.56559698E-01
   7.30000000E-01  7.46650987E-01  5.32577701E-01
   7.40000000E-01  7.51857245E-01  5.08690464E-01
   7.50000000E-01  7.56825144E-01  4.84907515E-01
   7.60000000E-01  7.61555773E-01  4.61237743E-01
   7.70000000E-01  7.66050304E-01  4.37689416E-01
   7.80000000E-01  7.70309991E-01  4.14270201E-01
   7.90000000E-01  7.74336162E-01  3.90987194E-01
   8.00000000E-01  7.78130211E-01  3.67846965E-01
   8.10000000E-01  7.81693597E-01  3.44855554E-01
   8.20000000E-01  7.85027837E-01  3.22018517E-01
   8.30000000E-01  7.88134499E-01  2.99340951E-01
   8.40000000E-01  7.91015203E-01  2.76827498E-01
   8.50000000E-01  7.93671611E-01  2.54482396E-01
   8.60000000E-01  7.96105425E-01  2.32309470E-01
   8.70000000E-01  7.98318386E-01  2.10312196E-01
   8.80000000E-01  8.00312265E-01  1.88493680E-01
   8.90000000E-01  8.02088864E-01  1.66856705E-01
   9.00000000E-01  8.03650012E-01  1.45403730E-01
   9.10000000E-01  8.04997559E-01  1.24136908E-01
   9.20000000E-01  8.06133377E-01  1.03058143E-01
   9.30000000E-01  8.07059355E-01  8.21690507E-02
   9.40000000E-01  8.07777395E-01  6.14710096E-02
   9.50000000E-01  8.08289415E-01  4.09651669E-02
   9.60000000E-01  8.08597342E-01  2.06524538E-02
   9.70000000E-01  8.08703111E-01  5.33613866E-04
   9.80000000E-01  8.08608663E-01 -1.93908098E-02
   9.90000000E-01  8.08315944E-01 -3.91204484E-02
   1.00000000E+00  8.07826904E-01 -5.86550856E-02
   1.01000000E+00  8.07143492E-01 -7.79946573E-02
   1.02000000E+00  8.06267660E-01 -9.71392420E-02
   1.03000000E+00  8.05201357E-01 -1.16089035E-01
   1.04000000E+00  8.03946528E-01 -1.34844357E-01
   1.05000000E+00  8.02505117E-01 -1.53405609E-01
   1.06000000E+00  8.00879061E-01 -1.71773317E-01
   1.07000000E+00  7.99070294E-01 -1.89948079E-01
   1.08000000E+00  7.97080740E-01 -2.07930576E-01
   1.09000000E+00  7.94912320E-01 -2.25721552E-01
   1.10000000E+00  7.92566945E-01 -2.43321813E-01
   1.11000000E+00  7.90046517E-01 -2.60732225E-01
   1.12000000E+00  7.87352930E-01 -2.77953695E-01
   1.13000000E+00  7.84488070E-01 -2.94987172E-01
   1.14000000E+00  7.81453810E-01 -3.11833638E-01
   1.15000000E+00  7.78252017E-01 -3.28494100E-01
   1.16000000E+00  7.74884545E-01 -3.44969586E-01
   1.17000000E+00  7.71353238E-01 -3.61261144E-01
   1.18000000E+00  7.67659932E-01 -3.77369832E-01
   1.19000000E+00  7.63806448E-01 -3.93296706E-01
   1.20000000E+00  7.59794600E-01 -4.09042829E-01
   1.21000000E+00  7.55626190E-01 -4.24609262E-01
   1.22000000E+00  7.51303010E-01 -4.39997057E-01
   1.23000000E+00  7.46826841E-01 -4.55207249E-01
   1.24000000E+00  7.42199454E-01 -4.70240870E-01
   1.25000000E+00  7.37422609E-01 -4.85098922E-01
   1.26000000E+00  7.32498057E-01 -4.99782392E-01
   1.27000000E+00  7.27427540E-01 -5.14292239E-01
   1.28000000E+00  7.22212788E-01 -5.28629396E-01
   1.29000000E+00  7.16855524E-01 -5.42794766E-01
   1.30000000E+00  7.11357462E-01 -5.56789221E-01
   1.31000000E+00  7.05720307E-01 -5.70613594E-01
   1.32000000E+00  6.99945755E-01 -5.84268686E-01
   1.33000000E+00  6.94035495E-01 -5.97755260E-01
   1.34000000E+00  6.87991209E-01 -6.11074036E-01
   1.35000000E+00  6.81814571E-01 -6.24225690E-01
   1.36000000E+00  6.75507250E-01 -6.37210861E-01
   1.37000000E+00  6.69070907E-01 -6.50030139E-01
   1.38000000E+00  6.62507198E-01 -6.62684071E-01
   1.39000000E+00  6.55817775E-01 -6.75173157E-01
   1.40000000E+00  6.49004283E-01 -6.87497848E-01
   1.41000000E+00  6.42068365E-01 -6.99658548E-01
   1.42000000E+00  6.35011658E-01 -7.11655611E-01
   1.43000000E+00  6.27835797E-01 -7.23489342E-01
   1.44000000E+00  6.20542415E-01 -7.35159996E-01
   1.45000000E+00  6.13133140E-01 -7.46667777E-01
   1.46000000E+00  6.05609601E-01 -7.58012841E-01
   1.47000000E+00  5.97973425E-01 -7.69195290E-01
   1.48000000E+00  5.90226237E-01 -7.80215176E-01
   1.49000000E+00  5.82369664E-01 -7.91072502E-01
   1.50000000E+00  5.74405329E-01 -8.01767219E-01
   1.51000000E+00  5.66334862E-01 -8.12299228E-01
   1.52000000E+00  5.58159888E-01 -8.22668378E-01
   1.53000000E+00  5.49882037E-01 -8.32874468E-01
   1.54000000E+00  5.41502943E-01 -8.42917251E-01
   1.55000000E+00  5.33024238E-01 -8.52796427E-01
   1.56000000E+00  5.24447561E-01 -8.62511648E-01
   1.57000000E+00  5.15774553E-01 -8.72062520E-01
   1.58000000E+00  5.07006860E-01 -8.81448600E-01
   1.59000000E+00  4.98146132E-01 -8.90669399E-01
   1.60000000E+00  4.89194024E-01 -8.99724380E-01
   1.61000000E+00  4.80152199E-01 -9.08612963E-01
   1.62000000E+00  4.71022322E-01 -9.17334522E-01
   1.63000000E+00  4.61806067E-01 -9.25888391E-01
   1.64000000E+00  4.52505115E-01 -9.34273857E-01
   1.65000000E+00  4.43121154E-01 -9.42490166E-01
   1.66000000E+00  4.33655878E-01 -9.50536527E-01
   1.67000000E+00  4.24110993E-01 -9.58412107E-01
   1.68000000E+00  4.14488209E-01 -9.66116034E-01
   1.69000000E+00  4.04789247E-01 -9.73647399E-01
   1.70000000E+00  3.95015839E-01 -9.81005259E-01
   1.71000000E+00  3.85169724E-01 -9.88188634E-01
   1.72000000E+00  3.75252651E-01 -9.95196511E-01
   1.73000000E+00  3.65266382E-01 -1.00202784E+00
   1.74000000E+00  3.55212686E-01 -1.00868156E+00
   1.75000000E+00  3.45093346E-01 -1.01515654E+00
   1.76000000E+00  3.34910155E-01 -1.02145167E+00
   1.77000000E+00  3.24664917E-01 -1.02756577E+00
   1.78000000E+00  3.14359447E-01 -1.03349766E+00
   1.79000000E+00  3.03995575E-01 -1.03924612E+00
   1.80000000E+00  2.93575140E-01 -1.04480993E+00
   1.81000000E+00  2.83099996E-01 -1.05018783E+00
   1.82000000E+00  2.72572008E-01 -1.05537854E+00
   1.83000000E+00  2.61993054E-01 -1.06038076E+00
   1.84000000E+00  2.51365025E-01 -1.06519319E+00
   1.85000000E+00  2.40689827E-01 -1.06981449E+00
   1.86000000E+00  2.29969377E-01 -1.07424333E+00
   1.87000000E+00  2.19205606E-01 -1.07847836E+00
   1.88000000E+00  2.08400460E-01 -1.08251821E+00
   1.89000000E+00  1.97555897E-01 -1.08636151E+00
   1.90000000E+00  1.86673890E-01 -1.09000688E+00
   1.91000000E+00  1.75756424E-01 -1.09345293E+00
   1.92000000E+00  1.64805500E-01 -1.09669827E+00
   1.93000000E+00  1.53823132E-01 -1.09974151E+00
   1.94000000E+00  1.42811348E-01 -1.10258125E+00
   1.95000000E+00  1.31772190E-01 -1.10521611E+00
   1.96000000E+00  1.20707714E-01 -1.10764468E+00
   1.97000000E+00  1.09619989E-01 -1.10986559E+00
   1.98000000E+00  9.85110989E-02 -1.11187744E+00
   1.99000000E+00  8.73831415E-02 -1.11367886E+00
   2.00000000E+00  7.62382277E-02 -1.11526849E+00
   2.01000000E+00  6.50784823E-02 -1.11664496E+00
   2.02000000E+00  5.39060434E-02 -1.11780694E+00
   2.03000000E+00  4.27230628E-02 -1.11875309E+00
   2.04000000E+00  3.15317054E-02 -1.11948210E+00
   2.05000000E+00  2.03341490E-02 -1.11999266E+00
   2.06000000E+00  9.13258455E-03 -1.12028350E+00
   2.07000000E+00 -2.07078441E-03 -1.12035336E+00
   2.08000000E+00 -1.32737418E-02 -1.12020098E+00
   2.09000000E+00 -2.44740651E-02 -1.11982708E+00
   2.10000000E+00 -3.56695565E-02 -1.11923509E+00
   2.11000000E+00 -4.68580495E-02 -1.11842787E+00
   2.12000000E+00 -5.80374058E-02 -1.11740824E+00
   2.13000000E+00 -6.92055155E-02 -1.11617899E+00
   2.14000000E+00 -8.03602961E-02 -1.11474288E+00
   2.15000000E+00 -9.14996926E-02 -1.11310263E+00
   2.16000000E+00 -1.02621677E-01 -1.11126092E+00
   2.17000000E+00 -1.13724248E-01 -1.10922041E+00
   2.18000000E+00 -1.24805431E-01 -1.10698372E+00
   2.19000000E+00 -1.35863277E-01 -1.10455343E+00
   2.20000000E+00 -1.46895863E-01 -1.10193210E+00
   2.21000000E+00 -1.57901291E-01 -1.09912226E+00
   2.22000000E+00 -1.68877688E-01 -1.09612638E+00
   2.23000000E+00 -1.79823207E-01 -1.09294695E+00
   2.24000000E+00 -1.90736023E-01 -1.08958637E+00
   2.25000000E+00 -2.01614339E-01 -1.08604707E+00
   2.26000000E+00 -2.12456377E-01 -1.08233141E+00
   2.27000000E+00 -2.23260387E-01 -1.07844174E+00
   2.28000000E+00 -2.34024639E-01 -1.07438037E+00
   2.29000000E+00 -2.44747429E-01 -1.07014959E+00
   2.30000000E+00 -2.55427074E-01 -1.06575167E+00
   2.31000000E+00 -2.66061913E-01 -1.06118885E+00
   2.32000000E+00 -2.76650309E-01 -1.05646334E+00
   2.33000000E+00 -2.87190645E-01 -1.05157733E+00
   2.34000000E+00 -2.97681328E-01 -1.04653297E+00
   2.35000000E+00 -3.08120784E-01 -1.04133242E+00
   2.36000000E+00 -3.18507462E-01 -1.03597778E+00
   2.37000000E+00 -3.28839833E-01 -1.03047116E+00
   2.38000000E+00 -3.39116386E-01 -1.02481462E+00
   2.39000000E+00 -3.49335632E-01 -1.01901022E+00
   2.40000000E+00 -3.59496104E-01 -1.01305999E+00
   2.41000000E+00 -3.69596353E-01 -1.00696594E+00
   2.42000000E+00 -3.79634950E-01 -1.00073006E+00
   2.43000000E+00 -3.89610488E-01 -9.94354321E-01
   2.44000000E+00 -3.99521577E-01 -9.87840684E-01
   2.45000000E+00 -4.09366848E-01 -9.81191082E-01
   2.46000000E+00 -4.19144952E-01 -9.74407435E-01
   2.47000000E+00 -4.28854557E-01 -9.67491644E-01
   2.48000000E+00 -4.38494350E-01 -9.60445596E-01
   2.49000000E+00 -4.48063040E-01 -9.53271160E-01
   2.50000000E+00 -4.57559352E-01 -9.45970192E-01
   2.51000000E+00 -4.66982029E-01 -9.38544534E-01
   2.52000000E+00 -4.76329833E-01 -9.30996010E-01
