 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 1.359724E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.227968583692581E+00
 #      Coulomb phase shift=-2.708314671793808E-01  (ETA=-6.064170E-01)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.00294279E-03  1.97613197E-01
   2.00000000E-02  3.89515943E-03  3.78091444E-01
   3.00000000E-02  8.51222033E-03  5.42800687E-01
   4.00000000E-02  1.47028156E-02  6.92999143E-01
   5.00000000E-02  2.23276890E-02  8.29839989E-01
   6.00000000E-02  3.12586099E-02  9.54376058E-01
   7.00000000E-02  4.13773987E-02  1.06756578E+00
   8.00000000E-02  5.25750156E-02  1.17027983E+00
   9.00000000E-02  6.47507176E-02  1.26330811E+00
   1.00000000E-01  7.78112861E-02  1.34736665E+00
   1.10000000E-01  9.16703214E-02  1.42310441E+00
   1.20000000E-01  1.06247605E-01  1.49110972E+00
   1.30000000E-01  1.21468526E-01  1.55191638E+00
   1.40000000E-01  1.37263559E-01  1.60600924E+00
   1.50000000E-01  1.53567806E-01  1.65382937E+00
   1.60000000E-01  1.70320581E-01  1.69577876E+00
   1.70000000E-01  1.87465039E-01  1.73222458E+00
   1.80000000E-01  2.04947851E-01  1.76350302E+00
   1.90000000E-01  2.22718907E-01  1.78992272E+00
   2.00000000E-01  2.40731059E-01  1.81176777E+00
   2.10000000E-01  2.58939890E-01  1.82930051E+00
   2.20000000E-01  2.77303506E-01  1.84276389E+00
   2.30000000E-01  2.95782357E-01  1.85238361E+00
   2.40000000E-01  3.14339069E-01  1.85836998E+00
   2.50000000E-01  3.32938302E-01  1.86091959E+00
   2.60000000E-01  3.51546620E-01  1.86021670E+00
   2.70000000E-01  3.70132373E-01  1.85643460E+00
   2.80000000E-01  3.88665594E-01  1.84973663E+00
   2.90000000E-01  4.07117902E-01  1.84027720E+00
   3.00000000E-01  4.25462421E-01  1.82820260E+00
   3.10000000E-01  4.43673700E-01  1.81365174E+00
   3.20000000E-01  4.61727643E-01  1.79675680E+00
   3.30000000E-01  4.79601444E-01  1.77764381E+00
   3.40000000E-01  4.97273528E-01  1.75643311E+00
