 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 4.409917E-01, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 1.843593485296768E-02
 #      Coulomb phase shift=-1.613425373742660E+00  (ETA=-1.064833E+00)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.51180574E-13  3.74706599E-10
   2.00000000E-02  2.37594483E-11  5.91246934E-09
   3.00000000E-02  1.78375848E-10  2.95277899E-08
   4.00000000E-02  7.43315020E-10  9.20915317E-08
   5.00000000E-02  2.24369478E-09  2.21935531E-07
   6.00000000E-02  5.52339237E-09  4.54410123E-07
   7.00000000E-02  1.18132111E-08  8.31487566E-07
   8.00000000E-02  2.27952832E-08  1.40140479E-06
   9.00000000E-02  4.06640718E-08  2.21833956E-06
   1.00000000E-01  6.81842793E-08  3.34211481E-06
   1.10000000E-01  1.08745921E-07  4.83792669E-06
   1.20000000E-01  1.66416784E-07  6.77609257E-06
   1.30000000E-01  2.45992446E-07  9.23181582E-06
   1.40000000E-01  3.53044024E-07  1.22849648E-05
   1.50000000E-01  4.93963768E-07  1.60198639E-05
   1.60000000E-01  6.76008624E-07  2.05250955E-05
   1.70000000E-01  9.07341857E-07  2.58933106E-05
   1.80000000E-01  1.19707283E-06  3.22210484E-05
   1.90000000E-01  1.55529502E-06  3.96085629E-05
   2.00000000E-01  1.99312231E-06  4.81596562E-05
   2.10000000E-01  2.52272369E-06  5.79815199E-05
   2.20000000E-01  3.15735636E-06  6.91845809E-05
   2.30000000E-01  3.91139735E-06  8.18823546E-05
   2.40000000E-01  4.80037372E-06  9.61913034E-05
   2.50000000E-01  5.84099129E-06  1.12230702E-04
   2.60000000E-01  7.05116216E-06  1.30122507E-04
   2.70000000E-01  8.45003089E-06  1.49991233E-04
   2.80000000E-01  1.00579995E-05  1.71963835E-04
   2.90000000E-01  1.18967512E-05  1.96169598E-04
   3.00000000E-01  1.39892734E-05  2.22740025E-04
   3.10000000E-01  1.63598791E-05  2.51808738E-04
   3.20000000E-01  1.90342277E-05  2.83511382E-04
   3.30000000E-01  2.20393449E-05  3.17985531E-04
   3.40000000E-01  2.54036413E-05  3.55370608E-04
   3.50000000E-01  2.91569306E-05  3.95807795E-04
   3.60000000E-01  3.33304469E-05  4.39439961E-04
   3.70000000E-01  3.79568612E-05  4.86411589E-04
   3.80000000E-01  4.30702968E-05  5.36868710E-04
   3.90000000E-01  4.87063452E-05  5.90958831E-04
   4.00000000E-01  5.49020798E-05  6.48830885E-04
   4.10000000E-01  6.16960702E-05  7.10635167E-04
   4.20000000E-01  6.91283957E-05  7.76523282E-04
   4.30000000E-01  7.72406580E-05  8.46648098E-04
   4.40000000E-01  8.60759935E-05  9.21163693E-04
   4.50000000E-01  9.56790852E-05  1.00022531E-03
   4.60000000E-01  1.06096174E-04  1.08398934E-03
   4.70000000E-01  1.17375071E-04  1.17261322E-03
   4.80000000E-01  1.29565167E-04  1.26625548E-03
   4.90000000E-01  1.42717441E-04  1.36507563E-03
   5.00000000E-01  1.56884474E-04  1.46923417E-03
   5.10000000E-01  1.72120457E-04  1.57889254E-03
   5.20000000E-01  1.88481198E-04  1.69421309E-03
   5.30000000E-01  2.06024136E-04  1.81535905E-03
   5.40000000E-01  2.24808344E-04  1.94249451E-03
   5.50000000E-01  2.44894541E-04  2.07578437E-03
   5.60000000E-01  2.66345099E-04  2.21539432E-03
   5.70000000E-01  2.89224049E-04  2.36149081E-03
   5.80000000E-01  3.13597094E-04  2.51424102E-03
   5.90000000E-01  3.39531608E-04  2.67381284E-03
   6.00000000E-01  3.67096651E-04  2.84037483E-03
   6.10000000E-01  3.96362969E-04  3.01409620E-03
   6.20000000E-01  4.27403005E-04  3.19514675E-03
   6.30000000E-01  4.60290903E-04  3.38369688E-03
   6.40000000E-01  4.95102512E-04  3.57991755E-03
   6.50000000E-01  5.31915394E-04  3.78398022E-03
   6.60000000E-01  5.70808829E-04  3.99605684E-03
   6.70000000E-01  6.11863818E-04  4.21631981E-03
   6.80000000E-01  6.55163089E-04  4.44494196E-03
   6.90000000E-01  7.00791099E-04  4.68209648E-03
   7.00000000E-01  7.48834038E-04  4.92795689E-03
   7.10000000E-01  7.99379836E-04  5.18269707E-03
   7.20000000E-01  8.52518159E-04  5.44649109E-03
   7.30000000E-01  9.08340418E-04  5.71951329E-03
   7.40000000E-01  9.66939767E-04  6.00193818E-03
   7.50000000E-01  1.02841111E-03  6.29394036E-03
   7.60000000E-01  1.09285108E-03  6.59569457E-03
   7.70000000E-01  1.16035809E-03  6.90737556E-03
   7.80000000E-01  1.23103226E-03  7.22915807E-03
   7.90000000E-01  1.30497550E-03  7.56121678E-03
   8.00000000E-01  1.38229144E-03  7.90372626E-03
   8.10000000E-01  1.46308544E-03  8.25686089E-03
   8.20000000E-01  1.54746465E-03  8.62079482E-03
   8.30000000E-01  1.63553792E-03  8.99570193E-03
   8.40000000E-01  1.72741585E-03  9.38175573E-03
   8.50000000E-01  1.82321077E-03  9.77912931E-03
   8.60000000E-01  1.92303674E-03  1.01879953E-02
   8.70000000E-01  2.02700955E-03  1.06085257E-02
   8.80000000E-01  2.13524671E-03  1.10408921E-02
   8.90000000E-01  2.24786742E-03  1.14852652E-02
   9.00000000E-01  2.36499260E-03  1.19418151E-02
   9.10000000E-01  2.48674487E-03  1.24107109E-02
   9.20000000E-01  2.61324853E-03  1.28921209E-02
   9.30000000E-01  2.74462956E-03  1.33862125E-02
   9.40000000E-01  2.88101561E-03  1.38931518E-02
   9.50000000E-01  3.02253597E-03  1.44131039E-02
   9.60000000E-01  3.16932161E-03  1.49462326E-02
   9.70000000E-01  3.32150509E-03  1.54927005E-02
   9.80000000E-01  3.47922062E-03  1.60526688E-02
   9.90000000E-01  3.64260400E-03  1.66262969E-02
   1.00000000E+00  3.81179262E-03  1.72137429E-02
   1.01000000E+00  3.98692544E-03  1.78151631E-02
   1.02000000E+00  4.16814298E-03  1.84307121E-02
   1.03000000E+00  4.35558729E-03  1.90605425E-02
   1.04000000E+00  4.54940193E-03  1.97048050E-02
   1.05000000E+00  4.74973199E-03  2.03636482E-02
   1.06000000E+00  4.95672399E-03  2.10372185E-02
   1.07000000E+00  5.17052593E-03  2.17256601E-02
   1.08000000E+00  5.39128723E-03  2.24291145E-02
   1.09000000E+00  5.61915873E-03  2.31477210E-02
   1.10000000E+00  5.85429262E-03  2.38816163E-02
   1.11000000E+00  6.09684246E-03  2.46309342E-02
   1.12000000E+00  6.34696315E-03  2.53958056E-02
   1.13000000E+00  6.60481085E-03  2.61763586E-02
   1.14000000E+00  6.87054301E-03  2.69727183E-02
   1.15000000E+00  7.14431831E-03  2.77850062E-02
   1.16000000E+00  7.42629662E-03  2.86133410E-02
   1.17000000E+00  7.71663900E-03  2.94578377E-02
