 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 2.719449E+00, L=   4  (EPS= 1.0E-15)
 #        Inner phase shift= 2.146405967641507E-01
 #      Coulomb phase shift=-6.464649128064384E-01  (ETA=-4.288015E-01)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  2.74252031E-11  1.36802247E-08
   2.00000000E-02  8.67390752E-10  2.15840441E-07
   3.00000000E-02  6.51132375E-09  1.07778314E-06
   4.00000000E-02  2.71295603E-08  3.36070983E-06
   5.00000000E-02  8.18751259E-08  8.09698330E-06
   6.00000000E-02  2.01508858E-07  1.65730933E-05
   7.00000000E-02  4.30861698E-07  3.03140851E-05
   8.00000000E-02  8.31147632E-07  5.10692257E-05
   9.00000000E-02  1.48213863E-06  8.07987042E-05
   1.00000000E-01  2.48421099E-06  1.21661187E-04
   1.10000000E-01  3.96027090E-06  1.76002079E-04
   1.20000000E-01  6.05756552E-06  2.46342352E-04
   1.30000000E-01  8.94938487E-06  3.35367856E-04
   1.40000000E-01  1.28366587E-05  4.45919002E-04
   1.50000000E-01  1.79494520E-05  5.80980776E-04
   1.60000000E-01  2.45483619E-05  7.43673015E-04
   1.70000000E-01  3.29258183E-05  9.37240909E-04
   1.80000000E-01  4.34072912E-05  1.16504572E-03
   1.90000000E-01  5.63524056E-05  1.43055566E-03
   2.00000000E-01  7.21559658E-05  1.73733697E-03
   2.10000000E-01  9.12488923E-05  2.08904514E-03
   2.20000000E-01  1.14099071E-04  2.48941629E-03
   2.30000000E-01  1.41212115E-04  2.94225871E-03
   2.40000000E-01  1.73132050E-04  3.45144460E-03
   2.50000000E-01  2.10441907E-04  4.02090190E-03
   2.60000000E-01  2.53764241E-04  4.65460633E-03
   2.70000000E-01  3.03761573E-04  5.35657365E-03
   2.80000000E-01  3.61136748E-04  6.13085198E-03
   2.90000000E-01  4.26633224E-04  6.98151437E-03
   3.00000000E-01  5.01035283E-04  7.91265158E-03
   3.10000000E-01  5.85168175E-04  8.92836490E-03
   3.20000000E-01  6.79898185E-04  1.00327593E-02
   3.30000000E-01  7.86132639E-04  1.12299367E-02
   3.40000000E-01  9.04819839E-04  1.25239894E-02
   3.50000000E-01  1.03694894E-03  1.39189938E-02
   3.60000000E-01  1.18354974E-03  1.54190040E-02
   3.70000000E-01  1.34569246E-03  1.70280458E-02
   3.80000000E-01  1.52448740E-03  1.87501112E-02
   3.90000000E-01  1.72108460E-03  2.05891521E-02
   4.00000000E-01  1.93667339E-03  2.25490752E-02
