 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_1T2z.dat  
 #      Free state: E= 1.359724E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 4.257079206108649E-02
 #      Coulomb phase shift=-1.035833080447102E+00  (ETA=-6.064170E-01)
 #      Matching radius: RAD(  932)= 9.310000000000000E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  8.89092667E-15  5.32583295E-12
   2.00000000E-02  5.63516775E-13  1.68512721E-10
   3.00000000E-02  6.35792072E-12  1.26558288E-09
   4.00000000E-02  3.53905728E-11  5.27581990E-09
   5.00000000E-02  1.33771976E-10  1.59311362E-08
   6.00000000E-02  3.95863271E-10  3.92335107E-08
   7.00000000E-02  9.89443741E-10  8.39438428E-08
   8.00000000E-02  2.18563581E-09  1.62045016E-07
   9.00000000E-02  4.39334146E-09  2.89181470E-07
   1.00000000E-01  8.19796488E-09  4.85077143E-07
   1.10000000E-01  1.44042127E-08  7.73933287E-07
   1.20000000E-01  2.40827772E-08  1.18480737E-06
   1.30000000E-01  3.86207174E-08  1.75197405E-06
   1.40000000E-01  5.97753642E-08  2.51526890E-06
   1.50000000E-01  8.97315798E-08  3.52041578E-06
   1.60000000E-01  1.31162209E-07  4.81933805E-06
   1.70000000E-01  1.87291568E-07  6.47045443E-06
   1.80000000E-01  2.61961811E-07  8.53895970E-06
   1.90000000E-01  3.59702037E-07  1.10970908E-05
   2.00000000E-01  4.85799978E-07  1.42243784E-05
   2.10000000E-01  6.46376139E-07  1.80078849E-05
   2.20000000E-01  8.48460249E-07  2.25424288E-05
   2.30000000E-01  1.10006988E-06  2.79307951E-05
   2.40000000E-01  1.41029113E-06  3.42839345E-05
   2.50000000E-01  1.78936120E-06  4.17211481E-05
   2.60000000E-01  2.24875280E-06  5.03702622E-05
   2.70000000E-01  2.80126018E-06  6.03677893E-05
   2.80000000E-01  3.46108680E-06  7.18590799E-05
   2.90000000E-01  4.24393440E-06  8.49984616E-05
   3.00000000E-01  5.16709342E-06  9.99493690E-05
   3.10000000E-01  6.24953469E-06  1.16884462E-04
   3.20000000E-01  7.51200223E-06  1.35985737E-04
   3.30000000E-01  8.97710708E-06  1.57444624E-04
   3.40000000E-01  1.06694222E-05  1.81462081E-04
   3.50000000E-01  1.26155781E-05  2.08248673E-04
   3.60000000E-01  1.48443592E-05  2.38024646E-04
   3.70000000E-01  1.73868012E-05  2.71019996E-04
   3.80000000E-01  2.02762886E-05  3.07474521E-04
   3.90000000E-01  2.35486532E-05  3.47637874E-04
   4.00000000E-01  2.72422729E-05  3.91769604E-04
   4.10000000E-01  3.13981704E-05  4.40139192E-04
   4.20000000E-01  3.60601133E-05  4.93026077E-04
   4.30000000E-01  4.12747132E-05  5.50719681E-04
   4.40000000E-01  4.70915262E-05  6.13519416E-04
   4.50000000E-01  5.35631523E-05  6.81734697E-04
   4.60000000E-01  6.07453356E-05  7.55684942E-04
   4.70000000E-01  6.86970646E-05  8.35699567E-04
   4.80000000E-01  7.74806717E-05  9.22117970E-04
   4.90000000E-01  8.71619334E-05  1.01528951E-03
