 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_2A1.dat   
 #      Free state: E= 4.409917E-01, L=   0  (EPS= 1.0E-15)
 #        Inner phase shift= 2.718705536604322E+00
 #      Coulomb phase shift=-5.989334651180464E+00  (ETA=-1.064839E+00)
 #      Matching radius: RAD(  829)= 8.279999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  6.01829674E-02  5.65534791E+00
   2.00000000E-02  1.13302932E-01  4.97807504E+00
   3.00000000E-02  1.59925893E-01  4.35523698E+00
   4.00000000E-02  2.00575273E-01  3.78268737E+00
   5.00000000E-02  2.35734226E-01  3.25652196E+00
   6.00000000E-02  2.65848133E-01  2.77309145E+00
   7.00000000E-02  2.91327171E-01  2.32900404E+00
   8.00000000E-02  3.12548870E-01  1.92112157E+00
   9.00000000E-02  3.29860616E-01  1.54655108E+00
   1.00000000E-01  3.43582042E-01  1.20263304E+00
   1.10000000E-01  3.54007297E-01  8.86927996E-01
   1.20000000E-01  3.61407177E-01  5.97201841E-01
   1.30000000E-01  3.66031099E-01  3.31411039E-01
   1.40000000E-01  3.68108939E-01  8.76878508E-02
   1.50000000E-01  3.67852711E-01 -1.35673999E-01
   1.60000000E-01  3.65458119E-01 -3.40233092E-01
   1.70000000E-01  3.61105966E-01 -5.27413190E-01
   1.80000000E-01  3.54963436E-01 -6.98515360E-01
   1.90000000E-01  3.47185275E-01 -8.54729165E-01
   2.00000000E-01  3.37914843E-01 -9.97142989E-01
   2.10000000E-01  3.27285084E-01 -1.12675355E+00
   2.20000000E-01  3.15419396E-01 -1.24447445E+00
   2.30000000E-01  3.02432424E-01 -1.35114410E+00
   2.40000000E-01  2.88430777E-01 -1.44753283E+00
   2.50000000E-01  2.73513669E-01 -1.53434931E+00
   2.60000000E-01  2.57773516E-01 -1.61224641E+00
   2.70000000E-01  2.41296460E-01 -1.68182641E+00
   2.80000000E-01  2.24162852E-01 -1.74364573E+00
   2.90000000E-01  2.06447694E-01 -1.79821917E+00
   3.00000000E-01  1.88221028E-01 -1.84602376E+00
   3.10000000E-01  1.69548302E-01 -1.88750213E+00
   3.20000000E-01  1.50490698E-01 -1.92306565E+00
   3.30000000E-01  1.31105427E-01 -1.95309714E+00
   3.40000000E-01  1.11446004E-01 -1.97795337E+00
   3.50000000E-01  9.15624979E-02 -1.99796729E+00
   3.60000000E-01  7.15017596E-02 -2.01345003E+00
   3.70000000E-01  5.13076290E-02 -2.02469267E+00
   3.80000000E-01  3.10211290E-02 -2.03196791E+00
   3.90000000E-01  1.06806414E-02 -2.03553147E+00
   4.00000000E-01 -9.67793014E-03 -2.03562346E+00
   4.10000000E-01 -3.00210094E-02 -2.03246949E+00
   4.20000000E-01 -5.03172090E-02 -2.02628182E+00
   4.30000000E-01 -7.05372008E-02 -2.01726027E+00
   4.40000000E-01 -9.06535969E-02 -2.00559312E+00
   4.50000000E-01 -1.10640838E-01 -1.99145791E+00
   4.60000000E-01 -1.30475088E-01 -1.97502215E+00
   4.70000000E-01 -1.50134140E-01 -1.95644397E+00
   4.80000000E-01 -1.69597325E-01 -1.93587277E+00
   4.90000000E-01 -1.88845424E-01 -1.91344972E+00
   5.00000000E-01 -2.07860592E-01 -1.88930828E+00
   5.10000000E-01 -2.26626283E-01 -1.86357467E+00
   5.20000000E-01 -2.45127177E-01 -1.83636828E+00
   5.30000000E-01 -2.63349116E-01 -1.80780210E+00
   5.40000000E-01 -2.81279043E-01 -1.77798305E+00
   5.50000000E-01 -2.98904939E-01 -1.74701231E+00
   5.60000000E-01 -3.16215770E-01 -1.71498566E+00
   5.70000000E-01 -3.33201435E-01 -1.68199377E+00
   5.80000000E-01 -3.49852715E-01 -1.64812245E+00
   5.90000000E-01 -3.66161224E-01 -1.61345291E+00
   6.00000000E-01 -3.82119369E-01 -1.57806202E+00
   6.10000000E-01 -3.97720303E-01 -1.54202250E+00
   6.20000000E-01 -4.12957886E-01 -1.50540314E+00
   6.30000000E-01 -4.27826650E-01 -1.46826902E+00
   6.40000000E-01 -4.42321756E-01 -1.43068165E+00
   6.50000000E-01 -4.56438967E-01 -1.39269921E+00
   6.60000000E-01 -4.70174607E-01 -1.35437662E+00
   6.70000000E-01 -4.83525539E-01 -1.31576580E+00
   6.80000000E-01 -4.96489126E-01 -1.27691575E+00
   6.90000000E-01 -5.09063211E-01 -1.23787271E+00
   7.00000000E-01 -5.21246083E-01 -1.19868031E+00
   7.10000000E-01 -5.33036456E-01 -1.15937966E+00
   7.20000000E-01 -5.44433444E-01 -1.12000951E+00
   7.30000000E-01 -5.55436537E-01 -1.08060633E+00
   7.40000000E-01 -5.66045576E-01 -1.04120446E+00
   7.50000000E-01 -5.76260738E-01 -1.00183617E+00
   7.60000000E-01 -5.86082512E-01 -9.62531772E-01
   7.70000000E-01 -5.95511682E-01 -9.23319757E-01
   7.80000000E-01 -6.04549305E-01 -8.84226834E-01
   7.90000000E-01 -6.13196699E-01 -8.45278016E-01
   8.00000000E-01 -6.21455424E-01 -8.06496747E-01
   8.10000000E-01 -6.29327265E-01 -7.67904946E-01
   8.20000000E-01 -6.36814222E-01 -7.29523086E-01
   8.30000000E-01 -6.43918491E-01 -6.91370274E-01
   8.40000000E-01 -6.50642451E-01 -6.53464316E-01
   8.50000000E-01 -6.56988655E-01 -6.15821791E-01
   8.60000000E-01 -6.62959816E-01 -5.78458091E-01
   8.70000000E-01 -6.68558794E-01 -5.41387500E-01
   8.80000000E-01 -6.73788588E-01 -5.04623264E-01
   8.90000000E-01 -6.78652322E-01 -4.68177617E-01
   9.00000000E-01 -6.83153240E-01 -4.32061841E-01
   9.10000000E-01 -6.87294693E-01 -3.96286331E-01
   9.20000000E-01 -6.91080132E-01 -3.60860625E-01
   9.30000000E-01 -6.94513101E-01 -3.25793467E-01
   9.40000000E-01 -6.97597224E-01 -2.91092840E-01
   9.50000000E-01 -7.00336203E-01 -2.56766002E-01
   9.60000000E-01 -7.02733812E-01 -2.22819549E-01
   9.70000000E-01 -7.04793882E-01 -1.89259435E-01
   9.80000000E-01 -7.06520306E-01 -1.56090996E-01
   9.90000000E-01 -7.07917024E-01 -1.23319015E-01
   1.00000000E+00 -7.08988022E-01 -9.09477438E-02
   1.01000000E+00 -7.09737327E-01 -5.89809145E-02
   1.02000000E+00 -7.10168999E-01 -2.74218014E-02
   1.03000000E+00 -7.10287131E-01  3.72677070E-03
   1.04000000E+00 -7.10095840E-01  3.44624053E-02
   1.05000000E+00 -7.09599267E-01  6.47830541E-02
   1.06000000E+00 -7.08801568E-01  9.46870762E-02
   1.07000000E+00 -7.07706918E-01  1.24173154E-01
   1.08000000E+00 -7.06319502E-01  1.53240294E-01
   1.09000000E+00 -7.04643511E-01  1.81887795E-01
   1.10000000E+00 -7.02683146E-01  2.10115234E-01
   1.11000000E+00 -7.00442607E-01  2.37922443E-01
   1.12000000E+00 -6.97926098E-01  2.65309494E-01
   1.13000000E+00 -6.95137817E-01  2.92276681E-01
