 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_2A1.dat   
 #      Free state: E= 4.409917E-01, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.333230347213385E+00
 #      Coulomb phase shift=-5.229388753722767E-01  (ETA=-1.064839E+00)
 #      Matching radius: RAD(  829)= 8.279999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  7.23157836E-04  1.42488452E-01
   2.00000000E-02  2.80868062E-03  2.72647695E-01
   3.00000000E-02  6.13838305E-03  3.91485656E-01
   4.00000000E-02  1.06037577E-02  4.99930213E-01
   5.00000000E-02  1.61051844E-02  5.98831430E-01
   6.00000000E-02  2.25511692E-02  6.88965199E-01
   7.00000000E-02  2.98576248E-02  7.71037723E-01
   8.00000000E-02  3.79471977E-02  8.45690464E-01
   9.00000000E-02  4.67486471E-02  9.13505284E-01
   1.00000000E-01  5.61962738E-02  9.75009569E-01
   1.10000000E-01  6.62294012E-02  1.03068120E+00
   1.20000000E-01  7.67919038E-02  1.08095328E+00
   1.30000000E-01  8.78317816E-02  1.12621856E+00
   1.40000000E-01  9.93007775E-02  1.16683352E+00
   1.50000000E-01  1.11154034E-01  1.20312221E+00
   1.60000000E-01  1.23349787E-01  1.23537959E+00
   1.70000000E-01  1.35849088E-01  1.26387472E+00
   1.80000000E-01  1.48615562E-01  1.28885347E+00
   1.90000000E-01  1.61615189E-01  1.31054111E+00
   2.00000000E-01  1.74816106E-01  1.32914451E+00
   2.10000000E-01  1.88188435E-01  1.34485410E+00
   2.20000000E-01  2.01704129E-01  1.35784569E+00
   2.30000000E-01  2.15336832E-01  1.36828202E+00
   2.40000000E-01  2.29061756E-01  1.37631413E+00
   2.50000000E-01  2.42855570E-01  1.38208258E+00
   2.60000000E-01  2.56696301E-01  1.38571852E+00
   2.70000000E-01  2.70563242E-01  1.38734466E+00
   2.80000000E-01  2.84436879E-01  1.38707607E+00
   2.90000000E-01  2.98298809E-01  1.38502091E+00
   3.00000000E-01  3.12131682E-01  1.38128109E+00
   3.10000000E-01  3.25919137E-01  1.37595281E+00
   3.20000000E-01  3.39645747E-01  1.36912702E+00
   3.30000000E-01  3.53296973E-01  1.36088993E+00
   3.40000000E-01  3.66859115E-01  1.35132334E+00
   3.50000000E-01  3.80319268E-01  1.34050497E+00
   3.60000000E-01  3.93665288E-01  1.32850875E+00
   3.70000000E-01  4.06885752E-01  1.31540510E+00
   3.80000000E-01  4.19969923E-01  1.30126116E+00
   3.90000000E-01  4.32907721E-01  1.28614097E+00
