 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_2A1.dat   
 #      Free state: E= 1.359724E+00, L=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 1.288383920574992E+00
 #      Coulomb phase shift=-2.708332590098170E-01  (ETA=-6.064206E-01)
 #      Matching radius: RAD(  829)= 8.279999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  1.00422198E-03  1.97864605E-01
   2.00000000E-02  3.90009038E-03  3.78565127E-01
   3.00000000E-02  8.52286076E-03  5.43462947E-01
   4.00000000E-02  1.47208669E-02  6.93812574E-01
   5.00000000E-02  2.23544637E-02  8.30764308E-01
   6.00000000E-02  3.12950064E-02  9.55368910E-01
   7.00000000E-02  4.14238847E-02  1.06858346E+00
   8.00000000E-02  5.26316177E-02  1.17127795E+00
   9.00000000E-02  6.48170174E-02  1.26424212E+00
   1.00000000E-01  7.78864210E-02  1.34819236E+00
   1.10000000E-01  9.17529906E-02  1.42377841E+00
   1.20000000E-01  1.06336079E-01  1.49158973E+00
   1.30000000E-01  1.21560659E-01  1.55216146E+00
   1.40000000E-01  1.37356803E-01  1.60598005E+00
   1.50000000E-01  1.53659230E-01  1.65348831E+00
   1.60000000E-01  1.70406885E-01  1.69509009E+00
   1.70000000E-01  1.87542577E-01  1.73115446E+00
   1.80000000E-01  2.05012646E-01  1.76201957E+00
   1.90000000E-01  2.22766675E-01  1.78799598E+00
   2.00000000E-01  2.40757226E-01  1.80936974E+00
   2.10000000E-01  2.58939611E-01  1.82640502E+00
   2.20000000E-01  2.77271683E-01  1.83934661E+00
   2.30000000E-01  2.95713657E-01  1.84842193E+00
   2.40000000E-01  3.14227942E-01  1.85384294E+00
   2.50000000E-01  3.32778997E-01  1.85580780E+00
   2.60000000E-01  3.51333198E-01  1.85450225E+00
   2.70000000E-01  3.69858724E-01  1.85010093E+00
   2.80000000E-01  3.88325447E-01  1.84276848E+00
   2.90000000E-01  4.06704842E-01  1.83266046E+00
   3.00000000E-01  4.24969897E-01  1.81992428E+00
   3.10000000E-01  4.43095034E-01  1.80469985E+00
   3.20000000E-01  4.61056044E-01  1.78712027E+00
   3.30000000E-01  4.78830013E-01  1.76731241E+00
   3.40000000E-01  4.96395269E-01  1.74539740E+00
   3.50000000E-01  5.13731324E-01  1.72149102E+00
   3.60000000E-01  5.30818821E-01  1.69570411E+00
   3.70000000E-01  5.47639492E-01  1.66814289E+00
   3.80000000E-01  5.64176105E-01  1.63890928E+00
   3.90000000E-01  5.80412429E-01  1.60810113E+00
   4.00000000E-01  5.96333193E-01  1.57581246E+00
   4.10000000E-01  6.11924045E-01  1.54213366E+00
   4.20000000E-01  6.27171522E-01  1.50715163E+00
   4.30000000E-01  6.42063013E-01  1.47095001E+00
   4.40000000E-01  6.56586726E-01  1.43360927E+00
   4.50000000E-01  6.70731660E-01  1.39520690E+00
   4.60000000E-01  6.84487574E-01  1.35581747E+00
   4.70000000E-01  6.97844959E-01  1.31551277E+00
   4.80000000E-01  7.10795009E-01  1.27436191E+00
   4.90000000E-01  7.23329598E-01  1.23243143E+00
   5.00000000E-01  7.35441252E-01  1.18978532E+00
   5.10000000E-01  7.47123125E-01  1.14648521E+00
   5.20000000E-01  7.58368975E-01  1.10259039E+00
   5.30000000E-01  7.69173141E-01  1.05815787E+00
   5.40000000E-01  7.79530523E-01  1.01324250E+00
   5.50000000E-01  7.89436557E-01  9.67896969E-01
   5.60000000E-01  7.98887197E-01  9.22171955E-01
   5.70000000E-01  8.07878894E-01  8.76116170E-01
   5.80000000E-01  8.16408574E-01  8.29776379E-01
   5.90000000E-01  8.24473625E-01  7.83197466E-01
   6.00000000E-01  8.32071871E-01  7.36422550E-01
   6.10000000E-01  8.39201560E-01  6.89493001E-01
   6.20000000E-01  8.45861347E-01  6.42448486E-01
   6.30000000E-01  8.52050274E-01  5.95327084E-01
   6.40000000E-01  8.57767755E-01  5.48165273E-01
   6.50000000E-01  8.63013561E-01  5.00998025E-01
   6.60000000E-01  8.67787809E-01  4.53858834E-01
   6.70000000E-01  8.72090939E-01  4.06779765E-01
   6.80000000E-01  8.75923707E-01  3.59791541E-01
   6.90000000E-01  8.79287170E-01  3.12923566E-01
   7.00000000E-01  8.82182673E-01  2.66203955E-01
   7.10000000E-01  8.84611834E-01  2.19659607E-01
   7.20000000E-01  8.86576535E-01  1.73316263E-01
   7.30000000E-01  8.88078911E-01  1.27198502E-01
   7.40000000E-01  8.89121336E-01  8.13298171E-02
   7.50000000E-01  8.89706413E-01  3.57326579E-02
   7.60000000E-01  8.89836966E-01 -9.57153979E-03
   7.70000000E-01  8.89516027E-01 -5.45622905E-02
   7.80000000E-01  8.88746830E-01 -9.92200470E-02
   7.90000000E-01  8.87532798E-01 -1.43526178E-01
   8.00000000E-01  8.85877538E-01 -1.87462877E-01
   8.10000000E-01  8.83784829E-01 -2.31013163E-01
   8.20000000E-01  8.81258617E-01 -2.74160853E-01
   8.30000000E-01  8.78303005E-01 -3.16890510E-01
   8.40000000E-01  8.74922249E-01 -3.59187420E-01
   8.50000000E-01  8.71120746E-01 -4.01037546E-01
   8.60000000E-01  8.66903032E-01 -4.42427538E-01
   8.70000000E-01  8.62273772E-01 -4.83344667E-01
   8.80000000E-01  8.57237755E-01 -5.23776787E-01
   8.90000000E-01  8.51799891E-01 -5.63712349E-01
   9.00000000E-01  8.45965200E-01 -6.03140358E-01
   9.10000000E-01  8.39738811E-01 -6.42050337E-01
   9.20000000E-01  8.33125954E-01 -6.80432318E-01
   9.30000000E-01  8.26131956E-01 -7.18276803E-01
   9.40000000E-01  8.18762239E-01 -7.55574759E-01
   9.50000000E-01  8.11022312E-01 -7.92317593E-01
   9.60000000E-01  8.02917765E-01 -8.28497112E-01
   9.70000000E-01  7.94454273E-01 -8.64105524E-01
   9.80000000E-01  7.85637583E-01 -8.99135437E-01
   9.90000000E-01  7.76473516E-01 -9.33579798E-01
   1.00000000E+00  7.66967961E-01 -9.67431896E-01
   1.01000000E+00  7.57126874E-01 -1.00068537E+00
   1.02000000E+00  7.46956270E-01 -1.03333415E+00
   1.03000000E+00  7.36462226E-01 -1.06537247E+00
   1.04000000E+00  7.25650873E-01 -1.09679487E+00
   1.05000000E+00  7.14528399E-01 -1.12759611E+00
   1.06000000E+00  7.03101038E-01 -1.15777126E+00
   1.07000000E+00  6.91375076E-01 -1.18731559E+00
   1.08000000E+00  6.79356844E-01 -1.21622465E+00
   1.09000000E+00  6.67052715E-01 -1.24449419E+00
   1.10000000E+00  6.54469105E-01 -1.27212017E+00
   1.11000000E+00  6.41612470E-01 -1.29909877E+00
   1.12000000E+00  6.28489300E-01 -1.32542635E+00
   1.13000000E+00  6.15106124E-01 -1.35109948E+00
   1.14000000E+00  6.01469503E-01 -1.37611488E+00
   1.15000000E+00  5.87586029E-01 -1.40046948E+00
   1.16000000E+00  5.73462326E-01 -1.42416033E+00
   1.17000000E+00  5.59105044E-01 -1.44718467E+00
   1.18000000E+00  5.44520863E-01 -1.46953990E+00
   1.19000000E+00  5.29716485E-01 -1.49122353E+00
   1.20000000E+00  5.14698639E-01 -1.51223325E+00
   1.21000000E+00  4.99474074E-01 -1.53256686E+00
   1.22000000E+00  4.84049562E-01 -1.55222233E+00
   1.23000000E+00  4.68431894E-01 -1.57119771E+00
   1.24000000E+00  4.52627881E-01 -1.58949122E+00
   1.25000000E+00  4.36644348E-01 -1.60710117E+00
   1.26000000E+00  4.20488141E-01 -1.62402602E+00
   1.27000000E+00  4.04166117E-01 -1.64026432E+00
   1.28000000E+00  3.87685147E-01 -1.65581475E+00
   1.29000000E+00  3.71052119E-01 -1.67067609E+00
   1.30000000E+00  3.54273926E-01 -1.68484726E+00
   1.31000000E+00  3.37357477E-01 -1.69832726E+00
   1.32000000E+00  3.20309688E-01 -1.71111520E+00
   1.33000000E+00  3.03137483E-01 -1.72321032E+00
   1.34000000E+00  2.85847793E-01 -1.73461195E+00
   1.35000000E+00  2.68447557E-01 -1.74531953E+00
   1.36000000E+00  2.50943717E-01 -1.75533261E+00
   1.37000000E+00  2.33343221E-01 -1.76465083E+00
   1.38000000E+00  2.15653018E-01 -1.77327395E+00
   1.39000000E+00  1.97880059E-01 -1.78120185E+00
   1.40000000E+00  1.80031298E-01 -1.78843450E+00
   1.41000000E+00  1.62113687E-01 -1.79497197E+00
   1.42000000E+00  1.44134175E-01 -1.80081446E+00
   1.43000000E+00  1.26099713E-01 -1.80596226E+00
   1.44000000E+00  1.08017244E-01 -1.81041579E+00
   1.45000000E+00  8.98937098E-02 -1.81417557E+00
   1.46000000E+00  7.17360435E-02 -1.81724222E+00
   1.47000000E+00  5.35511732E-02 -1.81961651E+00
   1.48000000E+00  3.53460183E-02 -1.82129930E+00
   1.49000000E+00  1.71274889E-02 -1.82229158E+00
   1.50000000E+00 -1.09751519E-03 -1.82259444E+00
   1.51000000E+00 -1.93221059E-02 -1.82220912E+00
   1.52000000E+00 -3.75394081E-02 -1.82113696E+00
   1.53000000E+00 -5.57425607E-02 -1.81937945E+00
   1.54000000E+00 -7.39247179E-02 -1.81693818E+00
   1.55000000E+00 -9.20790509E-02 -1.81381489E+00
   1.56000000E+00 -1.10198749E-01 -1.81001145E+00
   1.57000000E+00 -1.28277019E-01 -1.80552985E+00
   1.58000000E+00 -1.46307092E-01 -1.80037222E+00
   1.59000000E+00 -1.64282218E-01 -1.79454085E+00
   1.60000000E+00 -1.82195671E-01 -1.78803816E+00
   1.61000000E+00 -2.00040752E-01 -1.78086669E+00
   1.62000000E+00 -2.17810785E-01 -1.77302915E+00
   1.63000000E+00 -2.35499124E-01 -1.76452840E+00
   1.64000000E+00 -2.53099152E-01 -1.75536743E+00
   1.65000000E+00 -2.70604282E-01 -1.74554941E+00
   1.66000000E+00 -2.88007961E-01 -1.73507765E+00
   1.67000000E+00 -3.05303668E-01 -1.72395560E+00
   1.68000000E+00 -3.22484918E-01 -1.71218690E+00
   1.69000000E+00 -3.39545263E-01 -1.69977533E+00
   1.70000000E+00 -3.56478295E-01 -1.68672485E+00
   1.71000000E+00 -3.73277644E-01 -1.67303958E+00
   1.72000000E+00 -3.89936984E-01 -1.65872380E+00
   1.73000000E+00 -4.06450033E-01 -1.64378196E+00
   1.74000000E+00 -4.22810552E-01 -1.62821870E+00
   1.75000000E+00 -4.39012351E-01 -1.61203881E+00
   1.76000000E+00 -4.55049290E-01 -1.59524728E+00
   1.77000000E+00 -4.70915276E-01 -1.57784927E+00
   1.78000000E+00 -4.86604271E-01 -1.55985010E+00
   1.79000000E+00 -5.02110292E-01 -1.54125530E+00
   1.80000000E+00 -5.17427411E-01 -1.52207057E+00
   1.81000000E+00 -5.32549757E-01 -1.50230179E+00
   1.82000000E+00 -5.47471520E-01 -1.48195504E+00
   1.83000000E+00 -5.62186952E-01 -1.46103657E+00
   1.84000000E+00 -5.76690367E-01 -1.43955282E+00
   1.85000000E+00 -5.90976146E-01 -1.41751045E+00
   1.86000000E+00 -6.05038737E-01 -1.39491627E+00
   1.87000000E+00 -6.18872656E-01 -1.37177731E+00
   1.88000000E+00 -6.32472491E-01 -1.34810078E+00
   1.89000000E+00 -6.45832904E-01 -1.32389409E+00
   1.90000000E+00 -6.58948631E-01 -1.29916483E+00
   1.91000000E+00 -6.71814485E-01 -1.27392081E+00
   1.92000000E+00 -6.84425358E-01 -1.24817001E+00
   1.93000000E+00 -6.96776223E-01 -1.22192063E+00
   1.94000000E+00 -7.08862136E-01 -1.19518104E+00
