 # Radial wave functions calculated by RADIAL.
 # **** Schrodinger Eq. Numerical potential.
 #      Input potential file: potential_2A1.dat   
 #      Free state: E= 1.359724E+00, L=   5  (EPS= 1.0E-15)
 #        Inner phase shift= 4.704773926285677E-02
 #      Coulomb phase shift=-1.035839309798233E+00  (ETA=-6.064206E-01)
 #      Matching radius: RAD(  829)= 8.279999999999999E+00
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.00000000E-02  9.18500493E-15  5.50198917E-12
   2.00000000E-02  5.82153683E-13  1.74085579E-10
   3.00000000E-02  6.56815388E-12  1.30742639E-09
   4.00000000E-02  3.65605072E-11  5.45019252E-09
   5.00000000E-02  1.38192732E-10  1.64574514E-08
   6.00000000E-02  4.08940170E-10  4.05289857E-08
   7.00000000E-02  1.02211388E-09  8.67139539E-08
   8.00000000E-02  2.25776503E-09  1.67388768E-07
   9.00000000E-02  4.53824424E-09  2.98710555E-07
   1.00000000E-01  8.46818161E-09  5.01048122E-07
   1.10000000E-01  1.48786705E-08  7.99391986E-07
   1.20000000E-01  2.48754524E-08  1.22374471E-06
   1.30000000E-01  3.98909108E-08  1.80949256E-06
   1.40000000E-01  6.17396915E-08  2.59775930E-06
   1.50000000E-01  9.26777752E-08  3.63574276E-06
   1.60000000E-01  1.35464831E-07  4.97703484E-06
   1.70000000E-01  1.93429690E-07  6.68192531E-06
   1.80000000E-01  2.70538778E-07  8.81768996E-06
   1.90000000E-01  3.71467350E-07  1.14588634E-05
   2.00000000E-01  5.01673384E-07  1.46874970E-05
   2.10000000E-01  6.67473975E-07  1.85934024E-05
   2.20000000E-01  8.76124095E-07  2.32743804E-05
   2.30000000E-01  1.13589758E-06  2.88364368E-05
   2.40000000E-01  1.45617018E-06  3.53939843E-05
   2.50000000E-01  1.84750462E-06  4.30700314E-05
   2.60000000E-01  2.32173741E-06  5.19963587E-05
   2.70000000E-01  2.89206744E-06  6.23136835E-05
   2.80000000E-01  3.57314607E-06  7.41718114E-05
   2.90000000E-01  4.38116876E-06  8.77297774E-05
   3.00000000E-01  5.33396800E-06  1.03155975E-04
   3.10000000E-01  6.45110755E-06  1.20628277E-04
   3.20000000E-01  7.75397768E-06  1.40334141E-04
   3.30000000E-01  9.26589163E-06  1.62470709E-04
   3.40000000E-01  1.10121828E-05  1.87244898E-04
   3.50000000E-01  1.30203031E-05  2.14873476E-04
   3.60000000E-01  1.53199215E-05  2.45583136E-04
   3.70000000E-01  1.79430239E-05  2.79610553E-04
   3.80000000E-01  2.09240130E-05  3.17202440E-04
   3.90000000E-01  2.42998091E-05  3.58615594E-04
   4.00000000E-01  2.81099510E-05  4.04116928E-04
   4.10000000E-01  3.23966974E-05  4.53983503E-04
   4.20000000E-01  3.72051282E-05  5.08502547E-04
   4.30000000E-01  4.25832468E-05  5.67971470E-04
   4.40000000E-01  4.85820814E-05  6.32697869E-04
   4.50000000E-01  5.52557872E-05  7.02999528E-04
   4.60000000E-01  6.26617482E-05  7.79204409E-04
   4.70000000E-01  7.08606788E-05  8.61650635E-04
   4.80000000E-01  7.99167252E-05  9.50686472E-04
   4.90000000E-01  8.98975671E-05  1.04667030E-03
   5.00000000E-01  1.00874518E-04  1.14997056E-03
   5.10000000E-01  1.12922627E-04  1.26096574E-03
   5.20000000E-01  1.26120776E-04  1.38004430E-03
   5.30000000E-01  1.40551784E-04  1.50760465E-03
   5.40000000E-01  1.56302502E-04  1.64405504E-03
   5.50000000E-01  1.73463911E-04  1.78981351E-03
   5.60000000E-01  1.92131224E-04  1.94530783E-03
   5.70000000E-01  2.12403977E-04  2.11097540E-03
   5.80000000E-01  2.34386131E-04  2.28726317E-03
   5.90000000E-01  2.58186162E-04  2.47462752E-03
   6.00000000E-01  2.83917155E-04  2.67353418E-03
   6.10000000E-01  3.11696902E-04  2.88445810E-03
   6.20000000E-01  3.41647987E-04  3.10788335E-03
   6.30000000E-01  3.73897882E-04  3.34430298E-03
   6.40000000E-01  4.08579033E-04  3.59421891E-03
   6.50000000E-01  4.45828949E-04  3.85814174E-03
   6.60000000E-01  4.85790288E-04  4.13659066E-03
   6.70000000E-01  5.28610940E-04  4.43009325E-03
   6.80000000E-01  5.74444117E-04  4.73918533E-03
   6.90000000E-01  6.23448424E-04  5.06441083E-03
   7.00000000E-01  6.75787950E-04  5.40632154E-03
   7.10000000E-01  7.31632336E-04  5.76547697E-03
   7.20000000E-01  7.91156861E-04  6.14244416E-03
   7.30000000E-01  8.54542506E-04  6.53779744E-03
   7.40000000E-01  9.21976034E-04  6.95211825E-03
   7.50000000E-01  9.93650056E-04  7.38599492E-03
   7.60000000E-01  1.06976310E-03  7.84002241E-03
   7.70000000E-01  1.15051968E-03  8.31480216E-03
   7.80000000E-01  1.23613034E-03  8.81094174E-03
   7.90000000E-01  1.32681176E-03  9.32905463E-03
   8.00000000E-01  1.42278674E-03  9.86976001E-03
   8.10000000E-01  1.52428435E-03  1.04336825E-02
   8.20000000E-01  1.63153988E-03  1.10214516E-02
   8.30000000E-01  1.74479498E-03  1.16337020E-02
   8.40000000E-01  1.86429766E-03  1.22710727E-02
   8.50000000E-01  1.99030231E-03  1.29342069E-02
   8.60000000E-01  2.12306983E-03  1.36237518E-02
   8.70000000E-01  2.26286756E-03  1.43403582E-02
   8.80000000E-01  2.40996938E-03  1.50846800E-02
   8.90000000E-01  2.56465573E-03  1.58573743E-02
   9.00000000E-01  2.72721364E-03  1.66591004E-02
   9.10000000E-01  2.89793672E-03  1.74905200E-02
   9.20000000E-01  3.07712523E-03  1.83522968E-02
   9.30000000E-01  3.26508606E-03  1.92450955E-02
   9.40000000E-01  3.46213276E-03  2.01695824E-02
   9.50000000E-01  3.66858556E-03  2.11264240E-02
   9.60000000E-01  3.88477132E-03  2.21162873E-02
   9.70000000E-01  4.11102360E-03  2.31398392E-02
   9.80000000E-01  4.34768262E-03  2.41977459E-02
   9.90000000E-01  4.59509525E-03  2.52906725E-02
   1.00000000E+00  4.85361501E-03  2.64192829E-02
   1.01000000E+00  5.12360206E-03  2.75842388E-02
   1.02000000E+00  5.40542314E-03  2.87861998E-02
   1.03000000E+00  5.69945159E-03  3.00258224E-02
   1.04000000E+00  6.00606730E-03  3.13037598E-02
   1.05000000E+00  6.32565667E-03  3.26206618E-02
   1.06000000E+00  6.65861257E-03  3.39771733E-02
   1.07000000E+00  7.00533431E-03  3.53739348E-02
   1.08000000E+00  7.36622755E-03  3.68115813E-02
   1.09000000E+00  7.74170431E-03  3.82907419E-02
   1.10000000E+00  8.13218285E-03  3.98120394E-02
   1.11000000E+00  8.53808761E-03  4.13760898E-02
   1.12000000E+00  8.95984918E-03  4.29835013E-02
   1.13000000E+00  9.39790418E-03  4.46348744E-02
   1.14000000E+00  9.85269518E-03  4.63308007E-02
   1.15000000E+00  1.03246706E-02  4.80718629E-02
   1.16000000E+00  1.08142848E-02  4.98586339E-02
   1.17000000E+00  1.13219976E-02  5.16916762E-02
   1.18000000E+00  1.18482744E-02  5.35715415E-02
   1.19000000E+00  1.23935863E-02  5.54987697E-02
   1.20000000E+00  1.29584094E-02  5.74738890E-02
   1.21000000E+00  1.35432254E-02  5.94974145E-02
   1.22000000E+00  1.41485208E-02  6.15698482E-02
   1.23000000E+00  1.47747870E-02  6.36916779E-02
   1.24000000E+00  1.54225205E-02  6.58633771E-02
   1.25000000E+00  1.60922223E-02  6.80854037E-02
   1.26000000E+00  1.67843979E-02  7.03581999E-02
   1.27000000E+00  1.74995570E-02  7.26821915E-02
   1.28000000E+00  1.82382137E-02  7.50577870E-02
   1.29000000E+00  1.90008860E-02  7.74853770E-02
   1.30000000E+00  1.97880958E-02  7.99653338E-02
   1.31000000E+00  2.06003684E-02  8.24980106E-02
   1.32000000E+00  2.14382329E-02  8.50837406E-02
   1.33000000E+00  2.23022211E-02  8.77228366E-02
   1.34000000E+00  2.31928684E-02  9.04155904E-02
   1.35000000E+00  2.41107127E-02  9.31622719E-02
   1.36000000E+00  2.50562945E-02  9.59631287E-02
   1.37000000E+00  2.60301566E-02  9.88183851E-02
   1.38000000E+00  2.70328442E-02  1.01728242E-01
   1.39000000E+00  2.80649041E-02  1.04692875E-01
   1.40000000E+00  2.91268848E-02  1.07712435E-01
   1.41000000E+00  3.02193363E-02  1.10787048E-01
   1.42000000E+00  3.13428096E-02  1.13916813E-01
   1.43000000E+00  3.24978566E-02  1.17101800E-01
   1.44000000E+00  3.36850298E-02  1.20342054E-01
   1.45000000E+00  3.49048820E-02  1.23637591E-01
   1.46000000E+00  3.61579658E-02  1.26988396E-01
   1.47000000E+00  3.74448340E-02  1.30394426E-01
   1.48000000E+00  3.87660382E-02  1.33855608E-01
   1.49000000E+00  4.01221296E-02  1.37371836E-01
   1.50000000E+00  4.15136580E-02  1.40942974E-01
   1.51000000E+00  4.29411716E-02  1.44568854E-01
   1.52000000E+00  4.44052168E-02  1.48249273E-01
   1.53000000E+00  4.59063380E-02  1.51983997E-01
   1.54000000E+00  4.74450769E-02  1.55772755E-01
   1.55000000E+00  4.90219722E-02  1.59615245E-01
   1.56000000E+00  5.06375598E-02  1.63511126E-01
   1.57000000E+00  5.22923715E-02  1.67460023E-01
   1.58000000E+00  5.39869356E-02  1.71461525E-01
   1.59000000E+00  5.57217758E-02  1.75515183E-01
   1.60000000E+00  5.74974115E-02  1.79620509E-01
   1.61000000E+00  5.93143565E-02  1.83776981E-01
   1.62000000E+00  6.11731197E-02  1.87984035E-01
   1.63000000E+00  6.30742038E-02  1.92241069E-01
   1.64000000E+00  6.50181055E-02  1.96547440E-01
   1.65000000E+00  6.70053148E-02  2.00902468E-01
   1.66000000E+00  6.90363147E-02  2.05305429E-01
   1.67000000E+00  7.11115806E-02  2.09755560E-01
   1.68000000E+00  7.32315804E-02  2.14252056E-01
   1.69000000E+00  7.53967735E-02  2.18794070E-01
   1.70000000E+00  7.76076106E-02  2.23380714E-01
   1.71000000E+00  7.98645334E-02  2.28011056E-01
   1.72000000E+00  8.21679741E-02  2.32684120E-01
   1.73000000E+00  8.45183549E-02  2.37398890E-01
   1.74000000E+00  8.69160874E-02  2.42154303E-01
   1.75000000E+00  8.93615727E-02  2.46949255E-01
   1.76000000E+00  9.18552005E-02  2.51782594E-01
   1.77000000E+00  9.43973486E-02  2.56653128E-01
   1.78000000E+00  9.69883829E-02  2.61559616E-01
   1.79000000E+00  9.96286565E-02  2.66500776E-01
   1.80000000E+00  1.02318510E-01  2.71475278E-01
   1.81000000E+00  1.05058269E-01  2.76481748E-01
   1.82000000E+00  1.07848246E-01  2.81518766E-01
   1.83000000E+00  1.10688741E-01  2.86584868E-01
   1.84000000E+00  1.13580036E-01  2.91678543E-01
   1.85000000E+00  1.16522398E-01  2.96798234E-01
   1.86000000E+00  1.19516082E-01  3.01942339E-01
   1.87000000E+00  1.22561321E-01  3.07109211E-01
   1.88000000E+00  1.25658336E-01  3.12297157E-01
   1.89000000E+00  1.28807329E-01  3.17504436E-01
   1.90000000E+00  1.32008483E-01  3.22729266E-01
   1.91000000E+00  1.35261966E-01  3.27969817E-01
   1.92000000E+00  1.38567926E-01  3.33224212E-01
   1.93000000E+00  1.41926490E-01  3.38490532E-01
   1.94000000E+00  1.45337770E-01  3.43766812E-01
   1.95000000E+00  1.48801853E-01  3.49051042E-01
   1.96000000E+00  1.52318810E-01  3.54341169E-01
   1.97000000E+00  1.55888689E-01  3.59635093E-01
   1.98000000E+00  1.59511518E-01  3.64930673E-01
   1.99000000E+00  1.63187301E-01  3.70225724E-01
   2.00000000E+00  1.66916023E-01  3.75518016E-01
   2.01000000E+00  1.70697645E-01  3.80805281E-01
   2.02000000E+00  1.74532104E-01  3.86085204E-01
   2.03000000E+00  1.78419316E-01  3.91355431E-01
   2.04000000E+00  1.82359172E-01  3.96613567E-01
   2.05000000E+00  1.86351539E-01  4.01857174E-01
   2.06000000E+00  1.90396259E-01  4.07083778E-01
   2.07000000E+00  1.94493150E-01  4.12290863E-01
   2.08000000E+00  1.98642003E-01  4.17475860E-01
   2.09000000E+00  2.02842646E-01  4.22654757E-01
   2.10000000E+00  2.07095133E-01  4.27844310E-01
   2.11000000E+00  2.11399563E-01  4.33043059E-01
   2.12000000E+00  2.15756020E-01  4.38249545E-01
   2.13000000E+00  2.20164575E-01  4.43462291E-01
   2.14000000E+00  2.24625282E-01  4.48679805E-01
   2.15000000E+00  2.29138182E-01  4.53900579E-01
   2.16000000E+00  2.33703299E-01  4.59123087E-01
   2.17000000E+00  2.38320644E-01  4.64345791E-01
   2.18000000E+00  2.42990211E-01  4.69567134E-01
   2.19000000E+00  2.47711977E-01  4.74785544E-01
   2.20000000E+00  2.52485907E-01  4.79999434E-01
   2.21000000E+00  2.57311946E-01  4.85207200E-01
   2.22000000E+00  2.62190025E-01  4.90407225E-01
   2.23000000E+00  2.67120059E-01  4.95597876E-01
   2.24000000E+00  2.72101946E-01  5.00777504E-01
   2.25000000E+00  2.77135567E-01  5.05944446E-01
   2.26000000E+00  2.82220787E-01  5.11097026E-01
   2.27000000E+00  2.87357454E-01  5.16233550E-01
   2.28000000E+00  2.92545398E-01  5.21352315E-01
   2.29000000E+00  2.97784435E-01  5.26451600E-01
   2.30000000E+00  3.03074360E-01  5.31529674E-01
   2.31000000E+00  3.08414952E-01  5.36584790E-01
   2.32000000E+00  3.13805973E-01  5.41615189E-01
   2.33000000E+00  3.19247167E-01  5.46619102E-01
   2.34000000E+00  3.24738261E-01  5.51594744E-01
   2.35000000E+00  3.30278962E-01  5.56540321E-01
   2.36000000E+00  3.35868961E-01  5.61454026E-01
   2.37000000E+00  3.41507930E-01  5.66334042E-01
   2.38000000E+00  3.47195524E-01  5.71178542E-01
   2.39000000E+00  3.52931377E-01  5.75985687E-01
   2.40000000E+00  3.58715107E-01  5.80753628E-01
   2.41000000E+00  3.64546312E-01  5.85480509E-01
   2.42000000E+00  3.70424574E-01  5.90164463E-01
   2.43000000E+00  3.76349452E-01  5.94803615E-01
   2.44000000E+00  3.82320490E-01  5.99396082E-01
   2.45000000E+00  3.88337212E-01  6.03939974E-01
   2.46000000E+00  3.94399122E-01  6.08433394E-01
   2.47000000E+00  4.00505705E-01  6.12874436E-01
   2.48000000E+00  4.06656429E-01  6.17261192E-01
   2.49000000E+00  4.12850742E-01  6.21591745E-01
   2.50000000E+00  4.19088071E-01  6.25864173E-01
   2.51000000E+00  4.25367825E-01  6.30076553E-01
   2.52000000E+00  4.31689395E-01  6.34226954E-01
   2.53000000E+00  4.38052151E-01  6.38313444E-01
   2.54000000E+00  4.44455444E-01  6.42334088E-01
   2.55000000E+00  4.50898607E-01  6.46286946E-01
   2.56000000E+00  4.57380951E-01  6.50170080E-01
